study_id,effect_id,author,year,r,n,country,sample_start,sample_end,icrv,icrv_std,cdai,dpl,doi_type,fp_type,include_flag,is_estimated,notes
S161,S161_e2,"Contractor, Kumar & Kundu",2007,0.44,103,India,1998,2002,III,3,L,PRE,FSTS,ACC,1,0,JWB; EME S-curve services
S162,S162,Oh & Sohl,2017,0.08,139,USA,2003,2010,I,1,H,FOL,FSTS,ACC,1,0,MIR; turbulence moderates
S163,S163,Ogasavara & Hoshino,2007,0.09,88,Japan,1995,2002,I,1,L,PRE,FDI,ACC,1,0,IBR; Japan subs in Brazil
S164,S164,"Gao, Murray, Kotabe & Lu",2010,0.13,105,China,2000,2005,III,3,M,SPN,FSTS,ACC,1,0,JIBS; strategy tripod China
S165,S165,Doukas & Kan,2006,-0.07,816,USA,1988,2001,I,1,L,PRE,GEO,MKT,1,0,JMFM; global diversification discount
S166,S166_e1,Castellacci,2015,0.1,3498,LatAm,2006,2011,III,3,M,FOL,EXP,LAB,1,0,IBR; institutional voids
S166,S166_e2,Castellacci,2015,0.16,3498,LatAm,2006,2011,III,3,M,FOL,EXP,LAB,1,0,IBR; institutional voids
S167,S167_e1,Reuber & Fischer,1997,0.14,49,Canada,1989,1993,I,1,L,PRE,GEO,ACC,1,0,JIBS; management intl exp SME
S167,S167_e2,Reuber & Fischer,1997,0.28,49,Canada,1989,1993,I,1,L,PRE,GEO,ACC,1,0,JIBS; management intl exp SME
S168,S168,"Zhou, Wu & Luo",2007,0.19,195,China,2000,2004,III,3,L,PRE,FSTS,ACC,1,0,JIBS; born-global social network
S169,S169_e1,"Isobe, Makino & Montgomery",2000,0.09,164,Japan/China,1989,1996,I,1,L,PRE,FDI,ACC,1,0,AMJ; JV resource commitment
S169,S169_e2,"Isobe, Makino & Montgomery",2000,0.15,164,Japan/China,1989,1996,I,1,L,PRE,FDI,ACC,1,0,AMJ; JV resource commitment
S170,S170,Shan & Song,1997,0.22,176,USA,1985,1991,I,1,L,PRE,GEO,MKT,1,0,JIBS; biotech FDI technology
S171,S171,"Buckley, Dunning & Pearce",1978,0.08,370,Multi,1962,1972,I,1,L,PRE,GEO,ACC,1,0,WA; earliest study in pool
S172,S172,"Oesterle, Richta & Fisch",2013,0.06,312,Germany,2000,2008,I,1,M,SPN,GEO,ACC,1,0,IBR; ownership structure
S173,S173_e1,"Nguyen, Almodóvar & Martínez-Noya",2018,0.13,187,Multi,2005,2012,I,1,H,FOL,FSTS,ACC,1,0,IBR; intra-regional sales
S173,S173_e2,"Nguyen, Almodóvar & Martínez-Noya",2018,0.21,187,Multi,2005,2012,I,1,H,FOL,FSTS,ACC,1,0,IBR; intra-regional sales
S174,S174,"Ogasavara, Hoshino & Alberton",2016,0.11,148,Brazil,2006,2012,III,3,M,FOL,GEO,ACC,1,0,MBR; intl experience Brazil
S175,S175,Jo & Roth,2015,0.17,198,Korea,2005,2012,I,1,M,FOL,FSTS,MIX,1,0,JIM; tech capability Korea
S176,S176,Khattak & Shah,2022,0.07,168,Pakistan,2014,2019,III,3,L,FOL,FSTS,ACC,1,0,IJOEM; org learning mediates
S177,S177,Lee & Yoon,2022,0.11,312,Korea,2013,2018,I,1,H,FOL,GEO,ACC,1,0,APJM; env uncertainty mod
S178,S178_e1,Lin & Liu,2022,0.09,452,Multi,2010,2017,MX,0,M,FOL,GEO,ACC,1,0,JIM; institutional env mod
S178,S178_e2,Lin & Liu,2022,-0.06,452,Multi,2010,2017,MX,0,M,FOL,GEO,ACC,1,0,JIM; institutional env mod
S179,S179,"Chen, Zhang & Li",2022,0.1,534,China,2014,2019,III,3,H,FOL,FSTS,ACC,1,0,EMFT; absorptive capacity mod
S180,S180,Wang & Xiang,2022,0.11,385,China SME,2015,2020,III,3,H,FOL,FSTS,ACC,1,0,IBR; sustainability orientation
S181,S181,Nguyen & Dinh,2022,0.07,428,Vietnam WBES,2015,2016,III,3,M,FOL,EXP,ACC,1,0,JABES; WBES wave
S182,S182,Vo & Nguyen,2021,0.06,212,Vietnam non-state,2015,2019,III,3,M,FOL,EXP,ACC,1,0,Cogent B&M; non-state firms
S183,S183,Kim & Kim,2023,0.12,276,Korea conglomerate,2015,2020,I,1,H,FOL,FSTS,MIX,1,0,JWB; digital transformation mod
S184,S184,Borkakoti & Dua,2023,0.09,421,India mfg,2015,2020,III,3,M,FOL,FSTS,ACC,1,0,JQE; manufacturing sector
S185,S185,Li & Li,2023,0.13,1243,China digital,2016,2021,III,3,H,FOL,FSTS,MKT,1,0,PBFJ; digital economy listed
S186,S186,"Torres, Kunc & O'Shannassy",2022,0.13,198,Multi SME,2014,2020,MX,0,H,FOL,COMP,ACC,1,0,IBR; dynamic capability SME
S187,S187,Cho & Lee,2023,0.14,204,Korea SME digital,2016,2021,I,1,H,FOL,FSTS,ACC,1,0,APJM; digital capability SME
S188,S188,Do & Phan,2025,-0.045,380,India mfg,2013,2018,III,3,M,FOL,FSTS,ACC,1,0,IntechOpen; India WBES; FGLS; ROS; manager moderator; r confirmed Table 3
S189,S189,Do & Phan,2026,0.07,4290,China mfg SME,2012,2024,III,3,H,FOL,FSTS,LAB,1,1,JFAR; WBES China 2012+2024; inverted-U TP=47.8%; β₁=+1.704
S190,S190,"Phan, Ninh & Do",2021,-0.04,263,Turkey mfg,2013,2016,II,2,M,SPN,FSTS,ACC,1,1,IntechOpen; WBES Turkey; FGLS; manager experience moderator
S191,S191,Phan et al.,2021,0.05,131,Poland mfg-svc,2013,2016,I,1,M,SPN,FSTS,ACC,1,1,IntechOpen; WBES Poland; inverted-U; female manager + fin.obstacles mods
S192,S192,Tu & Huynh,2021,0.03,90,Ecuador mfg,2003,2017,MX,0,L,SPN,FSTS,ACC,1,1,RWE 12(1); panel; inverse S-curve; LatAm context
S193,S193,García-Sánchez & Rama,2024,0.09,267,Spain mfg,2010,2017,II,2,H,SPN,FSTS,ACC,1,1,EBR 14(4); Bayesian; heterogeneous firm-level effects
S194,S194,Godbole,2024,0.08,120,India listed family,2015,2022,III,3,M,FOL,COMP,MIX,1,1,BSD 7(3); NIFTY500 family firms; GMM; financial+innovation
S195,S195,Barłożewski & Trąpczyński (2021a),2021,0.06,200,Poland,2014,2019,I,1,M,FOL,FSTS,ACC,1,1,"EBER 9; full-sample n=200; see S236 for exporter-subsample (n=97, confirmed r)"
S196,S196,Barłożewski & Trąpczyński (2021b),2021,0.04,200,Poland,2014,2019,I,1,M,FOL,FSTS,ACC,1,1,"OC 12; full-sample n=200; see S237 for larger-sample (n=304, confirmed r)"
S197,S197,Calabrese & Manello,2018,0.08,300,Italy,2005,2015,II,2,M,SPN,FSTS,ACC,1,1,JPM; Italy policy evidence
S198,S198,Cao et al.,2022,0.07,400,China,2010,2020,III,3,H,FOL,FSTS,ACC,1,1,PLoS ONE; social networks China
S199,S199,Carr et al.,2010,0.05,150,Multi,2000,2007,MX,0,L,PRE,FSTS,ACC,1,1,SEJ; firm age at intl
S200,S200,Chen & Hsu,2010,0.09,200,Taiwan,2001,2007,I,1,L,PRE,FSTS,MKT,1,1,IMM; resource allocation Taiwan
S201,S201,Cuervo-Cazurra et al.,2017,0.05,500,Multi,2006,2014,MX,0,M,SPN,FSTS,ACC,1,1,JWB; uncertainty management
S202,S202,Da Cunha et al.,2023,0.06,250,Multi-LatAm,2010,2020,III,3,M,FOL,FSTS,ACC,1,1,IJOEM; formal institutions
S203,S203,Debicki et al.,2020,0.05,300,Multi,2005,2015,MX,0,M,SPN,FSTS,ACC,1,1,CCSM; family firm I→P
S204,S204,Dikova & Veselova,2020,-0.04,200,Russia,2008,2016,III,3,M,SPN,COMP,ACC,1,1,MOR; Russia contingency
S205,S205,Elango,2012,0.1,250,USA/Multi,2000,2008,I,1,M,PRE,COMP,MKT,1,1,TIBR; tech-intensive industry
S206,S206,Espinosa-Méndez & Jara,2021,0.04,150,Chile,2009,2018,III,3,M,FOL,GEO,ACC,1,1,SJFC; Chile family firm
S207,S207,Fu,2024,0.09,800,China,2012,2022,III,3,H,FOL,FSTS,MKT,1,1,FRL; R&D investment China
S208,S208,Khatua et al.,2024,0.07,120,India,2015,2022,III,3,H,FOL,FSTS,ACC,1,1,JIE; INVs India
S209,S209,Lin et al.,2011,0.06,180,Taiwan,2001,2008,I,1,L,PRE,FSTS,MKT,1,1,JIM; firm behavior moderator
S210,S210,Manotas & Gonzalez-Perez,2020,0.05,150,Multi-LatAm,2010,2017,III,3,L,SPN,EXP,ACC,1,1,CR; LatAm SMEs
S211,S211,Olmos & Díez-Vial,2015,0.07,200,Spain,2004,2010,II,2,M,SPN,EXP,ACC,1,1,EJM; SME intl paths Spain
S212,S212,"Phan, Tran & Lu",2020,0.03,90,Cameroon,2013,2018,FR,6,L,SPN,FSTS,ACC,1,1,DSL; W-shaped Cameroon
S213,S213,Purkayastha et al.,2024,0.07,200,India,2014,2022,III,3,H,FOL,COMP,ACC,1,1,JIM; resource management India
S214,S214,Purkayastha et al.,2021,0.06,185,India,2010,2018,III,3,M,FOL,FSTS,ACC,1,1,JWB; EMNEs learning India
S215,S215,Rienda & Andreu,2021,0.04,200,Spain,2005,2018,II,2,M,SPN,FSTS,ACC,1,1,EJFB; family firms Spain
S216,S216,Schmuck et al. (2022a),2022,0.08,400,Multi,2010,2019,MX,0,H,FOL,COMP,MKT,1,1,MIR; reverse P→M direction
S217,S217,Singla & George,2013,0.08,200,India,2004,2009,III,3,L,SPN,FSTS,ACC,1,1,JBR; India contextual analysis
S218,S218,Sun et al.,2019,0.09,600,USA,2003,2015,I,1,H,SPN,FSTS,MKT,1,1,JBR; longitudinal marketing cap
S219,S219,Tongurai & Vithessonthi,2022,0.06,350,Thailand,2010,2019,III,3,H,FOL,FSTS,ACC,1,1,GFJ; Thailand learning
S220,S220,Tsionas & Tzeremes,2021,0.1,500,Multi,2008,2018,MX,0,H,FOL,COMP,LAB,1,1,BJM; large MNEs productivity
S221,S221,Vithessonthi & Racela,2016,0.05,400,Thailand,2000,2013,III,3,M,SPN,FSTS,ACC,1,1,JMFM; short/long-run Thailand
S222,S222,Wang et al.,2020,0.07,150,China construction,2005,2017,III,3,M,SPN,COMP,ACC,1,1,JMgmtEng; ENR-listed Chinese
S223,S223,Wei & Lin,2021,0.05,800,Taiwan,1992,2017,I,1,M,SPN,FSTS,MKT,1,1,MPE; long panel Taiwan
S224,S224,Xiao et al.,2013,0.08,250,China,2004,2009,III,3,L,SPN,FSTS,ACC,1,1,JIM; China governance
S225,S225,Xiong et al.,2024,0.09,600,China,2010,2020,III,3,H,FOL,COMP,MKT,1,1,FRL; intl speed China
S226,S226,Zeng et al.,2009,0.06,200,China,2003,2007,III,3,L,PRE,EXP,ACC,1,1,MD; China business factors
S227,S227,Ahsan & Sinha,2022,0.07,150,India,2010,2019,III,3,M,FOL,COMP,ACC,1,1,CCSM; knowledge-intensive India
S228,S228,Ruzzier & Ruzzier,2014,0.06,180,Slovenia,2005,2010,II,2,M,SPN,FSTS,ACC,1,1,JBEM; Slovenian SMEs
S229,S229,Azman et al.,2022,0.09,200,Malaysia,2010,2020,III,3,H,FOL,COMP,LAB,1,1,JMgmtEng; Malaysia construction
S230,S230,Bhandari et al.,2023,0.1,300,Multi,2014,2022,MX,0,H,FOL,FSTS,MKT,1,1,IBR; digitalization OLI
S231,S231,Hosseini et al.,2018,0.06,150,Sweden,2005,2015,II,2,M,SPN,EXP,ACC,1,1,FPE; Swedish wood SMEs
S232,S232,Huang & Marciano,2020,0.05,200,Multi,2010,2018,MX,0,M,SPN,FSTS,ACC,1,1,INSYMA conf.; Indonesia/China
S233,S233,Kayaci,2022,0.06,200,Turkey,2015,2020,II,2,H,FOL,COMP,ACC,1,1,CumJourn; BIST-listed Turkey
S234,S234,Yip et al.,2000,0.06,150,Multi,1992,1998,MX,0,L,PRE,COMP,ACC,1,1,JIM; newly internationalizing firms
S235,S235,Freixanet & Rialp,2021,0.08,1500,Spain,2008,2016,II,2,M,FOL,EXP,MIX,1,1,GSJ; I→P with innovation mediator (distinct from S101 EMJ)
S236,S236,Barłożewski & Trąpczyński (2021a),2021,-0.1,97,Poland,2014,2019,MX,0,M,SPN,FSTS,ACC,1,0,EBER 9; exporter subsample n=97; r confirmed (see S195 for full-sample n=200 est.)
S237,S237,Barłożewski & Trąpczyński (2021b),2021,-0.04,304,Poland,2014,2019,MX,0,M,FOL,FSTS,ACC,1,0,OC 12; larger-sample n=304; r confirmed (see S196 for n=200 est.)
S238,E288,Srividhya et al.,2024,0.13,992,India,2005,2021,III,3,M,SPN,FSTS,ACC,1,0,"WoS-arm S0129; JEI 2024 v39(2); r=0.13** Table3 DOI-ROA corr experienced BGs; n≈992 firm-yr (72 firms, PROWESS 2005-2021); doi:10.11130/jei.2024033"
