seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extracted
864,High,Y,,2017,"Kiendrebeogo, Youssouf; Minea, Alexandru",Financial Factors and Manufacturing Exports: Firm-Level Evidence From Egypt,JOURNAL OF DEVELOPMENT STUDIES,10.1596/28933,,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; cdai_auto:L,
865,High,Y,,2017,"Abdolvand, Mohammad Ali; Keisami, Mina Khalili",Examining drivers of e-commerce marketing capabilities and their impact on export venture e-commerce performance and exp,HELIX,10.29042/2017-2141-2149,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
866,High,Y,,2017,"Nyamulinda, Bideri Ishuheri; Gaju, Alice Karema",Export Performance of SMEs in the Rwandan Mining Sector: Challenges and Prospects,MANAGEMENT CHALLENGES IN DIFFERENT TYPES OF AFRICAN FIRMS: P,10.1007/978-981-10-4536-3_12,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:EXP; fp_type_auto:EXP,
510,High,Y,,2016,"Bhaumik, Sumon Kumar; Driffield, Nigel; Zhou, Ying","Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging ",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.12.006,2,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
521,High,Y,,2016,"Kirca, Ahmet H.; Fernandez, Whitney Dougla; Kundu, Sumit K.",An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and ,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2016.03.003,2,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
527,High,Y,,2016,"Clegg, Jeremy; Lin, Hsin Mei; Voss, Hinrich; Yen, I-Fan; Shih, Yi Tien",The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and externa,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.01.010,2,L,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
535,High,Y,,2016,"Boehe, Dirk Michael; Jimenez, Alfredo",How does the geographic export diversification-performance relationship vary at different levels of export intensity?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.03.011,,,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
542,High,Y,,2016,"Geleilate, Jose-Mauricio G.; Magnusson, Peter; Parente, Ronaldo C.; Alvarado-Var",Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and D,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.06.001,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
869,High,Y,,2016,"Charoensukmongkol, Peerayuth",Cultural intelligence and export performance of small and medium enterprises in Thailand: Mediating roles of organizatio,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEU,10.1177/0266242614539364,2,M,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Thailand; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,
870,High,Y,,2016,"Altuzarra, A.; Bustillo, R.; Rodriguez, C.",Understanding Export Market Success: Evidence from Manufacturing Firms,OPEN ECONOMIES REVIEW,10.1007/s11079-015-9368-6,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
871,High,Y,,2016,"Arudchelvan, Menaka; Wignaraja, Ganeshan",SME Internationalization Through Global Value Chains and Free Trade Agreements: Evidence from Malaysia,PRODUCTION NETWORKS AND ENTERPRISES IN EAST ASIA: INDUSTRY A,10.1007/978-4-431-55498-1_10,2,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Malaysia; cdai_auto:M,
872,High,Y,,2016,"Geldres-Weiss, Valeska V.; Uribe-Borquez, Claudina T.; Coudounaris, Dafnis N.; M",Innovation and experiential knowledge in firm exports: Applying the initial U-model,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2016.04.083,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
873,High,Y,,2016,"Secchi, Angelo; Tamagni, Federico; Tomasi, Chiara","Financial constraints and firm exports: accounting for heterogeneity, self-selection, and endogeneity",INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtw033,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
874,High,Y,,2016,"Galdeano-Gomez, Emilio; Perez-Mesa, Juan C.; Aznar-Sanchez, Jose A.",INTERNATIONALISATION OF SMES AND SIMULTANEOUS STRATEGIES OF COOPERATION AND COMPETITION: AN EXPLORATORY ANALYSIS,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2014.959040,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
875,High,Y,,2016,"Acar, F. Pinar",The effects of top management team composition on SME export performance: an upper echelons perspective,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,10.1007/s10100-015-0408-5,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,
876,High,Y,,2016,"Nas, Tulay Ilhan; Kalaycioglu, Ozan","The effects of the board composition, board size and CEO duality on export performance Evidence from Turkey",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-01-2015-0014,2,M,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Turkey; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,
877,High,Y,,2015,"Fuchs, Manfred; Koestner, Mariella",Standardisation and adaptation of firms' export marketing strategies in familiar European and non-familiar non-European ,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.069163,1,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe,
878,High,Y,,2015,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,10.1142/s1363919615500309,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
879,High,Y,,2015,"Kim, Young Gui; Suh, Jeongmeen",What Determines Small Champions' Export Performance? Evidence from Korea Firm-Level Data,ASIAN ECONOMIC PAPERS,10.1162/asep_a_00356,1,H,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Korea; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:H,
882,High,Y,,2015,"Marques, Helena",DOES THE GENDER OF TOP MANAGERS AND OWNERS MATTER FOR FIRM EXPORTS?,FEMINIST ECONOMICS,10.1080/13545701.2015.1029958,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
883,High,Y,,2015,"Masso, Jaan; Roigas, Kaert; Vahter, Priit","Foreign market experience, learning by hiring and firm export performance",REVIEW OF WORLD ECONOMICS,10.1007/s10290-015-0224-y,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
884,High,Y,,2015,"Gkypali, Areti; Rafailidis, Apostolos; Tsekouras, Kostas",Innovation and export performance: do young and mature innovative firms differ?,EURASIAN BUSINESS REVIEW,10.1007/s40821-015-0030-4,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
929,High,Y,,2015,"Sanfilippo, Marco",FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.11.005,,,3,FDI,LAB,NR,NR,,
609,High,Y,,2014,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,10.1016/j.dss.2013.11.001,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
888,High,Y,,2014,"Kahiya, Eldrede Tinashe; Dean, David L.",Export performance: multiple predictors and multiple measures approach,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-11-2012-0119,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:journal:AsiaPacific; doi_type_auto:EXP; fp_type_auto:EXP,
890,High,Y,,2014,"Diez-Vial, Isabel; Fernandez-Olmos, Marta",How Do Local Knowledge Spillovers and Experience Affect Export Performance?,EUROPEAN PLANNING STUDIES,10.1080/09654313.2012.741570,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,
891,High,Y,,2014,"Lodefalk, Magnus",The role of services for manufacturing firm exports,REVIEW OF WORLD ECONOMICS,10.1007/s10290-013-0171-4,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
892,High,Y,,2014,"Conti, Giuliano; Lo Turco, Alessia; Maggioni, Daniela",Spillovers through backward linkages and the export performance of business services. Evidence from a sample of Italian ,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2013.09.003,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Italy; doi_type_auto:EXP; fp_type_auto:EXP,
893,High,Y,,2014,"Boly, Amadou; Coniglio, Nicola Daniele; Prota, Francesco",Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African Countries,WORLD DEVELOPMENT,10.1016/j.worlddev.2014.02.006,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:EXP; fp_type_auto:EXP,
894,High,Y,,2014,"Dutot, Vincent; Bergeron, Francois; Raymond, Louis",Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspec,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,10.1016/j.ijinfomgt.2014.06.006,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
627,High,Y,,2013,"Yildiz, Harun Emre",Performance implications of multinationality: moderating role of foreign market entry mode,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2013-0021,,,3,entry_mode,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
645,High,Y,,2013,"Amadieu, Paul; Maurel, Carole; Viviani, Jean-Laurent","Intangibles, Export Intensity, and Company Performance in the French Wine Industry",JOURNAL OF WINE ECONOMICS,10.1017/jwe.2013.27,1,,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:france,
895,High,Y,,2013,"Raymond, Louis; St-Pierre, Josee",Strategic capability configurations for the internationalization of SMEs: A study in equifinality,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEU,10.1177/0266242610391325,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
897,High,Y,,2013,"Schminke, Annette; Van Biesebroeck, Johannes",Using export market performance to evaluate regional preferential policies in China,REVIEW OF WORLD ECONOMICS,10.1007/s10290-012-0145-y,2,M,3,,MKT,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; fp_type_auto:MKT; cdai_auto:M,
898,High,Y,,2013,"LiPuma, Joseph A.; Newbert, Scott L.; Doh, Jonathan P.",The effect of institutional quality on firm export performance in emerging economies: a contingency model of firm age an,SMALL BUSINESS ECONOMICS,10.1007/s11187-011-9395-7,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:emerging_economies; doi_type_auto:EXP; fp_type_auto:EXP,
900,High,Y,,2013,"Chandran, V. G. R.; Rasiah, Rajah","FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.668860,2,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Malaysia; cdai_auto:M,
932,High,Y,,2013,"Shiau, Huey-Ling; Huang, Chen-Jui; Chen, Fong-Chyi","International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analysis of Taiwan's FDI ",EMERGING MARKETS FINANCE AND TRADE,10.2753/ree1540-496x4905s413,2,H,3,FDI,,NR,NR,,
655,High,Y,,2012,"Alegre, Joaquin; Pla-Barber, Jose; Chiva, Ricardo; Villar, Cristina","Organisational learning capability, product innovation performance and export intensity",TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2012.674672,,,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
674,High,Y,,2012,"Ganotakis, Panagiotis; Love, James H.","Export propensity, export intensity and firm performance: The role of the entrepreneurial founding team",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2012.16,,,3,export_ratio,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
901,High,Y,,2012,"Nagy, Gabor; Beracs, Jozsef","Antecedents to the export market orientation of Hungarian higher education institutions, and their export performance co",JOURNAL OF MARKETING FOR HIGHER EDUCATION,10.1080/08841241.2012.738716,3,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Hungary; doi_type_auto:EXP; fp_type_auto:EXP,
904,High,Y,,2012,"De Beule, Filip; Duanmu, Jing-Lin",Locational determinants of internationalization: A firm-level analysis of Chinese and Indian acquisitions,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2012.03.006,2,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; cdai_auto:L,
905,High,Y,,2012,"Yi, Jingtao; Wang, Chengqi","The decision to export: Firm heterogeneity, sunk costs, and spatial concentration",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.001,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
934,High,Y,,2012,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",A longitudinal study of the relationship between export activity and innovation in the Spanish firm: The moderating role,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.010,,,3,EXP,LAB,NR,NR,,
935,High,Y,,2012,"Zhang, Heather; Smith, Michael R.",Globalization and workplace performance in Canada: Cross-sectional and dynamic analyses of productivity and wage outcome,RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY,10.1016/j.rssm.2012.04.001,1,H,3,,LAB,NR,NR,,
695,High,Y,,2011,"Abor, Joshua",Do Export Status and Export Intensity Increase Firm Performance?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.20386,,,3,export_ratio,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
907,High,Y,,2011,"Minetti, Raoul; Zhu, Susan Chun",Credit constraints and firm export: Microeconomic evidence from Italy,JOURNAL OF INTERNATIONAL ECONOMICS,10.1016/j.jinteco.2010.12.004,1,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Italy; cdai_auto:M,
936,High,Y,,2011,"Sharma, Chandan; Mishra, Ritesh",Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,INTERNATIONAL REVIEW OF APPLIED ECONOMICS,10.1080/02692171.2011.557046,2,M,3,,LAB,NR,NR,,
717,High,Y,,2010,"Rugman, Alan M.; Oh, Chang Hoon",Does the regional nature of multinationals affect the multinationality and performance relationship?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.02.012,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
727,High,Y,,2009,"Verbeke, Alain; Brugman, Paul",Triple-testing the quality of multinationality-performance research: An internalization theory perspective,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.01.005,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
734,High,Y,,2008,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-008-0027-7,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
940,High,Y,,2002,"Castellani, D",Export behavior and productivity growth: Evidence from Italian manufacturing firms,WELTWIRTSCHAFTLICHES ARCHIV-REVIEW OF WORLD ECONOMICS,10.1007/bf02707654,,,2,EXP,LAB,NR,NR,,
170,High,N,,2023,"Pedersen, Torben; Tallman, Stephen",Global strategy collections: Multinationality and performance,GLOBAL STRATEGY JOURNAL,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
276,High,N,,2021,"Andre, Nuno Miguel Queimado",Sector productivity and geographical diversification as export enhancing factors: the case of Portugal,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,,,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Exporting / export activity,
328,High,N,,2020,"Nguyen, Quyen T. K.; Kim, Sylvia",The multinationality and performance relationship: Revisiting the literature and exploring the implications,INTERNATIONAL BUSINESS REVIEW,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
466,High,N,,2017,"Castellani, Davide; Montresor, Sandro; Schubert, Torben; Vezzani, Antonio","Multinationality, R&D and productivity: Evidence from the top R&D investors worldwide",INTERNATIONAL BUSINESS REVIEW,,,,3,COMP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
467,High,N,,2017,"Richter, Nicole Franziska; Schmidt, Robert; Ladwig, Tina Jessica; Wulhorst, Fabi",A critical perspective on the measurement of performance in the empirical multinationality and performance literature,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
469,High,N,,2017,"Chang, Sea-Jin; Chung, Jaiho",A Quasi-experimental Approach to the Multinationality-performance Relationship: An Application to Learning-by-exporting,GLOBAL STRATEGY JOURNAL,,,,3,EXP,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; fp_auto:pm:Accounting; doi_type_auto:Exporting / export activity,
491,High,N,,2017,"Grant, Kevin; Matousek, Roman; Meyer, Martin; Tzeremes, Nickolaos G.",A research note on multinationality and firm performance Nonparametric frontier analysis,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,,,,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
547,High,N,,2016,"Kelley, Keith J.",Spatial relativism in multinationality and performance research,AMERICAN JOURNAL OF BUSINESS,,1,L,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:usa; doi_type_auto:Multinationality / DOI,
606,High,N,,2014,"Powell, K. Skylar",From M-P to MA-P: Multinationality alignment and performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
633,High,N,,2013,"Manjon Antolin, Miguel; Manez, Juan A.; Rochina Barrachina, Maria E.; Sanchis Ll",Export intensity and the productivity gains of exporting,APPLIED ECONOMICS LETTERS,,,,3,export_ratio,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
657,High,N,,2012,"Cieslik, Jerzy; Kaciak, Eugene; Welsh, Dianne H. B.",The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,3,geographic_diversification,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
659,High,N,,2012,"Rodriguez-Rodriguez, Manuel; Galdeano-Gomez, Emilio; Carmona-Moreno, Eva; Godoy-","Environmental Impact, Export Intensity, and Productivity Interactions: An Empirical Index Analysis of the Agri-Food Indu",CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE ,,1,,3,export_ratio,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:canada,
663,High,N,,2012,"Anon Higon, Dolores; Manjon Antolin, Miguel","Multinationality, foreignness and institutional distance in the relation between R&D and productivity",RESEARCH POLICY,,,,3,COMP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
675,High,N,,2012,"Verbeke, Alain; Forootan, M. Zaman",HOW GOOD ARE MULTINATIONALITY-PERFORMANCE (M-P) EMPIRICAL STUDIES?,GLOBAL STRATEGY JOURNAL,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
686,High,N,,2012,"Verbeke, Alain; Brugman, Paul",Triple testing the quality of multinationality-performance research,HANDBOOK OF RESEARCH ON INTERNATIONAL STRATEGIC MANAGEMENT,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
701,High,N,,2011,"Hennart, Jean-Francois",A THEORETICAL ASSESSMENT OF THE EMPIRICAL LITERATURE ON THE IMPACT OF MULTINATIONALITY ON PERFORMANCE,GLOBAL STRATEGY JOURNAL,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
713,High,N,,2010,"Kim, Seog-Soo",A Study on the Relationship between Multinationality and Performance among Korean Firms,JOURNAL OF KOREA TRADE,,1,L,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
735,High,N,,2008,"Li, Lei",Multinationality and technical efficiency: A neglected perspective,MANAGEMENT INTERNATIONAL REVIEW,,,,2,COMP,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
737,High,N,,2008,"Bae, Sung C.; Park, Bell J. C.; Wang, Xiaohong","Multinationality, R&D Intensity, and Firm Performance: Evidence from U.S. Manufacturing Firms",MULTINATIONAL BUSINESS REVIEW,,1,L,2,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
742,High,N,,2008,"Bouquet, Cyril; Deutsch, Yuval",The impact of corporate social performance on a firm's multinationality,JOURNAL OF BUSINESS ETHICS,,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
752,High,N,,2007,"Bowen, Harry P.",THE EMPIRICS OF MULTINATIONALITY AND PERFORMANCE,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
782,High,N,,1991,"JUNG, YJ",MULTINATIONALITY AND PROFITABILITY,JOURNAL OF BUSINESS RESEARCH,,,,1,COMP,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
8,Medium,Y,,2026,"Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Paren","Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,1,M,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe,
9,Medium,Y,,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capita,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
13,Medium,Y,,2026,"Ma, Peng; Tan, Ya; Xu, Feng",Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,2,L,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
16,Medium,Y,,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in bu,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
17,Medium,Y,,2026,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transf,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
18,Medium,Y,,2026,"Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling","ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothi",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.70460,,,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
