seq,title,year,journal,doi,extraction_priority,decision,reason
693,The impact of the 2004 EU enlargement on the performance of service enterprises in Germany's eastern border region,2010,REVIEW OF WORLD ECONOMICS,10.1007/s10290-009-0042-1,1_DOI_FIRST,UNSURE,title_insufficient
694,The returns to exporting: evidence from UK firms,2010,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,10.2139/ssrn.959408,1_DOI_FIRST,UNSURE,title_insufficient
695,IS INTERNATIONALIZATION ASSOCIATED WITH INVESTMENTS IN HRM? A STUDY OF ENTREPRENEURIAL FIRMS IN EMERGING MARKETS,2010,HUMAN RESOURCE MANAGEMENT,10.1002/hrm.20367,1_DOI_FIRST,UNSURE,title_insufficient
696,Exploring the Impact of Legal Systems and Financial Structure on Corporate Responsibility,2010,JOURNAL OF BUSINESS ETHICS,10.1007/978-94-007-2926-1_5,1_DOI_FIRST,UNSURE,title_insufficient
697,Distribution system choice in a service industry: An analysis of international insurance firms operating in the United S,2010,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2010.06.006,1_DOI_FIRST,UNSURE,title_insufficient
698,Internationalisation drivers of Indian firms,2010,ASIAN BUSINESS & MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
699,THE PERFORMANCE IMPLICATIONS OF INTRA- AND INTER-REGIONAL GEOGRAPHIC DIVERSIFICATION,2010,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
700,The local/global integration of MNC subsidiaries and their technological behaviour: Argentina in the late 1990s,2010,RESEARCH POLICY,10.1016/j.respol.2010.04.002,1_DOI_FIRST,UNSURE,title_insufficient
701,"Internationalization, resource allocation and firm performance",2010,INDUSTRIAL MARKETING MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
702,The effect of foreign ownership on SMEs performance: An efficiency analysis perspective,2010,JOURNAL OF PRODUCTIVITY ANALYSIS,10.1007/s11123-010-0174-2,1_DOI_FIRST,UNSURE,title_insufficient
703,DO FOREIGN FIRMS CROWD OUT DOMESTIC FIRMS? EVIDENCE FROM THE CZECH REPUBLIC,2010,REVIEW OF ECONOMICS AND STATISTICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
704,The impact of knowledge management on SME growth and profitability: A structural equation modelling study,2010,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
705,"Performance, diversity, and multiplicity of foreign cross-listing portfolios",2010,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2010.04.003,1_DOI_FIRST,UNSURE,title_insufficient
706,Interdependence between Overseas and Domestic R&D Activities: Evidence from Taiwanese Multinationals,2010,ASIAN ECONOMIC JOURNAL,10.1111/j.1467-8381.2010.02041.x,1_DOI_FIRST,UNSURE,title_insufficient
707,"Knowledge Management and Balanced Scorecard Outcomes: Exploring the Importance of Interpretation, Learning and Internati",2010,BRITISH JOURNAL OF MANAGEMENT,10.1111/j.1467-8551.2009.00634.x,1_DOI_FIRST,UNSURE,title_insufficient
708,DETERMINANTS OF THE ITALIAN LABOR PRODUCTIVITY: A QUANTILE REGRESSION APPROACH,2011,STATISTICA,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
709,The Response of MNCs to Radical Systemic Change in a Transition Environment,2011,JOURNAL OF EAST-WEST BUSINESS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
710,Corporate derivatives and foreign exchange risk management A case study of non-financial firms of Pakistan,2011,JOURNAL OF RISK FINANCE,,2_NO_DOI_MANUAL,N,HARD:qual:case_study
711,Economic Liberalisation and Financing Pattern of Indian Acquiring Firms Abroad,2011,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2011.11658285,1_DOI_FIRST,UNSURE,title_insufficient
712,Does market context impact payoffs to internationalization?,2011,EUROPEAN BUSINESS REVIEW,10.1108/09555341111158100,1_DOI_FIRST,UNSURE,title_insufficient
713,"Internationalization, Innovativeness, and Proactive Environmental Strategy among Small and Medium Enterprises",2011,CROSS-SECTOR LEADERSHIP FOR THE GREEN ECONOMY: INTEGRATING RESEARCH AND PRACTICE ON SUSTAINABLE ENTERPRISE,10.1057/9781137015891_13,1_DOI_FIRST,UNSURE,title_insufficient
714,Is there new evidence to show that product and international diversification influence SMEs' performance?,2011,EUROMED JOURNAL OF BUSINESS,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_sme_perf
715,The role of multi-ethnic workforces in the internationalisation of SMEs,2011,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,10.1108/14626001111179785,1_DOI_FIRST,UNSURE,title_insufficient
716,The early and rapid internationalization of Asian emerging MNEs,2011,COMPETITIVENESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
717,The internationalization of Indian SMEs in B-to-B markets,2011,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
718,The Internationalization of Iceland's Financial Sector,2011,PRELUDES TO THE ICELANDIC FINANCIAL CRISIS,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_financial
719,"The Link between Born Global Growth, Network Evolution and Firm Performance: A Theoretical Framework",2011,"FIRM-LEVEL INTERNATIONALIZATION, REGIONALISM AND GLOBALIZATION",10.1057/9780230305106_18,1_DOI_FIRST,UNSURE,title_insufficient
720,Developing and testing a multi-dimensional knowledge management model on Slovenian SMEs,2011,BALTIC JOURNAL OF MANAGEMENT,10.1108/17465261111131802,1_DOI_FIRST,UNSURE,title_insufficient
721,Internationalization and financial performance in the global forest industry,2011,INTERNATIONAL FORESTRY REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
722,AWAKENING DRAGONS: AN EXPLORATION OF THE INTERNATIONALISATION OF CHINESE SMES FROM THE ELECTRONICS SECTOR,2011,INTERNATIONAL MARKETING: EMERGING MARKETS,10.1108/s1474-7979(2011)0000021004,1_DOI_FIRST,UNSURE,title_insufficient
723,Global supply chain adaptations to improve financial performance Supply base establishment and logistics integration,2011,JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,,2_NO_DOI_MANUAL,N,HARD:proc:supply_chain
724,Innovation and internationalization through exports,2011,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
725,"Internationalization, intangible assets and Taiwanese SMEs' performance: Evidence of an Asian newly-industrialized econo",2011,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
726,"Capital Endowment, Credit Constraint and FDI: Analysis Based on Heterogeneous Firms",2011,FRONTIERS OF ECONOMICS IN CHINA,10.1007/s11459-011-0122-8,1_DOI_FIRST,UNSURE,title_insufficient
727,Credit constraints and firm export: Microeconomic evidence from Italy,2011,JOURNAL OF INTERNATIONAL ECONOMICS,10.1016/j.jinteco.2010.12.004,1_DOI_FIRST,UNSURE,title_insufficient
728,The effect of multinationality on firm performance: An examination of Japanese service firms,2011,ASIAN BUSINESS & MANAGEMENT,10.1057/abm.2010.32,1_DOI_FIRST,Y,STRONG:SI:multi_perf
729,"Firm, industry and corporation effects revisited: a mixed multilevel analysis for Chilean companies",2010,APPLIED ECONOMICS LETTERS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
730,The impact of international influence on microbanks' performance: A global survey,2011,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2010.07.006,1_DOI_FIRST,Y,STRONG:SI:impact_intl_perf
731,Demonstration or congestion? Export spillovers in Sweden,2011,REVIEW OF WORLD ECONOMICS,10.2139/ssrn.870237,1_DOI_FIRST,UNSURE,title_insufficient
732,"R&D, product innovation, and exporting: evidence from UK new technology based firms",2011,OXFORD ECONOMIC PAPERS-NEW SERIES,10.1093/oep/gpq027,1_DOI_FIRST,UNSURE,title_insufficient
733,"EFFECTS OF ALLIANCES, TIME, AND NETWORK COHESION ON THE INITIATION OF FOREIGN SALES BY NEW VENTURES",2011,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.884,1_DOI_FIRST,UNSURE,title_insufficient
734,"International business and economic geography: knowledge, time and transactions costs",2011,JOURNAL OF ECONOMIC GEOGRAPHY,10.1093/jeg/lbq035,1_DOI_FIRST,UNSURE,title_insufficient
735,The Impact of China's Labor Contract Law on Firm Performance: Empirical Evidence from Taiwanese Investment in China,2010,ISSUES & STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
736,Quantitative Evaluation of the Determinants of Export and FDI: Firm-level Evidence from Japan,2011,WORLD ECONOMY,10.1111/j.1467-9701.2011.01331.x,1_DOI_FIRST,N,HARD:ant:determinants
737,Organizational Learning and Capabilities for Onshore and Offshore Business Process Outsourcing,2010,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,10.2753/mis0742-1222270302,1_DOI_FIRST,UNSURE,title_insufficient
738,Drivers and impacts in the globalization of corporate R&D: an introduction based on the European experience,2011,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtr005,1_DOI_FIRST,N,HARD:DV:rd_globalization
739,THE RELATIONSHIP BETWEEN INTERNATIONAL DIVERSIFICATION AND FIRM PERFORMANCE: WHY IT REMAINS A PUZZLE,2011,GLOBAL STRATEGY JOURNAL,10.1002/gsj.5,1_DOI_FIRST,Y,STRONG:SI:intl_and_perf
740,Learning about foreign markets: A study of Czech SMEs,2011,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-010-0067-5,1_DOI_FIRST,UNSURE,title_insufficient
741,Do firms benefit from multinationality through production shifting?,2011,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2011.01.004,1_DOI_FIRST,UNSURE,title_insufficient
742,International scientist mobility and the locus of knowledge and technology transfer,2011,RESEARCH POLICY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
743,Human resource management and early internationalization: is there a leap-frogging in international staffing?,2011,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,10.1080/09585192.2011.580186,1_DOI_FIRST,UNSURE,title_insufficient
744,R&D and the Export Decision of New Firms,2011,SOUTHERN ECONOMIC JOURNAL,,2_NO_DOI_MANUAL,N,HARD:ant:export_decision
745,Not All That Glitters The Direct Effects of Privatization Through Foreign Investment,2011,EASTERN EUROPEAN ECONOMICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
746,The liberalization of public services: Company reactions and consequences for employment and working conditions,2011,ECONOMIC AND INDUSTRIAL DEMOCRACY,10.1177/0143831x10389201,1_DOI_FIRST,UNSURE,title_insufficient
747,Venturing Abroad by Emerging Market Enterprises A Test of Dual Strategic Intents,2011,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
748,"Entrepreneurial orientation, management commitment, and human capital: The internationalization of SMEs in India",2011,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2010.11.024,1_DOI_FIRST,N,HARD:ant:eo_intl
749,Corporate elite career experiences and strategic preferences: the case of the Chinese corporate governance reform,2011,HANDBOOK OF RESEARCH ON TOP MANAGEMENT TEAMS,10.4337/9780857933201.00017,1_DOI_FIRST,N,HARD:gov:corp_gov
750,Linking market orientation to international market selection and international performance,2011,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2010.10.003,1_DOI_FIRST,Y,STRONG:SI:intl_and_perf
751,Environment-quality management coalignment across industrial contexts: An empirical investigation of performance implica,2011,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2011.02.001,1_DOI_FIRST,UNSURE,title_insufficient
752,The influence of operating strategies and firm's characteristics on factor productivity: Evidence from the lighting equi,2011,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
753,Does Board Independence Influence the Top Management Team? Evidence from Strategic Decisions toward Internationalization,2011,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,10.1111/j.1467-8683.2011.00850.x,1_DOI_FIRST,UNSURE,title_insufficient
754,"Host-country experience, location strategy and investment performance: An empirical study of Taiwan IT companies in Chin",2011,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,10.5897/ajbm10.649,1_DOI_FIRST,N,HARD:strat:location_strat
755,Country and firm level factors in international retail expansion,2011,EUROPEAN JOURNAL OF MARKETING,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
756,Is Canadian intellectual property leaving Canada? A study of nanotechnology patenting,2011,JOURNAL OF TECHNOLOGY TRANSFER,10.1007/s10961-011-9211-1,1_DOI_FIRST,UNSURE,title_insufficient
757,"Antecedents to the export market orientation of Hungarian higher education institutions, and their export performance co",2012,JOURNAL OF MARKETING FOR HIGHER EDUCATION,10.1080/08841241.2012.738716,1_DOI_FIRST,Y,STRONG:SI:exp_perf
758,Can strong home country institutions foster the internationalization of MNEs?,2012,MULTINATIONAL BUSINESS REVIEW,10.1108/15253831211286264,1_DOI_FIRST,UNSURE,title_insufficient
759,The international performance of standardizing and customizing Spanish firms: The M curve relationships,2012,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
760,R&D offshoring in multinational enterprises Relevance of transaction cost and internalization theories,2012,COMPETITIVENESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
761,Which manufacturing firms learn by exporting?,2012,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
762,Playing around an oxymoron: international business with a human face,2012,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,10.1108/17422041211197567,1_DOI_FIRST,UNSURE,title_insufficient
763,Globalising the hotel industry 1946-68: A multinational case study of the Intercontinental Hotel Corporation,2012,BUSINESS HISTORY,10.1080/00076791.2011.631116,1_DOI_FIRST,N,HARD:qual:case_study
764,"Organisational learning capability, product innovation performance and export intensity",2012,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2012.674672,1_DOI_FIRST,Y,STRONG:SI:perf_exp
765,Multinationality-Performance Relationship A Meta-analysis,2012,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:multi_perf
766,"Family ownership and internationalization processes: Internationalization pace, internationalization scope, and internat",2012,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2011.10.003,1_DOI_FIRST,UNSURE,title_insufficient
767,Perceived benefits and barriers to export involvement: Insights from non-exporters,2011,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
768,"Size, productivity, and international banking",2011,JOURNAL OF INTERNATIONAL ECONOMICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
769,Diversification and firm performance in China,2011,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
770,Cross-border relocations of headquarters in Europe,2012,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2011.52,1_DOI_FIRST,UNSURE,title_insufficient
771,Time-varying risk and long-term reversals: A re-examination of the international evidence,2012,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2011.41,1_DOI_FIRST,UNSURE,title_insufficient
772,Impact of Growth Opportunities and Competition on Firm-Level Capability Development Trade-offs,2012,ORGANIZATION SCIENCE,10.1287/orsc.1100.0628,1_DOI_FIRST,UNSURE,title_insufficient
773,"Entrepreneurial Orientation, Social Capital, and the Inter-national-ization of SMEs: Evidence From China",2012,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
774,The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),2012,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_perf
775,Foreign Investors in The Netherlands: Heterogeneous Employment and Productivity Effects,2011,ECONOMIST-NETHERLANDS,10.1007/s10645-011-9174-5,1_DOI_FIRST,UNSURE,title_insufficient
776,"Successor characteristics, change in the degree of firm internationalization, and firm performance: The moderating role ",2012,JOURNAL OF MANAGEMENT & ORGANIZATION,10.5172/jmo.2012.18.1.16,1_DOI_FIRST,Y,STRONG:SI:intl_perf
777,Disentangling barriers to internationalization,2012,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
778,"Geographic market access and the effects of trade on length of production run, product diversity and plant scale of Cana",2012,JOURNAL OF ECONOMIC GEOGRAPHY,10.1093/jeg/lbq059,1_DOI_FIRST,UNSURE,title_insufficient
779,"International new ventures as ""small multinationals"": The importance of marketing capabilities",2012,JOURNAL OF WORLD BUSINESS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
780,THE ROLE OF TERRITORIAL COVERAGE AND PRODUCT DIVERSIFICATION IN THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP,2012,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1031,1_DOI_FIRST,Y,STRONG:SI:multi_perf
781,THE ROLE OF CONTEXT IN THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP: A META-ANALYTIC REVIEW,2012,GLOBAL STRATEGY JOURNAL,,2_NO_DOI_MANUAL,Y,STRONG:SI:multi_perf
782,Co-opting the environment: an empirical test of resource-dependence theory,2012,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,10.1080/09585192.2011.610952,1_DOI_FIRST,UNSURE,title_insufficient
783,The internationalization of science and its influence on academic entrepreneurship,2012,JOURNAL OF TECHNOLOGY TRANSFER,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
784,Internationalization of Established Small Manufacturers in a Developing Economy: A Case Study of Kenyan SMEs,2012,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21480,1_DOI_FIRST,N,HARD:qual:case_study
785,The productivity payoff of information technology in multimarket SMEs,2012,SMALL BUSINESS ECONOMICS,10.1007/s11187-010-9297-0,1_DOI_FIRST,UNSURE,title_insufficient
786,MNCs' offshore R&D networks in host country's regional innovation system: The case of Taiwan-based firms in China,2012,RESEARCH POLICY,10.1016/j.respol.2012.03.016,1_DOI_FIRST,UNSURE,title_insufficient
787,Capability creation and internationalization with business group embeddedness - the case of Tata Motors in passenger car,2012,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2012.03.009,1_DOI_FIRST,UNSURE,title_insufficient
788,Examining market entry mode strategies via resource-based and institutional influences: Empirical evidence from a region,2012,AUSTRALASIAN MARKETING JOURNAL,,2_NO_DOI_MANUAL,N,HARD:ant:entry_mode
789,THE COMPETITIVENESS OF EXPORTERS FROM CROATIAN MANUFACTURING INDUSTRY,2012,EKONOMSKI PREGLED,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
790,Performance Implications of MNEs' Diversification Strategies and Institutional Distance,2012,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21492,1_DOI_FIRST,N,HARD:ant:inst_dist
791,Sequential exporting,2012,JOURNAL OF INTERNATIONAL ECONOMICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
792,Exploring the role of government involvement in outward FDI from emerging economies,2012,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1007/978-3-319-51715-5_5,1_DOI_FIRST,UNSURE,title_insufficient
793,The impact of internationalization on performance and innovation: The moderating effects of ownership concentration,2012,ASIA PACIFIC JOURNAL OF MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
794,The performance of small and medium-sized technology-based enterprises: Do product diversity and international diversity,2012,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.11.003,1_DOI_FIRST,UNSURE,title_insufficient
795,"The decision to export: Firm heterogeneity, sunk costs, and spatial concentration",2012,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.001,1_DOI_FIRST,UNSURE,title_insufficient
796,An AHP-multicriteria suitability evaluation of technological diversification in the automotive industry,2012,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
797,Export behavior of Italian food firms: Does product quality matter?,2012,FOOD POLICY,10.1016/j.foodpol.2012.05.004,1_DOI_FIRST,UNSURE,title_insufficient
798,THE DETERMINANTS OF ENTERPRISE PROFITABILITY DURING REDUCED ECONOMIC ACTIVITY,2012,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2011.645864,1_DOI_FIRST,UNSURE,title_insufficient
799,Firms' Internationalisation Strategies: The Evidence,2011,PALGRAVE HANDBOOK OF INTERNATIONAL TRADE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
800,International expansion and firm performance in emerging market: evidence from China,2012,CHINESE MANAGEMENT STUDIES,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_and_perf
801,The diversification effects of a firm's political connection and its performance implications Evidence from China,2012,CHINESE MANAGEMENT STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
802,"The internationalization of small and medium-sized enterprises: the effect of family management, human capital and forei",2012,JOURNAL OF MANAGEMENT AND GOVERNANCE,10.1007/s10997-010-9166-x,1_DOI_FIRST,UNSURE,title_insufficient
803,UNRAVELING THE RELATIONSHIPS BETWEEN INTERNATIONALIZATION AND PRODUCT DIVERSIFICATION AMONG THE WORLD'S LARGEST FOOD AND,2011,FUTURE OF FOREIGN DIRECT INVESTMENT AND THE MULTINATIONAL ENTERPRISE,10.1108/s1064-4857(2011)0000015016,1_DOI_FIRST,UNSURE,title_insufficient
804,THE BORN GLOBAL ILLUSION AND THE REGIONAL NATURE OF INTERNATIONAL BUSINESS,2011,FUTURE OF FOREIGN DIRECT INVESTMENT AND THE MULTINATIONAL ENTERPRISE,10.1108/s1064-4857(2011)0000015015,1_DOI_FIRST,UNSURE,title_insufficient
805,DEGREE OF INTERNATIONALIZATION IN LOGISTICS SECTOR AND STRATEGIC ORIENTATIONS,2013,LOGFORUM,,2_NO_DOI_MANUAL,Y,STRONG:SI:doi_explicit
806,AN INVESTIGATION INTO MEDIUM-SIZED MULTINATIONAL ENTERPRISES,2013,ATTI ACCADEMIA PELORITANA DEI PERICOLANTI-CLASSE DI SCIENZE FISICHE MATEMATICHE E NATURALI,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
807,Internationalization of an Islamic investment bank: opportunities and challenges of Arcapita,2013,JOURNAL OF STRATEGY AND MANAGEMENT,10.1108/17554251311322422,1_DOI_FIRST,UNSURE,title_insufficient
808,The effects of legal protections and control-ownership divergences on investor perceptions of foreign earnings,2013,JOURNAL OF FINANCIAL REGULATION AND COMPLIANCE,10.1108/13581981311315668,1_DOI_FIRST,UNSURE,title_insufficient
809,Regionalization strategy and performance The moderating role of industry dynamism and top management team diversity,2013,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
810,The M Curve and the multinationality-performance relationship of Korean INVs,2013,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:multi_perf
811,Graduating to globalisation: a study of Southern multinationals,2013,INDIAN GROWTH AND DEVELOPMENT REVIEW,10.1108/igdr-12-2012-0050,1_DOI_FIRST,UNSURE,title_insufficient
812,What can Latin-American entrepreneurs learn from Catalan gazelles?,2013,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/arla-06-2013-0069,1_DOI_FIRST,UNSURE,title_insufficient
813,The internet as an alternative path to internationalization?,2013,INTERNATIONAL MARKETING REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
814,Does firm heterogeneity affect foreign market entry and exit symmetrically? Empirical evidence for French firms,2013,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,10.1016/j.jebo.2012.10.016,1_DOI_FIRST,UNSURE,title_insufficient
815,"Sub-national institutions, firm strategies, and firm performance: A multilevel study of private manufacturing firms in V",2013,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2012.06.008,1_DOI_FIRST,UNSURE,title_insufficient
816,"Environmental Innovations, Local Networks and Internationalization",2012,INDUSTRY AND INNOVATION,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
817,Influence of entrepreneurial teams on the growth orientation of early-stage high-tech SMEs in China Multiple measures of,2013,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION,10.5367/ijei.2013.0106,1_DOI_FIRST,UNSURE,title_insufficient
818,Learning by exporting: Lessons from high-technology SMEs,2013,INTERNATIONAL BUSINESS REVIEW,10.1108/dlo.2013.08127caa.012,1_DOI_FIRST,Y,STRONG:SI:LBE
819,Business group attributes and internationalization strategy in China,2013,ASIAN BUSINESS & MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
820,"Mechanisms of corporate governance going international Testing its performance effects in the Swedish economy, 2004",2013,BALTIC JOURNAL OF MANAGEMENT,,2_NO_DOI_MANUAL,N,HARD:gov:corp_gov
821,Performance effects of international expansion processes: The moderating role of top management team experiences,2013,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2012.04.006,1_DOI_FIRST,UNSURE,title_insufficient
822,The influence of ownership structure on internationalization,2013,INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
823,Exports and FDI motivations: Empirical evidence from US foreign subsidiaries,2013,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2012.02.002,1_DOI_FIRST,UNSURE,title_insufficient
824,Geographic and Product Diversification in Charitable Organizations,2013,JOURNAL OF MANAGEMENT,10.1177/0149206311398135,1_DOI_FIRST,UNSURE,title_insufficient
825,Internationalization of the Polish economy and its susceptibility to the global crisis after 2007,2013,INTERNATIONAL JOURNAL OF MANAGEMENT AND ECONOMICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
826,"First mover, strategic alliances and performance: context of turmoil in China",2012,CHINESE MANAGEMENT STUDIES,10.1108/17506141211280308,1_DOI_FIRST,UNSURE,title_insufficient
827,Performance drivers in the casino industry: Evidence from Slovenia,2013,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2012.05.006,1_DOI_FIRST,UNSURE,title_insufficient
828,A Comparative Study of Technology and Industry Clusters of SMEs in India,2012,SCIENCE TECHNOLOGY AND SOCIETY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
829,"Innovation, internationalization and entrepreneurship: A new venture research perspective",2012,INNOVATION-ORGANIZATION & MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
830,"Technology transfer, specific local knowledge and entrepreneurial partner control in international joint ventures",2013,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-012-0244-1,1_DOI_FIRST,UNSURE,title_insufficient
831,Export Strategies and Performance of Small and Medium-sized Enterprises: Evidence from Korean Manufacturing SMEs,2013,JOURNAL OF KOREA TRADE,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_perf
832,Network analysis to detect common strategies in Italian foreign direct investment,2013,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,10.1016/j.physa.2012.10.033,1_DOI_FIRST,N,HARD:ant:network_strat
833,Domestic transport infrastructure and firms' export market participation,2013,SMALL BUSINESS ECONOMICS,10.1007/s11187-011-9393-9,1_DOI_FIRST,UNSURE,title_insufficient
834,Location determinants for emerging market firms,2013,MANAGEMENT DECISION,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
835,Family Management and Internationalization: The Impact on Firm Performance and Innovation,2013,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
