seq,priority,doi_available,year,authors,title,journal,doi,access_link,icrv,dpl,doi_type,fp_type,country,cdai,n,r,coding_warning,notes,extracted
26,Medium,Y,2026,"Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan","Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2026.116151,https://doi.org/10.1016/j.jbusres.2026.116151,2,3,other,TBD,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
27,Medium,Y,2026,"Kaur, Navjot; Singh, Balwinder",Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,GLOBAL BUSINESS REVIEW,10.1177/09721509261437526,https://doi.org/10.1177/09721509261437526,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
33,Medium,Y,2025,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",The effect of restructuring internationalized companies on performance: Evidence from European firms,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,https://doi.org/10.1111/emre.12672,1,3,other,TBD,Europe,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:europe,N
36,Medium,Y,2025,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,https://doi.org/10.1057/s41291-024-00280-7,2,3,other,TBD,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
41,Medium,Y,2025,"Xu, Xin; Sun, Meiya","Digital Transformation, Internationalisation and ESG Performance of Multinational Companies",MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.4496,https://doi.org/10.1002/mde.4496,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
42,Medium,Y,2025,"Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu","Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization",ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2025.2450465,https://doi.org/10.1080/13602381.2025.2450465,2,3,other,TBD,Vietnam,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
43,Medium,Y,2025,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, Shlomo Y.",Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102275,https://doi.org/10.1016/j.ibusrev.2024.102275,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
46,Medium,Y,2025,"Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana","Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",SUSTAINABILITY,10.3390/su17041576,https://doi.org/10.3390/su17041576,2,3,other,firm_performance,China,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
50,Medium,Y,2025,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-025-00573-9,https://doi.org/10.1007/s11575-025-00573-9,2,3,other,TBD,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
53,Medium,Y,2025,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,https://doi.org/10.1016/j.jbusres.2025.115378,1,3,other,TBD,Spain,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:spain,N
56,Medium,Y,2025,"Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.","Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,https://doi.org/10.1016/j.jrurstud.2025.103682,1,3,other,financial_perf,Spain,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:spain,N
62,Medium,Y,2025,"Zhong, Xi; Ren, Ge; Wu, Xiaojie","Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?",INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0045,https://doi.org/10.1108/imr-02-2024-0045,,3,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
68,Medium,Y,2025,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,https://doi.org/10.5755/j01.ee.36.3.31403,3,3,other,firm_performance,Poland,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
76,Medium,Y,2025,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; Nguyen, Huyen Thi",Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,https://doi.org/10.1108/jgoss-10-2024-0102,2,3,other,TBD,Vietnam,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
77,Medium,Y,2025,"Tran, Ai-Cam; Dao, Thu-Hien Thi","Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisation performance: the moderating role of entrepreneurial leadership",JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2025.10071182,https://doi.org/10.1504/jibed.2025.10071182,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
78,Medium,Y,2025,"Shih, Yu-Yuan; Lin, Chih-An",Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sustainability amidst supply chain restructuring,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-01-2025-0047,https://doi.org/10.1108/jbim-01-2025-0047,,3,FDI,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
80,Medium,Y,2025,"Chang, Yali; Wu, Yijie; Lv, Yue",RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,10.1080/16081625.2025.2596994,https://doi.org/10.1080/16081625.2025.2596994,,3,other,TFP,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
81,Medium,Y,2025,"Shin, Joon-Ho; Choi, Chang-Bum",Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,https://doi.org/10.35611/jkt.2025.29.6.173,1,3,other,TBD,Korea,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
90,Medium,Y,2024,"da Cunha, Henrique Correa; Amal, Mohamed; Floriani, Dinora Eliete; Fleury, Maria Tereza Leme",Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-08-2021-1299,https://doi.org/10.1108/ijoem-08-2021-1299,2,3,other,ACC,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; fp_auto:pm:Accounting,N
91,Medium,Y,2024,"Wang, Xuetong; Feng, Xu; He, Yujun; Cui, Xuezhu; Song, Xiangnan; Xi, Mingbo; Liu, Jingkuang",How does corporate internationalization affect the link between social responsibility and financial performance? Evidence from China,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,10.1080/09640568.2023.2189057,https://doi.org/10.1080/09640568.2023.2189057,2,3,other,financial_perf,China,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
95,Medium,Y,2024,"Zhang, Wei; Zhong, Xiuli; Li, Xue",The impact of degree of internationalization of MNEs on green innovation performance: The moderating role of absorptive capacity and global dynamic management capability,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2592,https://doi.org/10.1002/csr.2592,,3,DOI,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
99,Medium,Y,2024,"Khatua, Apalak; Mondal, Arindam; Dhanda, Supria",The internationalization and performance of INVs: Liability or learning advantages of newness?,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-023-00345-2,https://doi.org/10.1007/s10843-023-00345-2,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
108,Medium,Y,2024,"Johanson, Martin; Oliveira, Luis",The Performance of Decision-Making Strategies in SME Internationalization: The Role of Host Market's Institutional Development,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-024-00534-8,https://doi.org/10.1007/s11575-024-00534-8,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
111,Medium,Y,2024,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",Effects of female CEO and female CFO on internationalization and firm performance,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF BUSINESS IN SOCIETY,10.1108/cg-12-2022-0512,https://doi.org/10.1108/cg-12-2022-0512,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
114,Medium,Y,2024,"Zhang, Jintao; Chen, Stephen; Tan, Hao",The Internationalization-Environmental Performance Relationship: Does it Differ between MNEs in Advanced and Less Advanced Economies?,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.3797,https://doi.org/10.1002/bse.3797,1,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
117,Medium,Y,2024,"Arbelo, Antonio; Arbelo-Perez, Marta; Perez-Gomez, Pilar",Internationalization and individual firm performance: a resource-based view,EURASIAN BUSINESS REVIEW,10.1007/s40821-024-00276-5,https://doi.org/10.1007/s40821-024-00276-5,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
119,Medium,Y,2024,"Carchano, Marcos; Carrasco, Inmaculada; Gonzalez, Angela; Saez-Martinez, Francisco J.",Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive environmental strategy and eco-innovation,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2894,https://doi.org/10.1002/csr.2894,,3,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
120,Medium,Y,2024,"Wang, Shanshan; Chen, Fenglan; Yang, Xiaoyan","Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises",HELIYON,10.1016/j.heliyon.2024.e33492,https://doi.org/10.1016/j.heliyon.2024.e33492,2,3,other,TBD,China,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
125,Medium,Y,2024,"Purkayastha, Anish; Karna, Amit; Sharma, Sunil; Bhadra, Dhiman",Role of resource investment management and strategic resource deployment capabilities in internationalization-performance relationship,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101122,https://doi.org/10.1016/j.intman.2024.101122,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
132,Medium,Y,2024,"Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas","When market leads innovation: The interplay of internationalisation, innovation and productivity among Swedish wood manufacturing SMEs",WORLD ECONOMY,10.1111/twec.13639,https://doi.org/10.1111/twec.13639,1,3,other,Productivity,Sweden,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:sweden,N
134,Medium,Y,2024,"Soesetio, Yuli; Siswanto, Ely; Subagyo, Muhammad; Fuad, Muhammad; Rudiningtyas, Dyah Arini; Astutik, Siti",The role of internationalisation in moderating the impact of ESG disclosure on financial performance,ECONOMICS AND BUSINESS REVIEW,10.18559/ebr.2024.3.1217,https://doi.org/10.18559/ebr.2024.3.1217,,3,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
141,Medium,Y,2023,"Barbosa, Natalia","Outward Foreign Direct Investment, Restructuring and Performance Upgrading: Firm-level Evidence from Portugal",GLOBAL BUSINESS REVIEW,10.1177/0972150920916035,https://doi.org/10.1177/0972150920916035,,3,FDI,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
144,Medium,Y,2023,"Porto, Rafael Barreiros; Gomes Akitaya, Paula Borges; Oliveira, Denise Santos",Country of brand origin positioning and financial performance: effects on internationalized companies from an emerging market,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-11-2020-1423,https://doi.org/10.1108/ijoem-11-2020-1423,2,3,other,financial_perf,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
145,Medium,Y,2023,"Rahman, Mahfuzur; Hack-Polay, Dieu; Shafique, Sujana; Igwe, Paul Agu",Dynamic capability of the firm: analysis of the impact of internationalisation on SME performance in an emerging economy,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2021-0236,https://doi.org/10.1108/ijoem-02-2021-0236,2,3,other,TBD,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
150,Medium,Y,2023,"Pastelakos, Evangelos; Theodoraki, Christina; Catanzaro, Alexis",The role of innovation and internationalization support in small- and medium-sized enterprises' export performance,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12513,https://doi.org/10.1111/emre.12513,1,3,other,Export/operational,Europe,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:europe,N
151,Medium,Y,2023,"Dayan, Mumin; Leung, Frank Yat Cheong; Ozer, Muammer",Role of imported raw materials in the performance of inward foreign direct investments in Ethiopia,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-09-2020-1097,https://doi.org/10.1108/ijoem-09-2020-1097,2,3,FDI,TBD,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
157,Medium,Y,2023,"Rienda, Laura; Ruiz-Fernandez, Lorena; Poveda-Pareja, Esther; Andreu-Guerrero, Rosario",CSR drivers of fashion SMEs and performance: the role of internationalization,JOURNAL OF FASHION MARKETING AND MANAGEMENT,10.1108/jfmm-06-2021-0151,https://doi.org/10.1108/jfmm-06-2021-0151,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
163,Medium,Y,2023,"Luu, Tien Dung; Trinh, Lan Anh; Nguyen, Thanh Phuong Binh; Ngo, Ngoc Linh Chi; Le, Nguyen Phuong Nhi; Vu, Nhat Vi",Degree of internationalisation and firm performance: the flattening role of organisational slack resources,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-03-2022-0030,https://doi.org/10.1108/ribs-03-2022-0030,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
167,Medium,Y,2023,"Sadeghi, Arash; Aliasghar, Omid; Bouguerra, Abderaouf",Unpacking the relationship between post-entry speed of internationalization and export performance of SMEs: A capability-building perspective,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2022.100982,https://doi.org/10.1016/j.intman.2022.100982,,3,other,Export/operational,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
168,Medium,Y,2023,"Mendes, Telma; Silva, Carina; Braga, Alexandra","Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Internationalisation, and Performance",SUSTAINABILITY,10.3390/su15032003,https://doi.org/10.3390/su15032003,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
182,Medium,Y,2023,"Park, Sang-Bum",Internationalization and firm performance: moderating role of multi-stakeholder initiatives,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2022-0168,https://doi.org/10.1108/mbr-10-2022-0168,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
187,Medium,Y,2023,"Batsakis, Georgios; Theoharakis, Vasilis; Li, Chengguang; Konara, Palitha",Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,JOURNAL OF RETAILING,10.1016/j.jretai.2023.07.005,https://doi.org/10.1016/j.jretai.2023.07.005,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
188,Medium,Y,2023,"Liao, Hsing-Kuo; Liao, Chin-Wen; Chen, Cheng-Chi; Chen, Tzu-Wen",Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,SUSTAINABILITY,10.3390/su152115652,https://doi.org/10.3390/su152115652,1,3,other,TBD,Taiwan,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
195,Medium,Y,2022,"Zhang, Song; Li, Haoze; Chen, Chunlai",Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-07-2020-0795,https://doi.org/10.1108/ijoem-07-2020-0795,2,3,FDI,Productivity,China; Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
198,Medium,Y,2022,"Ding, Zhenkuo; Ye, Guangyu; Huang, Sheng; Hu, Man",How learning orientation drives the international performance of INVs: the roles of entrepreneurial bricolage and degree of internationalization,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-07-2020-0155,https://doi.org/10.1108/mbr-07-2020-0155,,3,DOI,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
204,Medium,Y,2022,"Bicakcioglu-Peynirci, Nilay; Morgan, Robert E.",Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x211030686,https://doi.org/10.1177/1069031x211030686,2,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
205,Medium,Y,2022,"Xiao, Peng; Sun, Xiaoxia",Does internationalization strategy promote enterprise innovation performance?-The moderating effect of environmental complexity,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.3482,https://doi.org/10.1002/mde.3482,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
207,Medium,Y,2022,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia, Bo; Lee, Boon L.; Skitmore, Martin",Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000985,https://doi.org/10.1061/(asce)me.1943-5479.0000985,2,3,other,Productivity,Malaysia,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
210,Medium,Y,2022,"Varas-Fuente, Oscar Javier; Arguedas-Sanz, Raquel; Rodrigo-Moya, Beatriz",Internationalisation and performance in family businesses: influence of the internationalisation path followed,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,10.1504/ijesb.2022.124453,https://doi.org/10.1504/ijesb.2022.124453,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
215,Medium,Y,2022,"Sang, Meiyue; Zhang, Yuqing; Ye, Kunhui; Jiang, Weiyan",Moderating Effects of Internationalization between Corporate Social Responsibility and Financial Performance: The Case of Construction Firms,BUILDINGS,10.3390/buildings12020185,https://doi.org/10.3390/buildings12020185,,3,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
226,Medium,Y,2022,"Zhong, Xi; Chen, Weihong; Ren, Ge",The effects of performance shortfalls on firms' exploitation and exploration R&D internationalization decisions: Does industry environmental matter?,TECHNOVATION,10.1016/j.technovation.2021.102408,https://doi.org/10.1016/j.technovation.2021.102408,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
229,Medium,Y,2022,"Smallbone, David; Saridakis, George; Abubakar, Yazid Abdullahi",Internationalisation as a stimulus for SME innovation in developing economies: Comparing SMEs in factor-driven and efficiency-driven economies,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.01.045,https://doi.org/10.1016/j.jbusres.2022.01.045,,3,other,Efficiency,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
237,Medium,Y,2022,"Singh, Rashmeet; Chandrashekar, Deepak; Hillemane, Bala Subrahmanya Mungila; Sukumar, Arun; Jafari-Sadeghi, Vahid",Network cooperation and economic performance of SMEs: Direct and mediating impacts of innovation and internationalisation,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.04.032,https://doi.org/10.1016/j.jbusres.2022.04.032,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
241,Medium,Y,2022,"Cao, Xin; Li, Peng; Huang, Xiaozhi; Fan, Limin",The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,PLOS ONE,10.1371/journal.pone.0263674,https://doi.org/10.1371/journal.pone.0263674,2,3,other,firm_performance,China,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
248,Medium,Y,2022,"Zhao, Xiaoyang; Yi, Changjun; Zhan, Yun; Guo, Minmin",Business environment distance and innovation performance of EMNEs: The mediating effect of R&D internationalization,JOURNAL OF INNOVATION & KNOWLEDGE,10.1016/j.jik.2022.100241,https://doi.org/10.1016/j.jik.2022.100241,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
254,Medium,Y,2022,"Mishra, Abhishek; Anning-Dorson, Thomas",Dynamic customer-oriented relational capabilities: how do they impact internationalizing firm performance?,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/jstp-10-2021-0202,https://doi.org/10.1108/jstp-10-2021-0202,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
256,Medium,Y,2022,"Chang, Asma; Mubarik, Shujaat",Taking the international route: Investigating the impact of socioemotional wealth dimensions on family firm performance via internationalisation,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2022.100305,https://doi.org/10.15678/eber.2022.100305,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
264,Medium,Y,2021,"Hejazi, Walid; Tang, Jianmin; Wang, Weimin","Selection, learning, and productivity at the firm level: Evidence from Canadian outward FDI",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00343-9,https://doi.org/10.1057/s41267-020-00343-9,1,3,FDI,Productivity,Canada,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:canada,N
265,Medium,Y,2021,"Srivastava, Mohit; Tyll, Ladislav",The effect of industry-specific networking behaviour on the internationalization performance of Czech SMEs,EUROPEAN BUSINESS REVIEW,10.1108/ebr-10-2019-0244,https://doi.org/10.1108/ebr-10-2019-0244,3,3,other,TBD,Europe,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
267,Medium,Y,2021,"Sharapov, Dmitry; Kattuman, Paul; Rodriguez, Diego; Velazquez, F. Javier","Using the SHAPLEY value approach to variance decomposition in strategy research: Diversification, internationalization, and corporate group effects on affiliate profitability",STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3236,https://doi.org/10.1002/smj.3236,1,3,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
