seq,year,authors,title,link,icrv_hint,icrv,notes
1863,2023,"Abdelzaher, Dina; de la Torre, Jose; Rolf, Skylar",MNCs' orchestration capability of the 3Ds and financial performance,https://doi.org/10.1108/ribs-12-2021-0172,,,
1882,2023,"Sadeghi, Arash; Aliasghar, Omid; Bouguerra, Abderaouf",Unpacking the relationship between post-entry speed of internationalization and export performance of SMEs: A capability-building perspective,https://doi.org/10.1016/j.intman.2022.100982,,,
1888,2023,"Abdul-Talib, Asmat-Nizam; Zamani, Siti Norhasmaedayu Mohd; Abd Razak, Ili Salsabila",The Relationship Between Export Market Orientation and Firm Performance: A Meta-Analysis of Main and Moderator Effects,https://doi.org/10.22146/gamaijb.65565,,,
1925,2023,"Haini, Hazwan; Baha, Roslee; Wei Loon, Pang",Are formal institutions ineffective for firm performance? Evidence from the economic community of West African States,https://doi.org/10.1108/ijssp-04-2023-0089,,,
1935,2023,"Bhandari, Krishna Raj; Zamborsky, Peter; Ranta, Mikko; Salo, Jari","Digitalization, internationalization, and firm performance: A resource-orchestration perspective on new OLI advantages",https://doi.org/10.1016/j.ibusrev.2023.102135,,,
1942,2023,"Buigues, Pierre-Andre; Lacoste, Denis",Technological knowledge intensity and entry modes in the European automotive industry,https://doi.org/10.1504/ejim.2023.131703,1,,
1964,2024,"Koval, Mariia; Iurkov, Viacheslav; Benito, Gabriel R. G.",The interplay of international alliance and subsidiary portfolios: Implications for firms' innovation and financial performance,https://doi.org/10.1016/j.jwb.2023.101500,,,
1966,2023,"Pacheco, Luis","Firm certification and export performance: the case of the ""SME Leader"" label",https://doi.org/10.1108/arla-05-2023-0073,,,
1982,2023,"Du, Weijian; Fan, Yuhuan; Li, Mengjie",A clean road to international trade: Environmental regulations and the cleanliness of export enterprises,https://doi.org/10.2139/ssrn.4484472,,,
2007,2023,"Civelek, Mehmet; Folvarcna, Andrea; Brezina, Ivan; Vesela, Zuzana; Mikolas, Zdenek",Entrepreneurial Attitudes in Firms' Credit Access,,,,
2013,2024,"Hassen, Nesredin Temam; Lema, Mesfin; Nemera, Gemechu",Financial and marketing approach to export performance: the mediation role of promotion and research and development,https://doi.org/10.1080/23311975.2024.2315658,,,
2021,2024,"Kind, Axel; Volonte, Christophe",Locally-rooted directors,,,,
2027,2023,"Civelek, Mehmet; Hruska, Roman; Svetlik, Jaroslav; Vavrecka, Vladimir; Vincurova, Zuzana",Strategic Marketing Communication for Sustainable Growth: Examining the Influence on Export Intentions and Financial Performance in Iron and Mining SMEs,,,,
2045,2024,"Fu, Yanyu","Enterprises' internationalization, R&D investment and enterprise performance",,,,
2049,2024,"Navaia, Eurico; Moreira, Antonio; Ribau, Claudia",The mediating roles of cost leadership and cost focus strategies on innovation capabilities and export performance. Results from an emerging country,https://doi.org/10.1080/23311975.2024.2375410,,,
2053,2024,"Lages, Luis Filipe; Silva, Graca Miranda; Canhoto, Ana Isabel; Martinez, Luis F.; Jahanmir, Sara","Balancing people, planet and profit: export strategies for sustainable value creation",https://doi.org/10.1108/sampj-09-2023-0687,,,
2056,2024,"Sommeno, Tigist Woldetsadik; Mersland, Roy; Randoy, Trond",The impact of liability of foreignness on performance in hybrid organizations,https://doi.org/10.1016/j.intman.2024.101133,,,
2060,2024,"Shen, Suqin; Venaik, Sunil; Liesch, Peter",A novel model linking UN SDGs with international experience and firm performance,https://doi.org/10.1016/j.ibusrev.2023.102170,,,
2065,2024,"Jalali, Hossein S.",Trade policy revisited: how government support initiatives affect international performance in SMEs?,https://doi.org/10.1108/ribs-02-2024-0015,,,
2073,2024,"Li, Xiaoyuan",Learning by exporting: the moderating role of employee human capital,,,,
2074,2024,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","The effect of standardized advertising, managerial ties and born global orientation on export performance",https://doi.org/10.1108/jbim-12-2023-0761,,,
2081,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Hsu, Yi-Jung; Lu, Chang Hong; Chang, Man-Ling",Gender diversity in top management team and corporate social responsibility performance: examining the moderating nature of TMT international experience,https://doi.org/10.1108/gm-01-2024-0033,,,
2082,2024,"Marmor, Marcus; Lukason, Oliver",Financial performance persistence in serial entrepreneurship,,,,
2093,2025,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Shuang",Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,https://doi.org/10.1016/j.ibusrev.2024.102345,,,
2113,2025,"Garrab, Mehdi Younes","Dynamic capabilities, ordinary capabilities and international intensity contributions to performance",https://doi.org/10.1108/ribs-09-2023-0102,,,
2118,2024,"Pham, Thuy-Dzung T.; Vo, Thi Huong Giang; Nguyen, Son-Tung; Luong, Duy Binh",Diverse Leadership and Firm Success: The Role of Top Management Socialisation,https://doi.org/10.21272/mmi.2024.4-08,,,
2121,2025,"Avenyo, Elvis Korku; Tregenna, Fiona",'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and Exports in African Firms,https://doi.org/10.1111/1467-8268.70001,,,
2143,2025,"Salmeron, Jose Pinera; Valle, Raquel Sanz; Molina-Castillo, Francisco-Jose","Beyond borders: Unraveling the tapestry of export performance through business model innovation, open innovation, and organisational agility",,,,
2146,2024,"Civelek, Mehmet",The Importance of Resource-based View Related Abilities and Financial Performance of SMEs for Their Sustainable Practices,https://doi.org/10.30798/makuiibf.1510554,,,
2156,2025,"Zhu, Qin; Li, Xin",The impact of enhanced intelligent manufacturing capabilities on a firm's export performance,,,,
2175,2025,"Mansouri, Samy; Kaswengi, Joseph","Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption",https://doi.org/10.1002/tie.70001,,,
2177,2025,"Bataineh, Mohammad Jamal; Sanchez-Sellero, Pedro","Export intensity, intellectual property and technology development as drivers for green innovations",https://doi.org/10.1504/ejim.2025.146843,,,
2181,2025,"Wang, Jingbin; Liu, Xuyao; Zhu, Xuechang",The Impact of Lean Inventory Management on Export Intensity,,,,
2185,2025,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,https://doi.org/10.1111/jpim.12796,,,
2222,2026,"Nwoba, Arinze Christian; Bicakcioglu-Peynirci, Nilay","Export venture sustainability strategies: an exploration of knowledge-based enablers, conditions and performance implications",https://doi.org/10.1108/imr-11-2024-0446,,,
2228,2025,"Shahbazi, Kiumars",Does financial development contribute to the nonlinear relationship between innovation and export diversification?,https://doi.org/10.1108/cr-04-2024-0074,,,
2236,2026,"Lei, Yang; Peng, Xiaosong David; Zhao, Xiande; Guo, Yue; Zhang, Yiying",Spillover effects of customers' geographic diversification on suppliers' operational performance: impacts and mechanisms,https://doi.org/10.1108/ijopm-06-2025-0556,,,
2237,2025,"Cheng, Cong; Chen, Linyi",Profitability and CSR: Inconsistent performance feedback and OFDI location choices for firms in emerging countries,https://doi.org/10.1016/j.intman.2025.101308,,,
2246,2026,"Lukason, Oliver; Vissak, Tiia",Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predictors,https://doi.org/10.3390/info17010045,,,
2249,2026,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; Robson, Matthew J.",Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,https://doi.org/10.1177/1069031x251408340,,,
2260,2026,"Xu, Miao; Lu, Bing","The data-driven decision-making, sustainable value creation, and international firm performance: Micro-level evidence based on AI language models",https://doi.org/10.1371/journal.pone.0340731,,,
2263,2026,"Akkus, Guzin Emel; Yalabitorkaman, Deniz",Exploring the Factors Influencing the Export Performance of Manufacturing SMEs in Turkiye,,,,
2268,2026,"Kim, Minjung",Heterogeneous effects of internal and external R&D on export performance by industry technology level,,,,
2284,2026,Liu R.R.,Early Internationalization in Family and Non-family Firms: Performance Implications and the Role of Non-family Managers,https://doi.org/10.1007/s11575-026-00618-7,,,
2288,2025,Lukason O.,Being (Not) Successful in Internationalisation After Receiving Export Support: Which Predictors Are Able to Forecast It and How Accurately?,https://doi.org/10.3390/info16070544,,,
2291,2025,Heriqbaldi U.,"Export promotion programs and firm performance: Linking knowledge, commitment, and market strategy to enhance competitiveness",https://doi.org/10.1016/j.joitmc.2025.100479,,,
2297,2024,Wudu A.,Industry clusters and firm performance: Evidence from the leather product industry in Addis Ababa,https://doi.org/10.1016/j.heliyon.2024.e39486,,,
2304,2024,Soesetio Y.,Mediating role of competitiveness between process innovation and financial performance: Internationalization moderation,https://doi.org/10.33094/ijaefa.v18i1.1362,,,
2305,2024,Huimin C.,Impact of Specific Intangible Assets on Firm Internationalization and Performance,https://doi.org/10.6504/jmbr.202412_41(4).0004,,,
2308,2024,Chen M.,Analysis of Executive Compensation Management Strategies of Multinational Enterprises in the Context of RMB Internationalization,https://doi.org/10.2478/amns-2024-1203,,,
2316,2023,Laurens P.,How does Internationalisation affect the productivity of R&D activities in large innovative firms? A conditional nonparametric investigation,https://doi.org/10.1007/s11135-022-01391-z,,,
2325,2022,Bašić M.,"Panel vecm approach to examining differences in labour, capital and total factor productivity on large companies’ export revenue and export intensity",,,,
2330,2022,Gunawan J.,Comparing Developed and Emerging Countries Exporting Performance: Does Strategic Choice or Environmental Pressure Matter?,https://doi.org/10.1007/s40171-022-00308-x,,,
2342,2022,Neamat S.,A Strategy for the Growth and Internationalization of Companies: International Mergers and Acquisitions,https://doi.org/10.38094/jastt302133,,,
2344,2021,Gonçalves T.,Commitment to exporting as an antecedent of organizational skills and firm performance,https://doi.org/10.1007/s11573-021-01028-x,,,
2347,2021,Williams D.W.,Unpacking the age at initial internationalization-performance relationship: A meta-analytic investigation,https://doi.org/10.1016/j.jbvi.2020.e00210,,,
2350,2021,Rienda L.,The role of family firms' heterogeneity on the internationalisation and performance relationship,https://doi.org/10.24310/ejfbejfb.v11i2.10591,,,
2353,2021,Spuldaro J.D.,The effect of innovation on the financial performance and export intensity of firms in emerging countries,https://doi.org/10.1504/ijbir.2021.116382,,,
2357,2021,Hussaini N.,Linkage between enterpreneurial orientation and export performance of South Asian countries,,,,
2372,2019,Pacheco L.,Internationalization effects on financial performance: The case of portuguese industrial SMEs,,,,
2379,2019,Wu R.,Does multinationality matter the firm performance?,https://doi.org/10.15722/jds.17.07.201907.45,,,
2380,2019,Pacheco L.,Internationalization effects on performance: The case of the portuguese textile and wearing firms,,,,
2389,2018,Costa A.D.,Internationalization patterns and their effects on company performance,https://doi.org/10.12660/joscmv11n1p53-63,,,
2394,2018,Purwanto S.,"Financial assistance, marketing assistance and export commitment to improve export performance",https://doi.org/10.35808/ersj/1104,,,
2401,2017,Bermúdez-Edo M.,The Influence of International Scope on the Relationship Between Patented Environmental Innovations and Firm Performance,https://doi.org/10.1177/0007650315576133,,,
2405,2017,Pacheco L.M.,Internationalization vs family ownership and management: the case of Portuguese wine firms,https://doi.org/10.1108/ijwbr-10-2016-0034,,,
2411,2016,Lukason O.,Interconnecting financial performance and internationalization: A case of a rare metal producer,https://doi.org/10.1590/0370-44672014690102,,,
2414,2016,Cantele S.,Internationalisation and performance of SMEs: Exploring the moderating effects of intangible assets and capital intensity,https://doi.org/10.1504/ijbg.2016.078407,,,
2427,2014,Torkkeli L.,Profitable SME internationalisation: The influence of cross-relational and relationship-specific network competence,https://doi.org/10.1504/ijpm.2014.064972,,,
2438,2013,Al-Shammari H.A.,Firm internationalization and IPO firm performance: The moderating effects of firm ownership structure,https://doi.org/10.1108/ijcoma-03-2013-0029,,,
2450,2012,Mudambi R.,Multinationality and the performance of IPOs,https://doi.org/10.1080/09603107.2011.626396,,,
2453,2012,Giachetti C.,The relationship between internationalisation and firm performance in the global automotive industry: Who benefits? Who not?,https://doi.org/10.1504/ijatm.2012.050362,,,
2461,2011,Lin W.T.,The internationalization and performance of a firm: Moderating effect of a firm's behavior,https://doi.org/10.1016/j.intman.2010.12.004,,,
2462,2011,Heyder M.,Internationalization and Firm Performance in Agribusiness: Empirical Evidence from European Cooperatives,https://doi.org/10.18461/ijfsd.v2i1.216,1,,
2470,2010,Qian G.,Research notes and commentaries the performance implications of intra- and inter-regional geographic diversification,https://doi.org/10.1002/smj.855,,,
2474,2010,Galdeano-Gómez E.,Exporting and environmental performance: A firm-level productivity analysis,https://doi.org/10.1111/j.1467-9701.2009.01188.x,,,
2487,2008,Lavie D.,Alliance portfolio internationalization and firm performance,https://doi.org/10.1287/orsc.1070.0341,,,
2490,2008,Hsu C.C.,Internationalization and performance: The moderating effects of organizational learning,https://doi.org/10.1016/j.omega.2006.06.004,,,
2494,2007,Zhou L.,Internationalization and the performance of born-global SMEs: The mediating role of social networks,https://doi.org/10.1057/palgrave.jibs.8400282,,,
2495,2007,Elango B.,An exploration of the relationship between country of origin (COE) and the internationalization-performance paradigm,https://doi.org/10.1007/s11575-007-0021-5,,,
2499,2006,Kuivalainen O.,Profitability of rapid internationalization: The relationship between internationalization intensity and firms' export performance,https://doi.org/10.1300/j037v16n01_05,,,
2505,2006,Annavarjula M.,Corporate performance implications of multinationality: The role of firm specific moderators,https://doi.org/10.1300/j482v10n04_02,,,
2506,2006,Ural T.,The effects of firm's strategic factors on export and firm performance: A comparison of permanent and sporadic Exporters,,,,
2513,2004,Egger P.,Concentration and multinationality in European manufacturing: What's the effect on productivity?,https://doi.org/10.1007/s10663-004-1419-y,1,,
2514,2004,Bellak C.,How domestic and foreign firms differ and why does it matter?,https://doi.org/10.1111/j.0950-0804.2004.00228.x,,,
2522,2003,Westhead P.,Company performance and objectives reported by first and multi-generation family companies: A research note,https://doi.org/10.1108/14626000310461231,,,
2527,2002,Riahi-Belkaoui A.,"Profitability, multinationality and the investment opportunity set",https://doi.org/10.1016/s0897-3660(02)15016-1,,,
2532,2000,Zahra S.A.,"International expansion by new venture firms: International diversity, mode of market entry, technological learning, and performance",https://doi.org/10.2307/1556420,,,
2534,2000,Palich L.E.,The impact of internationalization on the diversification-performance relationship: A replication and extension of prior research,https://doi.org/10.1016/s0148-2963(98)00074-5,,,
2537,1999,AlNajjar F.K.,"Multinationality, profitability and firm value",https://doi.org/10.1108/03074359910766325,,,
2539,1999,Theodore N.,"Globalising capital, localising labour? The discursive manipulation of scale in Philips' struggle for corporate profitability",https://doi.org/10.1080/13562579908721791,,,
2541,1998,Riahi-Belkaoui A.,The effects of the degree of internationalization on firm performance,https://doi.org/10.1016/s0969-5931(98)00013-4,,,
2543,1998,Riahi-Belkaoui A.,Multinationality and profitability: The contingency of the investment opportunity set,https://doi.org/10.1108/03074359810765499,,,
2554,1990,Samiee S.,Influence of firm size on export planning and performance,https://doi.org/10.1016/0148-2963(90)90015-6,,,
2563,1986,Zech C.,Sub-national foreign export development and its impact on productivity.,https://doi.org/10.1111/j.1468-2257.1986.tb00055.x,,,
2564,1984,Buckley P.,An Analysis of the Growth and Profitability of the World's Largest Firms 1972 to 1977,https://doi.org/10.1111/j.1467-6435.1984.tb00738.x,,,
2567,1978,Buckley P.,"The influence of firm size, industry, nationality, and degree of multinationality on the growth and profitability of the World's largest firms, 1962-1972",https://doi.org/10.1007/bf02696473,,,
