seq,title,authors,year,journal,doi,pdf_url,icrv,dpl,extraction_priority,notes_for_extractor
2020,Does internationalization and board diversity affect family firms&apos; sustainable performance? Empirical evidence from an emerging economy,"Godbole, Madhura; R. L., Manogna",2024,BUSINESS STRATEGY AND DEVELOPMENT,10.1002/bsd2.365,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.365,0,3,1_DOI_FIRST,source:multi
2025,Does industry experience positively moderate the quadratic relationship between coopetition and financial performance? Evidence from the New Zealand wine sector,"Crick, James M.; Crick, Dave; Peixinho, Jessica M.",2023,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,10.1504/ijesb.2020.10032033,https://figshare.com/articles/journal_contribution/Does_industry_experience_positively_moderate_the_quadratic_relationship_between_coopetition_and_financial_performance_Evidence_from_the_New_Zealand_wine_sector/11912517/1/files/21851199.pdf,1,3,1_DOI_FIRST,source:wos
2032,Determining the influence of belonging to a wine protected designation of origin on profitability,"Moreno Gene, Jordi; Sole Puiggene, Sonia; Gallizo Larraz, Jose Luis",2026,AGRIBUSINESS,10.1002/agr.21947,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agr.21947,1,3,1_DOI_FIRST,source:wos
2039,International Diversification and Stock-Price Crash Risk,"Askarzadeh, Alireza; Kanaanitorshizi, Mostafa; Tabarhosseini, Maryam; Amiri, Dana",2024,INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,10.3390/ijfs12020047,https://www.mdpi.com/2227-7072/12/2/47/pdf?version=1715785528,0,3,1_DOI_FIRST,source:wos
2041,"Foreign Ownership, Board of Directors, and Environmental Commitment in European International New Ventures","Onjewu, Adah-Kole Emmanuel; Nyuur, Richard B.; Amankwah-Amoah, Joseph; Olan, Femi; Godwin, Eun Sun",2024,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22396,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.22396,0,3,1_DOI_FIRST,source:wos
2049,The mediating roles of cost leadership and cost focus strategies on innovation capabilities and export performance. Results from an emerging country,"Navaia, Eurico; Moreira, Antonio; Ribau, Claudia",2024,COGENT BUSINESS & MANAGEMENT,10.1080/23311975.2024.2375410,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2375410?needAccess=true,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
2053,"Balancing people, planet and profit: export strategies for sustainable value creation","Lages, Luis Filipe; Silva, Graca Miranda; Canhoto, Ana Isabel; Martinez, Luis F.; Jahanmir, Sara",2024,SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,10.1108/sampj-09-2023-0687,https://run.unl.pt/bitstream/10362/182345/1/Lages_et_al_2024_SAMPJ.pdf,0,3,1_DOI_FIRST,source:multi | ICRV=0 auto-default; verify from full text
2101,Internationalisation as a boost for many firms: evidence from Germany,"Frey, Rainer; Goldbach, Stefan",2025,REVIEW OF WORLD ECONOMICS,10.1007/s10290-024-00567-z,https://link.springer.com/content/pdf/10.1007/s10290-024-00567-z.pdf,1,3,1_DOI_FIRST,source:multi
2111,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yusof, Raja Nerina Raja; Yahya, Mohamed Hisham",2025,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,10.22146/gamaijb.74896,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854,3,3,1_DOI_FIRST,source:wos
2116,Can the Succession Plan for Family Business Achieve Social Employment Stability? An Analysis from the Perspective of Entrepreneurs,"Zhang, Hongmei; Xing, Mu; Chen, Dong",2025,ECONOMIES,10.3390/economies13010005,https://www.mdpi.com/2227-7099/13/1/5/pdf?version=1735641307,2,3,1_DOI_FIRST,source:wos
2118,Diverse Leadership and Firm Success: The Role of Top Management Socialisation,"Pham, Thuy-Dzung T.; Vo, Thi Huong Giang; Nguyen, Son-Tung; Luong, Duy Binh",2024,MARKETING AND MANAGEMENT OF INNOVATIONS,10.21272/mmi.2024.4-08,https://mmi.sumdu.edu.ua/wp-content/uploads/2025/01/08_A800-2024_Pham-et-al-2.pdf,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
2121,'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and Exports in African Firms,"Avenyo, Elvis Korku; Tregenna, Fiona",2025,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,10.1111/1467-8268.70001,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
2122,Effects and Determinants of Implementing Digital Customer Service Tools in Polish SMEs,"Szwajca, Danuta; Rydzewska, Alina",2025,SUSTAINABILITY,10.3390/su17031022,https://www.mdpi.com/2071-1050/17/3/1022/pdf?version=1737961672,1,3,1_DOI_FIRST,source:wos
2146,The Importance of Resource-based View Related Abilities and Financial Performance of SMEs for Their Sustainable Practices,"Civelek, Mehmet",2024,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE SCIENCES FACULTY,10.30798/makuiibf.1510554,https://dergipark.org.tr/en/download/article-file/4045695,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
2149,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies","Pan, Yuchen; Wang, Han; Liu, Zhen",2026,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,10.1002/ijfe.3167,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,2,3,1_DOI_FIRST,source:wos
2153,"Wine, markups, and export behavior: Evidence from Hungary","Csurilla, Gergely; Bakucs, Zoltan; Ferto, Imre",2025,JOURNAL OF WINE ECONOMICS,10.1017/jwe.2025.7,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B1013638C98628E34582E1E55241/S1931436125000070a.pdf/div-class-title-wine-markups-and-export-behavior-evidence-from-hungary-div.pdf,2,3,1_DOI_FIRST,source:multi
2175,"Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption","Mansouri, Samy; Kaswengi, Joseph",2025,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70001,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001,0,3,1_DOI_FIRST,source:multi | ICRV=0 auto-default; verify from full text
2199,Determinants of risk reporting practices in Saudi Arabia: an institutional perspective,"Alsahlawi, Rawan; Fifield, Suzanne; Dunne, Theresa",2025,JOURNAL OF ACCOUNTING IN EMERGING ECONOMIES,10.1108/jaee-01-2025-0028,https://discovery.dundee.ac.uk/ws/files/155599640/Manuscript.pdf,4,3,1_DOI_FIRST,source:multi
2246,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predictors,"Lukason, Oliver; Vissak, Tiia",2026,INFORMATION,10.3390/info17010045,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
2282,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises: Unravelling Effects from Spain",Torrent-Sellens J.,2026,Journal of the Knowledge Economy,10.1007/s13132-026-03199-w,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,1,3,1_DOI_FIRST,source:scopus
2288,Being (Not) Successful in Internationalisation After Receiving Export Support: Which Predictors Are Able to Forecast It and How Accurately?,Lukason O.,2025,Information Switzerland,10.3390/info16070544,https://www.mdpi.com/2078-2489/16/7/544/pdf?version=1751004560,1,3,1_DOI_FIRST,source:scopus
2289,Internationalization and financial performance in Colombian firms,Galvis Ciro J.C.,2025,Revista De Metodos Cuantitativos Para La Economia Y La Empresa,10.46661/rev.metodoscuant.econ.empresa.10640,https://www.upo.es/revistas/index.php/RevMetCuant/article/download/10640/10051,2,3,1_DOI_FIRST,source:scopus
2290,Gender Perspectives on SME International Trade and Revenue in the Digital Era: Evidence from Serbia,Radović Marković M.M.,2025,Journal of Women S Entrepreneurship and Education,10.28934/jwee25.12.pp198-216,https://library.ien.bg.ac.rs/index.php/jwee/article/download/2007/1543,2,3,1_DOI_FIRST,source:scopus
2292,The Impact of Digital Technology Adoption and Internationalization on Manufacturing Firms’ Performance in China,Huang J.,2025,International Journal of Economics and Management,10.47836/ijeam.19.2.03,https://doi.org/10.47836/ijeam.19.2.03,2,3,1_DOI_FIRST,source:scopus
2304,Mediating role of competitiveness between process innovation and financial performance: Internationalization moderation,Soesetio Y.,2024,International Journal of Applied Economics Finance and Accounting,10.33094/ijaefa.v18i1.1362,http://onlineacademicpress.com/index.php/IJAEFA/article/download/1362/854,0,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2307,"ESG disclosure, firm internationalization, and firm financial performance: Evidence from Asia-Pacific",Hussain W.,2024,Journal of International Studies,10.14254/2071-8330.2024/17-2/13,https://jois.eu/files/13_JIS 1438_Hussain et al.pdf,0,3,1_DOI_FIRST,source:scopus
2308,Analysis of Executive Compensation Management Strategies of Multinational Enterprises in the Context of RMB Internationalization,Chen M.,2024,Applied Mathematics and Nonlinear Sciences,10.2478/amns-2024-1203,https://amns.sciendo.com/pdf/10.2478/amns-2024-1203,0,3,1_DOI_FIRST,source:scopus
2342,A Strategy for the Growth and Internationalization of Companies: International Mergers and Acquisitions,Neamat S.,2022,Journal of Applied Science and Technology Trends,10.38094/jastt302133,https://jastt.org/index.php/jasttpath/article/download/133/43,0,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2350,The role of family firms' heterogeneity on the internationalisation and performance relationship,Rienda L.,2021,European Journal of Family Business,10.24310/ejfbejfb.v11i2.10591,https://revistas.uma.es/index.php/ejfb/article/download/10591/14080,1,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2363,The moderating effects of managers’ experience and gender on internationalization and firm performance of manufacturing enterprises in Turkey,Tu P.A.,2020,Accounting,10.5267/j.ac.2020.9.006,https://doi.org/10.5267/j.ac.2020.9.006,2,3,1_DOI_FIRST,source:scopus
2374,Influence of Companies’ Governance Process on Sustainability Reporting in Nigeria,Sunday O.T.U.Y.A.,2019,International Journal of Applied Economics Finance and Accounting,10.33094/8.2017.2019.51.31.38,http://onlineacademicpress.com/index.php/IJAEFA/article/download/109/149,4,3,1_DOI_FIRST,source:scopus
2378,"Survival, growth, and performance of Hungarian international new ventures",Stocker M.,2019,Society and Economy,10.1556/204.2019.41.1.4,https://akjournals.com/downloadpdf/journals/204/41/1/article-p47.pdf,2,3,1_DOI_FIRST,source:scopus
2389,Internationalization patterns and their effects on company performance,Costa A.D.,2018,Journal of Operations and Supply Chain Management,10.12660/joscmv11n1p53-63,http://bibliotecadigital.fgv.br/ojs/index.php/joscm/article/download/72200/pdf_51,0,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2394,"Financial assistance, marketing assistance and export commitment to improve export performance",Purwanto S.,2018,European Research Studies Journal,10.35808/ersj/1104,https://www.ersj.eu/journal/1104/download,0,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2411,Interconnecting financial performance and internationalization: A case of a rare metal producer,Lukason O.,2016,Revista Escola De Minas,10.1590/0370-44672014690102,https://www.scielo.br/j/rem/a/8HV6CWghLbvqwgvYVNLrSwP/?lang=en&format=pdf,0,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2423,Do Foreign Firms in China Incur a Liability of Foreignness? The Local Chinese Firms' Perspective,Jiang F.,2014,Thunderbird International Business Review,10.1002/tie.21649,https://espace.curtin.edu.au/bitstream/20.500.11937/33253/2/193747_193747.pdf,2,3,1_DOI_FIRST,source:scopus
2424,The Dragon is flying west: Micro-level evidence of Chinese outward direct investment,Chen W.,2014,Asian Development Review,10.1162/adev_a_00032,https://www.mitpressjournals.org/doi/pdf/10.1162/ADEV_a_00032,2,3,1_DOI_FIRST,source:scopus
2440,"Location, internationalization and performance of firms in Italy: A multilevel approach",Giovannetti G.,2013,Applied Economics,10.1080/00036846.2012.665597,http://hdl.handle.net/2158/605814,1,3,1_DOI_FIRST,source:scopus
2447,The impact of foreign R&D activities on the Mnc'S performance at home: Evidence from the case of swiss manufacturing firms,Hamida L.B.,2013,Revue D Economie Industrielle,10.4000/rei.5613,https://journals.openedition.org/rei/pdf/5613,1,3,1_DOI_FIRST,source:scopus
2450,Multinationality and the performance of IPOs,Mudambi R.,2012,Applied Financial Economics,10.1080/09603107.2011.626396,https://www.research.manchester.ac.uk/portal/en/publications/multinationality-and-the-performance-of-ipos(2fe70de6-08d0-4d50-a51d-f2b8e864d72a).html,0,3,1_DOI_FIRST,source:scopus | ICRV=0 auto-default; verify from full text
2470,Research notes and commentaries the performance implications of intra- and inter-regional geographic diversification,Qian G.,2010,Strategic Management Journal,10.1002/smj.855,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.855,0,3,1_DOI_FIRST,source:scopus
2514,How domestic and foreign firms differ and why does it matter?,Bellak C.,2004,Journal of Economic Surveys,10.1111/j.0950-0804.2004.00228.x,https://research.wu.ac.at/files/18958642/document.pdf,0,2,1_DOI_FIRST,source:scopus
2515,"Entry, expansion, and intensity in the US export boom, 1987-1992",Bernard A.B.,2004,Review of International Economics,10.1111/j.1467-9396.2004.00473.x,https://www2.census.gov/ces/wp/2001/CES-WP-01-09.pdf,1,2,1_DOI_FIRST,source:scopus
2533,Foreign capital and economic development in Hungary,Szekeres V.,2000,Acta Oeconomica,10.1556/aoecon.51.2000-2001.3.4,http://real.mtak.hu/47193/1/aoecon.51.2000-2001.3.4.pdf,2,2,1_DOI_FIRST,source:scopus
