seq,title,authors,year,journal,doi_enriched,doi_source,study_id,effect_id,country,sample_start,sample_end,n,r,r_quadratic,turning_point,icrv,cdai,cdai_source,cdai_missing,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,include_flag,notes
179,"Digitalization, internationalization, and firm performance: A resource-orchestration perspective on new OLI advantages","Bhandari, Krishna Raj; Zamborsky, Peter; Ranta, Mikko; Salo, Jari",2023,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2023.102135,crossref_score=81,Bhandari_2023,,,,,,,,,,,,,3,,,,,,,,
180,Do National Export Promotion Programs in Indonesia support export competitiveness?,"Heriqbaldi, Unggul; Esquivias, Miguel Angel; Samudro, Bhimo Rizky; Widodo, Wahyu",2023,HELIYON,10.1016/j.heliyon.2023.e16918,crossref_score=86,Heriqbaldi_2023,,,,,,,,,,,,,3,,,,,,,,
181,Foreign direct investment and employee income share: Firm-level evidence,"Feng, Ya; Wen, Junqi",2023,FINANCE RESEARCH LETTERS,10.1016/j.frl.2023.103893,crossref_score=71,Feng_2023,,,,,,,,,,,,,3,,,,,,,,
182,Internationalization and firm performance: moderating role of multi-stakeholder initiatives,"Park, Sang-Bum",2023,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2022-0168,crossref_score=66,Park_2023,,,,,,,,,,,,,3,,,,,,,,
183,How corporate rent-seeking affects outward FDI--Empirical evidence based on A-share listed manufacturing companies,"Bi, Wenjing; Li, Jiansheng; Xu, Weiyin; Zhang, Xiaotao",2023,FINANCE RESEARCH LETTERS,10.1016/j.frl.2023.104266,crossref_score=96,Bi_2023,,,,,,,,,,,,,3,,,,,,,,
184,In search of markets and technology: the role of cross-border knowledge for domestic productivity,"Arvanitis, Spyros; Seliger, Florian; Woerter, Martin",2023,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad045,crossref_score=63,Arvanitis_2023,,,,,,,,,,,,,3,,,,,,,,
185,"Firm certification and export performance: the case of the ""SME Leader"" label","Pacheco, Luis",2023,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/arla-05-2023-0073,crossref_score=69,Pacheco_2023,,,,,,,,,,,,,3,,,,,,,,
186,Drivers of export competitiveness: new evidences from the manufacturing industry in Malaysia,"Zhang, Miao; Mia, Md Aslam",2023,JOURNAL OF THE ASIA PACIFIC ECONOMY,10.1080/13547860.2020.1858555,crossref_score=64,Zhang_2023,,,,,,,,,,,,,3,,,,,,,,
187,Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,"Batsakis, Georgios; Theoharakis, Vasilis; Li, Chengguang; Konara, Palitha",2023,JOURNAL OF RETAILING,10.1016/j.jretai.2023.07.005,crossref_score=98,Batsakis_2023,,,,,,,,,,,,,3,,,,,,,,
188,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,"Liao, Hsing-Kuo; Liao, Chin-Wen; Chen, Cheng-Chi; Chen, Tzu-Wen",2023,SUSTAINABILITY,10.3390/su152115652,crossref_score=71,Liao_2023,,,,,,,,,,,,,3,,,,,,,,
189,Exports and firm growth: the moderating effect of innovation,"Fernandez-Lopez, Sara; Nogueira-Moreiras, Manuel angel; Rodeiro-Pazos, David; Rodriguez-Gulias, Maria Jesus",2023,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,crossref_no_match,FernandezLopez_2023,,,,,,,,,,,,,3,,,,,,,,
190,THE MODERATING EFFECTS OF STATE OWNERSHIP AND DUALITY ON THE RELATIONSHIP BETWEEN INTERNATIONALISATION AND FIRM PERFORMANCE: A CASE STUDY OF LISTED FIRMS IN VIETNAM,"Tran, Anh Que; Vo, Dut Van",2023,ASIAN ACADEMY OF MANAGEMENT JOURNAL,10.21315/aamj2023.28.1.8,crossref_score=76,Tran_2023,,,,,,,,,,,,,3,,,,,,,,
191,Promoting the International Competitiveness of Small and Medium-Sized Enterprises Through Cross-Border E-Commerce Development,"Wen, Huwei; Liu, Yutong; Zhou, Fengxiu",2023,SAGE OPEN,10.1177/21582440231210119,crossref_score=73,Wen_2023,,,,,,,,,,,,,3,,,,,,,,
192,Strategic Marketing Communication for Sustainable Growth: Examining the Influence on Export Intentions and Financial Performance in Iron and Mining SMEs,"Civelek, Mehmet; Hruska, Roman; Svetlik, Jaroslav; Vavrecka, Vladimir; Vincurova, Zuzana",2023,ACTA MONTANISTICA SLOVACA,,crossref_no_match,Civelek_2023,,,,,,,,,,,,,3,,,,,,,,
193,Outward FDI and its impact on the parent firm: A case of Indian manufacturing firms,"Krishnan, Amal; Mundakkad, Padmaja",2023,ECONOMICS BULLETIN,10.1007/978-981-97-8999-3_3,crossref_score=66,Krishnan_2023,,,,,,,,,,,,,3,,,,,,,,
194,"Informal institutions, entrepreneurs' political participation, and venture internationalization","Li, Dan; Wei, Li-Qun; Cao, Qing; Chen, Deqiu",2022,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-021-00402-9,crossref_score=68,Li_2022,,,,,,,,,,,,,3,,,,,,,,
195,Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,"Zhang, Song; Li, Haoze; Chen, Chunlai",2022,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-07-2020-0795,crossref_score=79,Zhang_2022,,,,,,,,,,,,,3,,,,,,,,
196,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,"Shin, Joonho; Mendoza, Xavier; Choi, Changbum",2022,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-021-09751-3,crossref_score=107,Shin_2022,,,,,,,,,,,,,3,,,,,,,,
197,"Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance","Freixanet, Joan; Rialp, Josep",2022,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1412,crossref_score=79,Freixanet_2022,,,,,,,,,,,,,3,,,,,,,,
198,How learning orientation drives the international performance of INVs: the roles of entrepreneurial bricolage and degree of internationalization,"Ding, Zhenkuo; Ye, Guangyu; Huang, Sheng; Hu, Man",2022,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-07-2020-0155,crossref_score=80,Ding_2022,,,,,,,,,,,,,3,,,,,,,,
199,Export activities and the demand for skills in German businesses,"Koelling, Arnd; Mertens, Antje",2022,EMPIRICA,,crossref_no_match,Koelling_2022,,,,,,,,,,,,,3,,,,,,,,
200,Antecedents to firm performance during re-internationalization,"Ali, Salman; Mathur, Ajeet N.; Jaiswal, Anand Kumar",2022,AUSTRALIAN JOURNAL OF MANAGEMENT,,crossref_no_match,Ali_2022,,,,,,,,,,,,,3,,,,,,,,
201,The standalone and resource-bundling effects of government and nongovernment institutional support on early internationalizing firms' performance,"Faroquc, Anisur R.; Sultana, Hafiza; Ahmed, Jashim Uddin; Ahmed, Farhad Uddin; Rahman, Mahabubur",2022,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,,crossref_no_match,Faroquc_2022,,,,,,,,,,,,,3,,,,,,,,
202,Chairpersons' hubris and internationalization: evidence from emerging market's family business groups,"Agnihotri, Arpita; Bhattacharya, Saurabh",2022,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2020-0196,crossref_score=81,Agnihotri_2022,,,,,,,,,,,,,3,,,,,,,,
203,Intellectual capital and firm efficiency of US multinational software firms,"Nkambule, Ncamsile Ashley; Wang, Wei-Kang; Ting, Irene Wei Kiong; Lu, Wen-Min",2022,JOURNAL OF INTELLECTUAL CAPITAL,10.1108/jic-02-2021-0041,crossref_score=71,Nkambule_2022,,,,,,,,,,,,,3,,,,,,,,
204,Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,"Bicakcioglu-Peynirci, Nilay; Morgan, Robert E.",2022,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x211030686,crossref_score=88,BicakciogluPeynirci_2022,,,,,,,,,,,,,3,,,,,,,,
205,Does internationalization strategy promote enterprise innovation performance?-The moderating effect of environmental complexity,"Xiao, Peng; Sun, Xiaoxia",2022,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.3482,crossref_score=74,Xiao_2022,,,,,,,,,,,,,3,,,,,,,,
206,The Degree of Internationalization and Firm Productivity: Empirical Evidence from Large Multinationals,"Tsionas, Mike G.; Tzeremes, Nickolaos G.",2022,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12560,crossref_score=76,Tsionas_2022,,,,,,,,,,,,,3,,,,,,,,
207,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia, Bo; Lee, Boon L.; Skitmore, Martin",2022,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000985,crossref_score=86,Azman_2022,,,,,,,,,,,,,3,,,,,,,,
208,Exporting by Private Equity-Backed Portfolio Companies,"Wilson, Nick; Uddin, Moshfique; Wright, Mike",2022,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12566,crossref_score=67,Wilson_2022,,,,,,,,,,,,,3,,,,,,,,
209,The synergistic impact between internationalization and supply-and-demand interaction on firm performance: a study of environmental responsibility in social networking service,"Kim, YooJung; Seo, Yejung",2022,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,10.1108/ijchm-05-2021-0679,crossref_score=73,Kim_2022,,,,,,,,,,,,,3,,,,,,,,
210,Internationalisation and performance in family businesses: influence of the internationalisation path followed,"Varas-Fuente, Oscar Javier; Arguedas-Sanz, Raquel; Rodrigo-Moya, Beatriz",2022,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,10.1504/ijesb.2022.124453,crossref_score=86,VarasFuente_2022,,,,,,,,,,,,,3,,,,,,,,
211,Internationalization of Large Companies from Central and Eastern Europe or the Birth of New Stars,"Cela, Arjona; Hysa, Eglantina; Voica, Marian Catalin; Panait, Mirela; Manta, Otilia",2022,SUSTAINABILITY,,crossref_no_match,Cela_2022,,,,,,,,,,,,,3,,,,,,,,
212,Does internationalization encourage state-owned enterprises to utilize subsidies to innovate? Evidence from high-tech and automobile manufacturing industries of Chinese listed companies,"Xie, Yu; Boadu, Francis; Tang, Hongjuan",2022,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2021-0250,crossref_score=110,Xie_2022,,,,,,,,,,,,,3,,,,,,,,
213,Successful reconfiguration and network evolution within the multinational company,"Valdemarin, Stefano; Mayrhofer, Ulrike",2022,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-12-2020-0367,crossref_score=72,Valdemarin_2022,,,,,,,,,,,,,3,,,,,,,,
214,'R&D and export performance: exploring heterogeneity along the export intensity distribution',"Benfratello, L.; Bottasso, A.; Piccardo, C.",2022,JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,10.1007/s40812-022-00209-1,crossref_score=73,Benfratello_2022,,,,,,,,,,,,,3,,,,,,,,
215,Moderating Effects of Internationalization between Corporate Social Responsibility and Financial Performance: The Case of Construction Firms,"Sang, Meiyue; Zhang, Yuqing; Ye, Kunhui; Jiang, Weiyan",2022,BUILDINGS,10.3390/buildings12020185,crossref_score=70,Sang_2022,,,,,,,,,,,,,3,,,,,,,,
216,Leadership in internationalization strategies,"Barac, Maja; Moner-Colonques, Rafael",2022,MANCHESTER SCHOOL,,crossref_no_match,Barac_2022,,,,,,,,,,,,,3,,,,,,,,
217,The Presence of Foreign Capital and the Internationalization of Portuguese Industrial SMEs,"Pacheco, Luis; Lobo, Carla; Maldonado, Isabel",2022,JOURNAL OF RISK AND FINANCIAL MANAGEMENT,10.3390/jrfm15020068,crossref_score=61,Pacheco_2022,,,,,,,,,,,,,3,,,,,,,,
218,"The complex interplay of firm innovation, internationalization and learning capability in driving firm performance: a configurational analysis","Freixanet, Joan; Federo, Ryan",2022,JOURNAL OF STRATEGY AND MANAGEMENT,10.1108/jsma-11-2021-0220,crossref_score=92,Freixanet_2022,,,,,,,,,,,,,3,,,,,,,,
219,The innovation and exports interplay across Africa: Does business environment matter?,"Tandrayen-Ragoobur, Verena",2022,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2051588,crossref_score=98,TandrayenRagoobur_2022,,,,,,,,,,,,,3,,,,,,,,
220,Servicification and manufacturing exports: Evidence from India,"Pattnayak, Sanja Samirana; Chadha, Alka",2022,ECONOMIC MODELLING,10.1016/j.econmod.2022.105756,crossref_score=69,Pattnayak_2022,,,,,,,,,,,,,3,,,,,,,,
221,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,"Buckley, Peter J.; Munjal, Surender; Requejo, Ignacio",2022,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,crossref_score=86,Buckley_2022,,,,,,,,,,,,,3,,,,,,,,
222,Turning the Tables: The Relationship Between Performance and Multinationality,"Schmuck, Alice; Lagerstrom, Katarina; Sallis, James",2022,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00464-3,crossref_score=60,Schmuck_2022,,,,,,,,,,,,,3,,,,,,,,
223,"Cross-border mergers and acquisitions, regional cultural diversity and acquirers' corporate social responsibility: Evidence from China listed companies","Yang, Na; Zhang, Yuan; Yu, Lu; Wang, Jue; Liu, Xiaming",2022,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,10.1016/j.iref.2022.02.041,crossref_score=94,Yang_2022,,,,,,,,,,,,,3,,,,,,,,
224,Information and communication technologies and firms' export performance,"Anon Higon, Dolores; Bonvin, Daniel",2022,INDUSTRIAL AND CORPORATE CHANGE,,crossref_no_match,Higon_2022,,,,,,,,,,,,,3,,,,,,,,
225,Where business networks and institutions meet: Internationalization decision-making under uncertainty,"Bai, Wensong; Johanson, Martin; Oliveira, Luis; Ratajczak-Mrozek, Milena; Francioni, Barbara",2022,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2021.100904,crossref_score=74,Bai_2022,,,,,,,,,,,,,3,,,,,,,,
226,The effects of performance shortfalls on firms' exploitation and exploration R&D internationalization decisions: Does industry environmental matter?,"Zhong, Xi; Chen, Weihong; Ren, Ge",2022,TECHNOVATION,10.1016/j.technovation.2021.102408,crossref_score=73,Zhong_2022,,,,,,,,,,,,,3,,,,,,,,
227,Does environmental information disclosure increase firm exports?,"Xie, Dongchun; Li, Xiaofeng; Zhou, Di",2022,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2021.12.012,crossref_score=64,Xie_2022,,,,,,,,,,,,,3,,,,,,,,
228,Impact of sourcing from the informal economy on the export likelihood and performance of emerging economy firms,"Escobar, Octavio; Lamotte, Olivier; Colovic, Ana; Meschi, Pierre-Xavier",2022,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtab068,crossref_score=75,Escobar_2022,,,,,,,,,,,,,3,,,,,,,,
229,Internationalisation as a stimulus for SME innovation in developing economies: Comparing SMEs in factor-driven and efficiency-driven economies,"Smallbone, David; Saridakis, George; Abubakar, Yazid Abdullahi",2022,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.01.045,crossref_score=100,Smallbone_2022,,,,,,,,,,,,,3,,,,,,,,
230,Internationalization of R&D and Innovation Performance in the Pharma Industry,"Sommer, Daniel; Bhandari, Krishna Raj",2022,JOURNAL OF INTERNATIONAL MANAGEMENT,,crossref_no_match,Sommer_2022,,,,,,,,,,,,,3,,,,,,,,
231,The U-Shaped Effect and Its Reversal Mechanism of Export and Innovation-Evidence From Chinese Industrial Enterprises,"Cao, Xin; Li, Peng; Fan, Limin; Jiang, Yuan; Huang, Xiaozhi",2022,FRONTIERS IN ECOLOGY AND EVOLUTION,10.3389/fevo.2022.869971,crossref_score=66,Cao_2022,,,,,,,,,,,,,3,,,,,,,,
232,Exports and outward FDI as drivers of eco-innovations. An analysis based on Spanish manufacturing firms,"Torrecillas, Celia; Fernandez, Sara",2022,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2022.131243,crossref_score=84,Torrecillas_2022,,,,,,,,,,,,,3,,,,,,,,
233,Internationalization and the reliance of analyst forecasts in stakeholder-oriented corporate governance: Evidence from Japanese MNEs,"Sakawa, Hideaki; Watanabel, Naoki; Gu, Junjian",2022,PACIFIC-BASIN FINANCE JOURNAL,10.1016/j.pacfin.2022.101755,crossref_score=96,Sakawa_2022,,,,,,,,,,,,,3,,,,,,,,
234,Internationalization of innovation and firm performance in the pharmaceutical industry,"Zhai, Zhe; Ghosal, Vivek",2022,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,,crossref_no_match,Zhai_2022,,,,,,,,,,,,,3,,,,,,,,
235,The Impact of Breakthrough Innovations on the Export Performance of SMEs in Developing Countries: The Moderating Role of Institutional Factors,"Hashmi, Hammad Bin Azam; Voinea, Cosmina L.; Ooms, Ward; Caniels, Marjolein C. J.",2022,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.888697,crossref_score=70,Hashmi_2022,,,,,,,,,,,,,3,,,,,,,,
236,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. Multinational Corporations","Berry, Heather; Kaul, Aseem",2022,STRATEGY SCIENCE,10.1287/stsc.2022.0158,crossref_score=87,Berry_2022,,,,,,,,,,,,,3,,,,,,,,
237,Network cooperation and economic performance of SMEs: Direct and mediating impacts of innovation and internationalisation,"Singh, Rashmeet; Chandrashekar, Deepak; Hillemane, Bala Subrahmanya Mungila; Sukumar, Arun; Jafari-Sadeghi, Vahid",2022,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.04.032,crossref_score=65,Singh_2022,,,,,,,,,,,,,3,,,,,,,,
238,University-Industry Collaboration in a Cross-Border Iberian Regions,"Mascarenhas, Carla; Marques, Carla; Ferreira, Joao J.; Galvao, Anderson",2022,INTERNATIONAL REGIONAL SCIENCE REVIEW,10.1177/01600176211066470,crossref_score=62,Mascarenhas_2022,,,,,,,,,,,,,3,,,,,,,,
239,Organizational goals and resource allocation to overseas foreign direct investment,"Bai, Tao; Liesch, Peter",2022,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2022.101308,crossref_score=68,Bai_2022,,,,,,,,,,,,,3,,,,,,,,
240,Organizational learning in SMEs? internationalization: A moderated mediating effect of absorptive capacity,"Kang, Yuanfei; Zhao, Chao; Battisti, Martina",2022,LONG RANGE PLANNING,10.1016/j.lrp.2022.102220,crossref_score=71,Kang_2022,,,,,,,,,,,,,3,,,,,,,,
241,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,"Cao, Xin; Li, Peng; Huang, Xiaozhi; Fan, Limin",2022,PLOS ONE,10.1371/journal.pone.0263674,crossref_score=65,Cao_2022,,,,,,,,,,,,,3,,,,,,,,
242,Export behaviour of firms in India: does gender of the firm owner matter?,"Garg, Kanika; Shastri, Shruti",2022,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,10.1108/ijge-08-2021-0143,crossref_score=70,Garg_2022,,,,,,,,,,,,,3,,,,,,,,
243,Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India,"Rakshit, Sandip; Islam, Nazrul; Mondal, Sandeep; Paul, Tripti",2022,TECHNOVATION,10.1016/j.technovation.2022.102518,crossref_score=77,Rakshit_2022,,,,,,,,,,,,,3,,,,,,,,
244,Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,"Eckert, Stefan; Koppe, Max; Burkatzki, Eckhard; Eichentopf, Simon; Scharf, Constantin",2022,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00473-2,crossref_score=69,Eckert_2022,,,,,,,,,,,,,3,,,,,,,,
245,Internal determinants of export performance of small and medium enterprises in Vietnam,"Le, Tan Nghiem; Pham, Lam An Nghiep; Tran, Viet Thanh Truc; Vo, Van Dut; Le, Long Hau",2022,INTERNATIONAL JOURNAL OF ADVANCED AND APPLIED SCIENCES,,crossref_no_match,Le_2022,,,,,,,,,,,,,3,,,,,,,,
246,"CEO gender, institutional context and firm exports","Audretsch, David B.; Belitski, Maksim; Chowdhury, Farzana; Desai, Sameeksha",2022,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2022.102008,crossref_score=65,Audretsch_2022,,,,,,,,,,,,,3,,,,,,,,
247,The role of slack resources and managerial capabilities in early and late internationalization: a configurational approach,"Vuorio, Anna; Faroque, Anisur R.; Kuivalainen, Olli",2022,SMALL ENTERPRISE RESEARCH,10.1080/13215906.2022.2113742,crossref_score=78,Vuorio_2022,,,,,,,,,,,,,3,,,,,,,,
248,Business environment distance and innovation performance of EMNEs: The mediating effect of R&D internationalization,"Zhao, Xiaoyang; Yi, Changjun; Zhan, Yun; Guo, Minmin",2022,JOURNAL OF INNOVATION & KNOWLEDGE,10.1016/j.jik.2022.100241,crossref_score=61,Zhao_2022,,,,,,,,,,,,,3,,,,,,,,
249,"Internationalization, foreign exchange exposure and firm risk","Likitwongkajon, Napaporn; Vithessonthi, Chaiporn",2022,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,10.1016/j.irfa.2022.102334,crossref_score=68,Likitwongkajon_2022,,,,,,,,,,,,,3,,,,,,,,
250,Firm R&D investment and export market exposure,"Peters, Bettina; Roberts, Mark J.; Van Anh Vuong",2022,RESEARCH POLICY,,crossref_no_match,Peters_2022,,,,,,,,,,,,,3,,,,,,,,
251,Innovation capabilities and export performance in manufacturing SMEs,"Alegre, Joaquin; Luis Ferreras-Mendez, Jose; Fernandez-Mesa, Anabel; Strange, Roger",2022,TEC EMPRESARIAL,,crossref_no_match,Alegre_2022,,,,,,,,,,,,,3,,,,,,,,
252,Firm resources and internationalisation performance,"Capar, Nejat",2022,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,,crossref_no_match,Capar_2022,,,,,,,,,,,,,3,,,,,,,,
253,Financial performance and bankruptcy concerns of SMEs in their export decision,"Kljucnikov, Aleksandr; Civelek, Mehmet; Krajcik, Vladimir; Novak, Petr; Cervinka, Michal",2022,OECONOMIA COPERNICANA,,crossref_no_match,Kljucnikov_2022,,,,,,,,,,,,,3,,,,,,,,
254,Dynamic customer-oriented relational capabilities: how do they impact internationalizing firm performance?,"Mishra, Abhishek; Anning-Dorson, Thomas",2022,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/jstp-10-2021-0202,crossref_score=82,Mishra_2022,,,,,,,,,,,,,3,,,,,,,,
255,Internationalization strategies of multi-product firms: The role of technology,"Baumgarten, Daniel; Irlacher, Michael; Mayr-Dorn, Karin",2022,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,,crossref_no_match,Baumgarten_2022,,,,,,,,,,,,,3,,,,,,,,
256,Taking the international route: Investigating the impact of socioemotional wealth dimensions on family firm performance via internationalisation,"Chang, Asma; Mubarik, Shujaat",2022,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2022.100305,crossref_score=84,Chang_2022,,,,,,,,,,,,,3,,,,,,,,
257,Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese Listed Firms,"Wu, Qinglan; Chen, Guifu; Han, Jing; Wu, Liyan",2022,SUSTAINABILITY,10.3390/su142012981,crossref_score=82,Wu_2022,,,,,,,,,,,,,3,,,,,,,,
258,Modeling analysis of the correlation between duality innovation and multinational enterprise performance,"Li, Xinran; Chen, SzeTing",2022,FRONTIERS IN PSYCHOLOGY,,crossref_no_match,Li_2022,,,,,,,,,,,,,3,,,,,,,,
259,Do interlocks by different types of directors affect the nature of internationalization strategy of emerging market multinationals?,"Edacherian, Saneesh; Panicker, Vidya Sukumara",2022,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2021.101953,crossref_score=94,Edacherian_2022,,,,,,,,,,,,,3,,,,,,,,
260,Analysis of the Influence of the Moment the Internationalization Process Begins on the Internationalization Intensity of Family and Nonfamily Businesses: An Approach Using a Tobit Model,"Varas-Fuente, Oscar Javier; Arguedas-Sanz, Raquel; Rodrigo-Moya, Beatriz",2022,ADMINISTRATIVE SCIENCES,10.3390/admsci12040133,crossref_score=98,VarasFuente_2022,,,,,,,,,,,,,3,,,,,,,,
261,Early internationalisation of entrepreneurial firms: the role of artificial intelligence enhanced business models,"Arshi, Tahseen Anwer; Rao, Venkoba; Begum, Vazeerjan; Capar, Nejat",2022,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2022.10055241,crossref_score=73,Arshi_2022,,,,,,,,,,,,,3,,,,,,,,
262,The internationalization of new ventures in an emerging economy: The shifting role of industry concentration,"Saiyed, Abrar Ali; Fernhaber, Stephanie A.; Basant, Rakesh; Dhandapani, Karthik",2021,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-020-09712-2,crossref_score=66,Saiyed_2021,,,,,,,,,,,,,3,,,,,,,,
263,Corporate sustainability and enterprise performance The mediating effects of internationalization and networks,"Bojnec, Stefan; Tomsic, Nastja",2021,INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,,crossref_no_match,Bojnec_2021,,,,,,,,,,,,,3,,,,,,,,
264,"Selection, learning, and productivity at the firm level: Evidence from Canadian outward FDI","Hejazi, Walid; Tang, Jianmin; Wang, Weimin",2021,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00343-9,crossref_score=75,Hejazi_2021,,,,,,,,,,,,,3,,,,,,,,
265,The effect of industry-specific networking behaviour on the internationalization performance of Czech SMEs,"Srivastava, Mohit; Tyll, Ladislav",2021,EUROPEAN BUSINESS REVIEW,10.1108/ebr-10-2019-0244,crossref_score=65,Srivastava_2021,,,,,,,,,,,,,3,,,,,,,,
266,No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SMEs,"Morgan, Horatio M.; Sui, Sui; Malhotra, Shavin",2021,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00360-8,crossref_score=71,Morgan_2021,,,,,,,,,,,,,3,,,,,,,,
267,"Using the SHAPLEY value approach to variance decomposition in strategy research: Diversification, internationalization, and corporate group effects on affiliate profitability","Sharapov, Dmitry; Kattuman, Paul; Rodriguez, Diego; Velazquez, F. Javier",2021,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3236,crossref_score=92,Sharapov_2021,,,,,,,,,,,,,3,,,,,,,,
268,Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,"Yen, I-Fan; Lin, Hsin-Mei",2021,CHINESE MANAGEMENT STUDIES,10.1108/cms-12-2019-0441,crossref_score=81,Yen_2021,,,,,,,,,,,,,3,,,,,,,,
269,Globalization and the labor share in China: Firm-level evidence,"Yang, Chih-Hai; Tsou, Meng-Wen",2021,MANCHESTER SCHOOL,,crossref_no_match,Yang_2021,,,,,,,,,,,,,3,,,,,,,,
270,"Perceived corruption, business process digitization, and SMEs' degree of internationalization in sub-Saharan Africa","Adomako, Samuel; Amankwah-Amoah, Joseph; Tarba, Shlomo Y.; Khan, Zaheer",2021,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.09.065,crossref_score=86,Adomako_2021,,,,,,,,,,,,,3,,,,,,,,
271,The Export Quality and Firm Heterogeneity of the Food Industry in China,"Mi, Jie; Nanseki, Teruaki; Chomei, Yosuke; Chen, Tinggui",2021,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,,crossref_no_match,Mi_2021,,,,,,,,,,,,,3,,,,,,,,
