seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extraction_status,abstract
123,High,Y,,2012,"Ganotakis, Panagiotis; Love, James H.","Export propensity, export intensity and firm performance: The role of the entrepreneurial founding team",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2012.16,,,3,export_ratio,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
124,High,Y,,2012,"Nagy, Gabor; Beracs, Jozsef","Antecedents to the export market orientation of Hungarian higher education institutions, and their export performance consequences",JOURNAL OF MARKETING FOR HIGHER EDUCATION,10.1080/08841241.2012.738716,3,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Hungary; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
125,High,Y,,2012,"De Beule, Filip; Duanmu, Jing-Lin",Locational determinants of internationalization: A firm-level analysis of Chinese and Indian acquisitions,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2012.03.006,2,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
126,High,Y,,2012,"Yi, Jingtao; Wang, Chengqi","The decision to export: Firm heterogeneity, sunk costs, and spatial concentration",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.001,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
127,High,Y,,2012,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",A longitudinal study of the relationship between export activity and innovation in the Spanish firm: The moderating role of productivity,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.010,,,3,EXP,LAB,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,
128,High,Y,,2012,"Zhang, Heather; Smith, Michael R.",Globalization and workplace performance in Canada: Cross-sectional and dynamic analyses of productivity and wage outcomes,RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY,10.1016/j.rssm.2012.04.001,1,H,3,,LAB,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,
129,High,Y,,2012,"Hagemejer, Jan; Tyrowicz, Joanna",Is the effect really so large? Firm-level evidence on the role of FDI in a transition economy,ECONOMICS OF TRANSITION,10.1111/j.1468-0351.2012.00433.x,3,,3,FDI,,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,
130,High,Y,,2011,"Abor, Joshua",Do Export Status and Export Intensity Increase Firm Performance?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.20386,,,3,export_ratio,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
131,High,Y,,2011,"Minetti, Raoul; Zhu, Susan Chun",Credit constraints and firm export: Microeconomic evidence from Italy,JOURNAL OF INTERNATIONAL ECONOMICS,10.1016/j.jinteco.2010.12.004,1,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Italy; cdai_auto:M,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,
132,High,Y,,2011,"Sharma, Chandan; Mishra, Ritesh",Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,INTERNATIONAL REVIEW OF APPLIED ECONOMICS,10.1080/02692171.2011.557046,2,M,3,,LAB,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,
133,High,Y,,2011,"Anon Higon, Dolores; Manjon Antolin, Miguel; Manez, Juan A.","Multinationals, R&D, and productivity: evidence for UK manufacturing firms",INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtr007,1,H,3,,LAB,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,
134,High,Y,,2010,"Rugman, Alan M.; Oh, Chang Hoon",Does the regional nature of multinationals affect the multinationality and performance relationship?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.02.012,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
135,High,Y,,2009,"Verbeke, Alain; Brugman, Paul",Triple-testing the quality of multinationality-performance research: An internalization theory perspective,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.01.005,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
136,High,Y,,2008,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-008-0027-7,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
137,High,Y,,2002,"Castellani, D",Export behavior and productivity growth: Evidence from Italian manufacturing firms,WELTWIRTSCHAFTLICHES ARCHIV-REVIEW OF WORLD ECONOMICS,10.1007/bf02707654,,,2,EXP,LAB,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,
138,High,N,,2023,"Pedersen, Torben; Tallman, Stephen",Global strategy collections: Multinationality and performance,GLOBAL STRATEGY JOURNAL,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
139,High,N,,2021,"Andre, Nuno Miguel Queimado",Sector productivity and geographical diversification as export enhancing factors: the case of Portugal,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,,,,3,EXP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
140,High,N,,2020,"Nguyen, Quyen T. K.; Kim, Sylvia",The multinationality and performance relationship: Revisiting the literature and exploring the implications,INTERNATIONAL BUSINESS REVIEW,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
141,High,N,,2017,"Castellani, Davide; Montresor, Sandro; Schubert, Torben; Vezzani, Antonio","Multinationality, R&D and productivity: Evidence from the top R&D investors worldwide",INTERNATIONAL BUSINESS REVIEW,,,,3,COMP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
142,High,N,,2017,"Richter, Nicole Franziska; Schmidt, Robert; Ladwig, Tina Jessica; Wulhorst, Fabian",A critical perspective on the measurement of performance in the empirical multinationality and performance literature,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
143,High,N,,2017,"Chang, Sea-Jin; Chung, Jaiho",A Quasi-experimental Approach to the Multinationality-performance Relationship: An Application to Learning-by-exporting,GLOBAL STRATEGY JOURNAL,,,,3,EXP,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; fp_auto:pm:Accounting; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
144,High,N,,2017,"Grant, Kevin; Matousek, Roman; Meyer, Martin; Tzeremes, Nickolaos G.",A research note on multinationality and firm performance Nonparametric frontier analysis,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,,,,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
145,High,N,,2016,"Kelley, Keith J.",Spatial relativism in multinationality and performance research,AMERICAN JOURNAL OF BUSINESS,,1,L,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:usa; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
146,High,N,,2014,"Powell, K. Skylar",From M-P to MA-P: Multinationality alignment and performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
147,High,N,,2013,"Manjon Antolin, Miguel; Manez, Juan A.; Rochina Barrachina, Maria E.; Sanchis Llopis, Juan A.",Export intensity and the productivity gains of exporting,APPLIED ECONOMICS LETTERS,,,,3,export_ratio,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
148,High,N,,2012,"Cieslik, Jerzy; Kaciak, Eugene; Welsh, Dianne H. B.",The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,3,geographic_diversification,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
149,High,N,,2012,"Rodriguez-Rodriguez, Manuel; Galdeano-Gomez, Emilio; Carmona-Moreno, Eva; Godoy-Duran, Angeles","Environmental Impact, Export Intensity, and Productivity Interactions: An Empirical Index Analysis of the Agri-Food Industry in Spain",CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,,1,,3,export_ratio,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:canada,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
150,High,N,,2012,"Anon Higon, Dolores; Manjon Antolin, Miguel","Multinationality, foreignness and institutional distance in the relation between R&D and productivity",RESEARCH POLICY,,,,3,COMP,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
151,High,N,,2012,"Verbeke, Alain; Forootan, M. Zaman",HOW GOOD ARE MULTINATIONALITY-PERFORMANCE (M-P) EMPIRICAL STUDIES?,GLOBAL STRATEGY JOURNAL,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
152,High,N,,2012,"Verbeke, Alain; Brugman, Paul",Triple testing the quality of multinationality-performance research,HANDBOOK OF RESEARCH ON INTERNATIONAL STRATEGIC MANAGEMENT,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
153,High,N,,2011,"Hennart, Jean-Francois",A THEORETICAL ASSESSMENT OF THE EMPIRICAL LITERATURE ON THE IMPACT OF MULTINATIONALITY ON PERFORMANCE,GLOBAL STRATEGY JOURNAL,,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
154,High,N,,2010,"Kim, Seog-Soo",A Study on the Relationship between Multinationality and Performance among Korean Firms,JOURNAL OF KOREA TRADE,,1,L,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
155,High,N,,2008,"Li, Lei",Multinationality and technical efficiency: A neglected perspective,MANAGEMENT INTERNATIONAL REVIEW,,,,2,COMP,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
156,High,N,,2008,"Bae, Sung C.; Park, Bell J. C.; Wang, Xiaohong","Multinationality, R&D Intensity, and Firm Performance: Evidence from U.S. Manufacturing Firms",MULTINATIONAL BUSINESS REVIEW,,1,L,2,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
157,High,N,,2008,"Bouquet, Cyril; Deutsch, Yuval",The impact of corporate social performance on a firm's multinationality,JOURNAL OF BUSINESS ETHICS,,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
158,High,N,,2007,"Bowen, Harry P.",THE EMPIRICS OF MULTINATIONALITY AND PERFORMANCE,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,2,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
159,High,N,,1991,"JUNG, YJ",MULTINATIONALITY AND PROFITABILITY,JOURNAL OF BUSINESS RESEARCH,,,,1,COMP,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
160,Medium,Y,,2026,"Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina","Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,1,M,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
161,Medium,Y,,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
162,Medium,Y,,2026,"Ma, Peng; Tan, Ya; Xu, Feng",Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,2,L,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
163,Medium,Y,,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
164,Medium,Y,,2026,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
165,Medium,Y,,2026,"Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling","ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.70460,,,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
166,Medium,Y,,2026,"Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin","Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry",ECONOMIC MODELLING,10.1016/j.econmod.2026.107559,,,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
167,Medium,Y,,2026,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",Navigating global waters: performance outcomes of internationalization in family businesses,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
168,Medium,Y,,2026,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",Product innovation strategy and firm performance: Novelty and internationalization as mediators,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
169,Medium,Y,,2026,"Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan","Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2026.116151,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
170,Medium,Y,,2026,"Kaur, Navjot; Singh, Balwinder",Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,GLOBAL BUSINESS REVIEW,10.1177/09721509261437526,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
171,Medium,Y,,2025,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",The effect of restructuring internationalized companies on performance: Evidence from European firms,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,1,M,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
172,Medium,Y,,2025,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
173,Medium,Y,,2025,"Xu, Xin; Sun, Meiya","Digital Transformation, Internationalisation and ESG Performance of Multinational Companies",MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.4496,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
174,Medium,Y,,2025,"Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu","Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization",ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2025.2450465,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
175,Medium,Y,,2025,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, Shlomo Y.",Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102275,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
176,Medium,Y,,2025,"Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana","Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",SUSTAINABILITY,10.3390/su17041576,2,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
177,Medium,Y,,2025,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-025-00573-9,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
178,Medium,Y,,2025,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
179,Medium,Y,,2025,"Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.","Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,1,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
180,Medium,Y,,2025,"Zhong, Xi; Ren, Ge; Wu, Xiaojie","Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?",INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0045,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
181,Medium,Y,,2025,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,3,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
182,Medium,Y,,2025,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; Nguyen, Huyen Thi",Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
183,Medium,Y,,2025,"Tran, Ai-Cam; Dao, Thu-Hien Thi","Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisation performance: the moderating role of entrepreneurial leadership",JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2025.10071182,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
184,Medium,Y,,2025,"Shih, Yu-Yuan; Lin, Chih-An",Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sustainability amidst supply chain restructuring,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-01-2025-0047,,,3,FDI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
185,Medium,Y,,2025,"Chang, Yali; Wu, Yijie; Lv, Yue",RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,10.1080/16081625.2025.2596994,,,3,other,TFP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
186,Medium,Y,,2025,"Shin, Joon-Ho; Choi, Chang-Bum",Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,
187,Medium,Y,,2025,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,SUSTAINABILITY,10.3390/su17062580,1,H,3,,,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,
