batch_no,seq,year,authors,title,journal,link,icrv,dpl,extraction_priority,r_reported,r_type,sample_n,converted_r,nonlinear,turning_point,notes,ready_for_r
115,1747,2023,"Pastelakos, Evangelos; Theodoraki, Chris",The role of innovation and internationalization support in small- and medium-siz,EUROPEAN MANAGEMENT REVIEW,https://doi.org/10.1111/emre.12513,,3,A_DOI,,,,,,,,0
116,1776,2023,"Miocevic, Dario; Gnizy, Itzhak; Cadogan,",When does export customer responsiveness strategy contribute to export market co,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-02-2022-0043,,3,A_DOI,,,,,,,,0
117,1777,2023,"Mishra, Divya; Mital, Amita; Srivastava,",Role of international strategic alliances in internationalization of business gr,SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,https://doi.org/10.1002/sres.2856,,3,A_DOI,,,,,,,,0
118,1794,2023,"Li, Bing; Li, Linyue; Li, Rou; Yue, Yuns",Internet and firms' exports and imports: Firm level evidence from China,WORLD ECONOMY,https://doi.org/10.1111/twec.13310,2,3,A_DOI,,,,,,,,0
119,1821,2023,"Wang, Ge; Du, Qi'ang; Li, Xiaodong; Deng",From ambiguity to transparency: influence of environmental information disclosur,ENVIRONMENTAL SCIENCE AND POLLUTION RESE,https://doi.org/10.1007/s11356-022-22664-y,,3,A_DOI,,,,,,,,0
120,1823,2023,"Lin, Xi; He, Ling-Yun",The More the Merrier? Evidence from Firm-Level Exports and Environmental Perform,ENVIRONMENTAL & RESOURCE ECONOMICS,https://doi.org/10.1007/s10640-022-00717-7,2,3,A_DOI,,,,,,,,0
121,1826,2023,"Goldar, Bishwanath; Goldar, Amrita",Impact of export intensity on energy intensity in manufacturing plants: Evidence,JOURNAL OF INTERNATIONAL TRADE & ECONOMI,https://doi.org/10.1080/09638199.2022.2125552,3,3,A_DOI,,,,,,,,0
122,1830,2023,"Baum, Matthias; Sui, Sui; Malhotra, Shav",A vicarious learning perspective on the relationship between home-peer performan,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-01-2022-0026,,3,A_DOI,,,,,,,,0
123,1834,2023,"Amara, Mohamed",Agglomeration and firm performance in times of economic turmoil: Evidence from T,GROWTH AND CHANGE,https://doi.org/10.1111/grow.12657,2,3,A_DOI,,,,,,,,0
124,1863,2023,"Abdelzaher, Dina; de la Torre, Jose; Rol",MNCs' orchestration capability of the 3Ds and financial performance,REVIEW OF INTERNATIONAL BUSINESS AND STR,https://doi.org/10.1108/ribs-12-2021-0172,,3,A_DOI,,,,,,,,0
125,1876,2023,"Guedes, Maria Joao; Fernandes Crespo, Nu","When in Rome, do as the Romans do: can international marketing adaptation improv",JOURNAL OF BUSINESS & INDUSTRIAL MARKETI,https://doi.org/10.1108/jbim-03-2022-0145,4,3,A_DOI,,,,,,,,
126,1882,2023,"Sadeghi, Arash; Aliasghar, Omid; Bouguer",Unpacking the relationship between post-entry speed of internationalization and ,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2022.100982,,3,A_DOI,,,,,,,,0
127,1887,2023,"Ashourizadeh, Shayegheh; Saeedikiya, Meh",Immigrant and native's export benefiting from business collaborations: a global ,EUROPEAN JOURNAL OF INTERNATIONAL MANAGE,https://doi.org/10.1504/ejim.2023.128812,0,3,A_DOI,,,,,,,,0
128,1888,2023,"Abdul-Talib, Asmat-Nizam; Zamani, Siti N",The Relationship Between Export Market Orientation and Firm Performance: A Meta-,GADJAH MADA INTERNATIONAL JOURNAL OF BUS,https://doi.org/10.22146/gamaijb.65565,,3,A_DOI,,,,,,,,0
129,1892,2023,"Dinh, Thi Thanh Binh; Tu, Thuy Anh; Chu,",Slack Resources and Export Intensity: New Empirical Evidence from Vietnam,ECONOMIES,https://doi.org/10.3390/economies11020068,3,3,A_DOI,,,,,,,,0
130,1894,2023,"Crescimanno, Maria; Mirabella, Claudio; ",How Organizational Resources and Managerial Features Affect Business Performance,SUSTAINABILITY,https://doi.org/10.3390/su15043522,1,3,A_DOI,,,,,,,,0
131,1895,2023,"Iqbal, Mohammad; Mawardi, Mukhammad Khol",Strategic orientation and its role in linking human capital with the performance,JOURNAL OF RESEARCH IN MARKETING AND ENT,https://doi.org/10.1108/jrme-11-2021-0150,3,3,A_DOI,,,,,,,,
132,1905,2023,"Yasin, Mohammad Zeqi; Esquivias, Miguel ",Spillover effects of foreign direct investment on manufacturing exports and impo,STUDIES IN ECONOMICS AND FINANCE,https://doi.org/10.1108/sef-12-2022-0551,3,3,A_DOI,,,,,,,,0
133,1911,2023,"Xin, Yongrong; Khan, Rizwan Ullah; Dagar",Do international resources configure SMEs' sustainable performance in the digita,RESOURCES POLICY,https://doi.org/10.1016/j.resourpol.2022.103169,3,3,A_DOI,,,,,,,,0
134,1918,2023,"Kathuria, Abhishek; Karhade, Prasanna P.",Blood and Water: Information Technology Investment and Control in Family-owned B,JOURNAL OF MANAGEMENT INFORMATION SYSTEM,https://doi.org/10.1080/07421222.2023.2172770,3,3,A_DOI,,,,,,,,
135,1922,2023,"Goldar, Bishwanath","ICT Investment, Adoption of ISO 14000 Certification, and Export Performance in I",JOURNAL OF QUANTITATIVE ECONOMICS,https://doi.org/10.1007/s40953-023-00350-1,3,3,A_DOI,,,,,,,,0
136,1925,2023,"Haini, Hazwan; Baha, Roslee; Wei Loon, P",Are formal institutions ineffective for firm performance? Evidence from the econ,INTERNATIONAL JOURNAL OF SOCIOLOGY AND S,https://doi.org/10.1108/ijssp-04-2023-0089,,3,A_DOI,,,,,,,,0
137,1926,2023,"Horobet, Alexandra; Popovici, Oana Crist",Foreign Versus Local Ownership and Performance in Eastern Versus Western EU: A R,INZINERINE EKONOMIKA-ENGINEERING ECONOMI,https://doi.org/10.5755/j01.ee.34.2.29499,0,3,A_DOI,,,,,,,,
138,1930,2023,"Aggarwal, Anshul; Sharma, Chandan","Internationalisation, employment generation and wage premia: evidence from India",MANAGERIAL AND DECISION ECONOMICS,https://doi.org/10.1002/mde.3936,3,3,A_DOI,,,,,,,,
139,1935,2023,"Bhandari, Krishna Raj; Zamborsky, Peter;","Digitalization, internationalization, and firm performance: A resource-orchestra",INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2023.102135,,3,A_DOI,,,,,,,,0
140,1936,2023,"Heriqbaldi, Unggul; Esquivias, Miguel An",Do National Export Promotion Programs in Indonesia support export competitivenes,HELIYON,https://doi.org/10.1016/j.heliyon.2023.e16918,3,3,A_DOI,,,,,,,,0
141,1942,2023,"Buigues, Pierre-Andre; Lacoste, Denis",Technological knowledge intensity and entry modes in the European automotive ind,EUROPEAN JOURNAL OF INTERNATIONAL MANAGE,https://doi.org/10.1504/ejim.2023.131703,,3,A_DOI,,,,,,,,0
142,1957,2023,"Arvanitis, Spyros; Seliger, Florian; Woe",In search of markets and technology: the role of cross-border knowledge for dome,INDUSTRIAL AND CORPORATE CHANGE,https://doi.org/10.1093/icc/dtad045,1,3,A_DOI,,,,,,,,0
143,1966,2023,"Pacheco, Luis","Firm certification and export performance: the case of the ""SME Leader"" label",ACADEMIA-REVISTA LATINOAMERICANA DE ADMI,https://doi.org/10.1108/arla-05-2023-0073,,3,A_DOI,,,,,,,,0
144,1981,2023,"Rodrigo, Basco; Thomas, Bassetti; Fernan",Euro adoption and intra-European Union exporters' productivity: Differences betw,EUROPEAN RESEARCH ON MANAGEMENT AND BUSI,https://doi.org/10.1016/j.iedeen.2023.100226,0,3,A_DOI,,,,,,,,0
145,1982,2023,"Du, Weijian; Fan, Yuhuan; Li, Mengjie",A clean road to international trade: Environmental regulations and the cleanline,HELIYON,https://doi.org/10.2139/ssrn.4484472,,3,A_DOI,,,,,,,,0
146,1996,2023,"Lehenchuk, Serhii; Raboshuk, Alina; Zhyh",FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES IN THE PR,AGRICULTURAL AND RESOURCE ECONOMICS-INTE,https://doi.org/10.51599/are.2023.09.04.05,1,3,A_DOI,,,,,,,,0
147,2025,2023,"Crick, James M.; Crick, Dave; Peixinho, ",Does industry experience positively moderate the quadratic relationship between ,INTERNATIONAL JOURNAL OF ENTREPRENEURSHI,https://doi.org/10.1504/ijesb.2020.10032033,1,3,A_DOI,,,,,,,,0
148,2316,2023,Laurens P.,How does Internationalisation affect the productivity of R&D activities in large,Quality and Quantity,https://doi.org/10.1007/s11135-022-01391-z,,3,A_DOI,,,,,,,,0
149,470,2022,"Nkambule, Ncamsile Ashley; Wang, Wei-Kan",Intellectual capital and firm efficiency of US multinational software firms,JOURNAL OF INTELLECTUAL CAPITAL,https://doi.org/10.1108/jic-02-2021-0041,1,3,A_DOI,,,,,,,,NO
150,226,2022,"Bicakcioglu-Peynirci, Nilay; Morgan, Rob",Unbundling the Effects of Internationalization on Firm Performance in Emerging E,JOURNAL OF INTERNATIONAL MARKETING,https://doi.org/10.1177/1069031x211030686,2,3,A_DOI,,,,,,,,NO
151,234,2022,"Cao, Xin; Li, Peng; Huang, Xiaozhi; Fan,",The dual mechanism of social networks on the relationship between internationali,PLOS ONE,https://doi.org/10.1371/journal.pone.0263674,2,3,A_DOI,,,,,,,,NO
152,237,2022,"Chang, Asma; Mubarik, Shujaat",Taking the international route: Investigating the impact of socioemotional wealt,ENTREPRENEURIAL BUSINESS AND ECONOMICS R,https://doi.org/10.15678/eber.2022.100305,0,3,A_DOI,,,,,,,,NO
153,526,2022,"Berry, Heather; Kaul, Aseem","Disaggregating Multinationality: An Empirical Examination of Aggregation, Adapta",STRATEGY SCIENCE,https://doi.org/10.1287/stsc.2022.0158,1,3,A_DOI,,,,,,,,NO
154,1595,2022,"Li, Ning; Murphy, William Hoggan",Making better foreign friendships: the effects of increased cultural diversity i,JOURNAL OF BUSINESS & INDUSTRIAL MARKETI,https://doi.org/10.1108/jbim-08-2020-0396,0,3,A_DOI,,,,,,,,0
155,1637,2022,"Freixanet, Joan; Rialp, Josep","Disentangling the relationship between internationalization, incremental and rad",GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1412,,3,A_DOI,,,,,,,,0
156,1646,2022,"da Silva Campos, Susana Sales; Machado F",The contribution of the external director for Brazilian private family business:,JOURNAL OF FAMILY BUSINESS MANAGEMENT,https://doi.org/10.1108/jfbm-05-2021-0042,2,3,A_DOI,,,,,,,,
157,1653,2022,"Criaco, Giuseppe; Naldi, Lucia; Zahra, S","Founders' Prior Shared International Experience, Time to First Foreign Market En",JOURNAL OF MANAGEMENT,https://doi.org/10.1177/01492063211029701,,3,A_DOI,,,,,,,,0
158,1655,2022,"Fuentelsaz, Lucio; Garrido, Elisabet; Go",Speed of institutional change and subsidiary performance: The moderating impact ,GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1416,,3,A_DOI,,,,,,,,0
159,1700,2022,"Tsionas, Mike G.; Tzeremes, Nickolaos G.",The Degree of Internationalization and Firm Productivity: Empirical Evidence fro,BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.12560,1,3,A_DOI,,,,,,,,0
160,1705,2022,"DasGupta, Ranjan; Pathak, Rajesh","Role of educational, regional and religious attributes of CEOs in performance of",INTERNATIONAL JOURNAL OF MANAGERIAL FINA,https://doi.org/10.1108/ijmf-06-2021-0268,3,3,A_DOI,,,,,,,,
161,1706,2022,"Wilson, Nick; Uddin, Moshfique; Wright, ",Exporting by Private Equity-Backed Portfolio Companies,BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.12566,1,3,A_DOI,,,,,,,,0
162,1710,2022,"Kim, YooJung; Seo, Yejung",The synergistic impact between internationalization and supply-and-demand intera,INTERNATIONAL JOURNAL OF CONTEMPORARY HO,https://doi.org/10.1108/ijchm-05-2021-0679,,3,A_DOI,,,,,,,,0
163,1714,2022,"Chawla, Isha",Benefitting from Investment Abroad? Evidence from Indian Manufacturing,ASIA AND THE GLOBAL ECONOMY,https://doi.org/10.1016/j.aglobe.2021.100022,3,3,A_DOI,,,,,,,,0
164,1719,2022,"Vendrell-Herrero, Ferran; Darko, Christi",Home-market economic development as a moderator of the self-selection and learni,JOURNAL OF INTERNATIONAL BUSINESS STUDIE,https://doi.org/10.1057/s41267-021-00481-8,,3,A_DOI,,,,,,,,0
165,1720,2022,"Latukha, Marina; Michailova, Snejina; Ot","Gender, talent management and firm performance: MNCs' female-focused talent mana",EMPLOYEE RELATIONS,https://doi.org/10.1108/er-04-2021-0132,2,3,A_DOI,,,,,,,,0
166,1721,2022,"Hoque, Mohammad Tayeenul; Ahammad, Moham",Eyes open and hands on: market knowledge and marketing capabilities in export ma,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-01-2021-0003,3,3,A_DOI,,,,,,,,0
167,1725,2022,"Xie, Yu; Boadu, Francis; Tang, Hongjuan",Does internationalization encourage state-owned enterprises to utilize subsidies,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-06-2021-0250,2,3,A_DOI,,,,,,,,
168,1727,2022,"Das, Arindam",Promoting organizational diversity and preserving socioemotional wealth: can fam,JOURNAL OF FAMILY BUSINESS MANAGEMENT,https://doi.org/10.1108/jfbm-06-2021-0060,3,3,A_DOI,,,,,,,,0
169,1733,2022,"Benfratello, L.; Bottasso, A.; Piccardo,",'R&D and export performance: exploring heterogeneity along the export intensity ,JOURNAL OF INDUSTRIAL AND BUSINESS ECONO,https://doi.org/10.1007/s40812-022-00209-1,,3,A_DOI,,,,,,,,0
170,1738,2022,"Ahsan, Faisal Mohammad; Sinha, Ashutosh ","Internationalization motives, location advantages and performance: the case of I",CROSS CULTURAL & STRATEGIC MANAGEMENT,https://doi.org/10.1108/ccsm-07-2021-0119,3,3,A_DOI,,,,,,,,0
171,1740,2022,"DasGupta, Ranjan; Kumar, Satish; Pathak,",Multinational enterprises' internationalization and adoption of sustainable deve,INTERNATIONAL JOURNAL OF MANAGERIAL FINA,https://doi.org/10.1108/ijmf-09-2021-0416,0,3,A_DOI,,,,,,,,
172,1744,2022,"Freixanet, Joan; Federo, Ryan","The complex interplay of firm innovation, internationalization and learning capa",JOURNAL OF STRATEGY AND MANAGEMENT,https://doi.org/10.1108/jsma-11-2021-0220,,3,A_DOI,,,,,,,,0
173,1748,2022,"Tandrayen-Ragoobur, Verena",The innovation and exports interplay across Africa: Does business environment ma,JOURNAL OF INTERNATIONAL TRADE & ECONOMI,https://doi.org/10.1080/09638199.2022.2051588,,3,A_DOI,,,,,,,,0
174,1751,2022,"da Cunha, Henrique Correa; Farrell, Carl",Toward a more in-depth measurement of cultural distance: A re-evaluation of the ,INTERNATIONAL JOURNAL OF CROSS CULTURAL ,https://doi.org/10.1177/14705958221089192,0,3,A_DOI,,,,,,,,
175,1753,2022,"Schmuck, Alice; Lagerstrom, Katarina; Sa",Turning the Tables: The Relationship Between Performance and Multinationality,MANAGEMENT INTERNATIONAL REVIEW,https://doi.org/10.1007/s11575-022-00464-3,,3,A_DOI,,,2066,0.21,,,,1
176,1760,2022,"Escobar, Octavio; Lamotte, Olivier; Colo",Impact of sourcing from the informal economy on the export likelihood and perfor,INDUSTRIAL AND CORPORATE CHANGE,https://doi.org/10.1093/icc/dtab068,0,3,A_DOI,,,,,,,,0
177,1765,2022,"Zhao, Wenli; Ye, Guangyu; Xu, Guangyi; L",CSR and Long-Term Corporate Performance: The Moderating Effects of Government Su,SUSTAINABILITY,https://doi.org/10.3390/su14095543,2,3,A_DOI,,,,,,,,0
178,1771,2022,"Hashmi, Hammad Bin Azam; Voinea, Cosmina",The Impact of Breakthrough Innovations on the Export Performance of SMEs in Deve,FRONTIERS IN PSYCHOLOGY,https://doi.org/10.3389/fpsyg.2022.888697,0,3,A_DOI,,,,,,,,0
179,1790,2022,"Hilmersson, Mikael; Schweizer, Roger; Ch","The Relationship Between Timing, Speed, and Performance in Foreign Market Networ",MANAGEMENT INTERNATIONAL REVIEW,https://doi.org/10.1007/s11575-022-00470-5,,3,A_DOI,,,,,,,,0
180,1791,2022,"da Cunha, Henrique Correa; Ruzgar, Nurse",The Moderating Effects of Host Country Governance and Trade Openness on the Rela,INTERNATIONAL JOURNAL OF FINANCIAL STUDI,https://doi.org/10.32920/22647229.v1,,3,A_DOI,,,,,,,,
181,1808,2022,"Kim, Hyunjung",Performance from building smart factories of small- and medium-sized enterprises,INTERNATIONAL JOURNAL OF OPERATIONS & PR,https://doi.org/10.1108/ijopm-10-2021-0654,1,3,A_DOI,,,,,,,,0
182,1816,2022,"Grellmann, Glaucia; Amal, Mohamed; de Va",The effects of home country political risk and uncertainty on the financial perf,EUROPEAN JOURNAL OF INTERNATIONAL MANAGE,https://doi.org/10.1504/ejim.2022.124908,0,3,A_DOI,,,,,,,,
183,1817,2022,"Dai, Yixin; Zhang, Ruijia; Hu, Hanqing; ",Is there ?productivity paradox? in Chinese producer-service enterprises' OFDI?,INTERNATIONAL REVIEW OF FINANCIAL ANALYS,https://doi.org/10.1016/j.irfa.2022.102318,2,3,A_DOI,,,,,,,,0
184,1842,2022,"Wu, Qinglan; Chen, Guifu; Han, Jing; Wu,",Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese L,SUSTAINABILITY,https://doi.org/10.3390/su142012981,2,3,A_DOI,,,,,,,,0
185,1845,2022,"Qi, Xinzhou; Ning, Zhong; Qin, Meng",Incubator role of foreign venture capital: evidence from overseas listing of ent,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,https://doi.org/10.1080/1331677x.2022.2142637,2,3,A_DOI,,,,,,,,
186,1909,2022,"Zambrano Farias, Fernando Jose; Valls Ma",Profitability determinants of the natural stone industry: Evidence from Spain an,PLOS ONE,https://doi.org/10.1371/journal.pone.0276885,1,3,A_DOI,,,,,,,,
187,2330,2022,Gunawan J.,Comparing Developed and Emerging Countries Exporting Performance: Does Strategic,Global Journal of Flexible Systems Manag,https://doi.org/10.1007/s40171-022-00308-x,,3,A_DOI,,,,,,,,0
188,2331,2022,Adam C.,Effects of Diversification on Profitability and Operating Risk for Brazilian Pub,Brazilian Business Review,https://doi.org/10.15728/bbr.2022.19.4.1,2,3,A_DOI,,,,,,,,
189,2332,2022,Dong M.,Performance feedback and export intensity of Chinese private firms: Moderating r,International Business Review,https://doi.org/10.1016/j.ibusrev.2021.101948,2,3,A_DOI,,,,,,,,0
190,2335,2022,Tyagi S.,What Determines Profitability in the Indian Automobile Industry?,Indian Economic Journal,https://doi.org/10.1177/00194662211063574,3,3,A_DOI,,,,,,,,0
191,2336,2022,Capar N.,Internationalisation and the performance of German firms,Journal for Global Business Advancement,https://doi.org/10.1504/jgba.2022.127205,1,3,A_DOI,,,,,,,,0
192,2340,2022,Noerlina ,The Importance of Interfirm Networks in Enhancing Innovation Capability and Expo,Hightech and Innovation Journal,https://doi.org/10.28991/hij-sp2022-03-05,3,3,A_DOI,,,,,,,,0
193,2342,2022,Neamat S.,A Strategy for the Growth and Internationalization of Companies: International M,Journal of Applied Science and Technolog,https://doi.org/10.38094/jastt302133,,3,A_DOI,,,,,,,,0
194,473,2021,"Alnori, Faisal",Exploring nonlinear linkage between profitability and leverage: US multinational,JOURNAL OF INTERNATIONAL FINANCIAL MANAG,https://doi.org/10.1111/jifm.12134,1,3,A_DOI,,,,,,,,NO
195,46,2021,"Mullen, Cormac",'Letters to the editor': the relationship between multinationality and firm perf,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1080/19186444.2020.1857122,2,3,A_DOI,,,,,,,,NO
196,247,2021,"Zhang, Banruo; Li, Zijie; Li, Xiaomeng; ",Speed of internationalization and firm performance: the moderating role of poten,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-06-2020-0249,2,3,A_DOI,,,,,,,,NO
197,471,2021,"Morgan, Horatio M.; Sui, Sui; Malhotra, ",No place like home: The effect of exporting to the country of origin on the fina,JOURNAL OF INTERNATIONAL BUSINESS STUDIE,https://doi.org/10.1057/s41267-020-00360-8,,3,A_DOI,,,,,,,,NO
198,472,2021,"Gkypali, Areti; Love, James H.; Roper, S",Export status and SME productivity: Learning-to-export versus learning-by-export,JOURNAL OF BUSINESS RESEARCH,https://doi.org/10.1016/j.jbusres.2021.02.026,,3,A_DOI,,,,,,,,NO
199,1527,2021,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia",Product diversification and large construction firm productivity: the effect of ,ENGINEERING CONSTRUCTION AND ARCHITECTUR,https://doi.org/10.1108/ecam-05-2020-0288,2,3,A_DOI,,,,,,,,
200,1530,2021,"Arzubiaga, Unai; Castillo-Apraiz, Julen;",Organisational learning as a mediator in the host-home country similarity-intern,EUROPEAN BUSINESS REVIEW,https://doi.org/10.1108/ebr-09-2019-0238,0,3,A_DOI,,,,,,,,
201,1539,2021,"Song, Sujin; Lee, Seoki",The Effect of Internationalization on Firm Performance: A Moderating Role of Het,CORNELL HOSPITALITY QUARTERLY,https://doi.org/10.1177/1938965520958703,,3,A_DOI,,,,,,,,0
202,1544,2021,"Forte, Rosa; Botelho, Andreia",Debt-performance relationship and firms' international trade activities,MANAGERIAL FINANCE,https://doi.org/10.1108/mf-04-2020-0162,,3,A_DOI,,,,,,,,0
203,1548,2021,"Markus, Gabor; Rideg, Andras",Understanding the connection between SMEs' competitiveness and cash flow generat,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-01-2020-0019,1,3,A_DOI,,,,,,,,
204,1549,2021,"Bertello, Alberto; Ferraris, Alberto; Br",Big data analytics (BDA) and degree of internationalization: the interplay betwe,JOURNAL OF MANAGEMENT & GOVERNANCE,https://doi.org/10.1007/s10997-020-09542-w,1,3,A_DOI,,,266,0.133,,,,1
205,1550,2021,"Rigo, Davide",Global value chains and technology transfer: new evidence from developing countr,REVIEW OF WORLD ECONOMICS,https://doi.org/10.1007/s10290-020-00398-8,0,3,A_DOI,,,,,,,,0
206,1558,2021,"Manogna, R. L.",Innovation and firm growth in agricultural inputs industry: empirical evidence f,JOURNAL OF AGRIBUSINESS IN DEVELOPING AN,https://doi.org/10.1108/jadee-07-2020-0156,3,3,A_DOI,,,,,,,,0
207,1563,2021,"Chen, Yuan; Singhal, Vinod; Zhu, Qinghua",Environmental policies and financial performance: stock market reaction to firms,BUSINESS STRATEGY AND THE ENVIRONMENT,https://doi.org/10.1002/bse.2693,2,3,A_DOI,,,,,,,,0
208,1585,2021,"De Montreuil Carmona, Linda Jessica; Gom",Measuring competitiveness through the global competitiveness project framework: ,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-12-2019-0164,2,3,A_DOI,,,,,,,,
209,1586,2021,"Chow, Yee Peng",Business founders and performance of family firms: evidence from developing coun,JOURNAL OF ASIA BUSINESS STUDIES,https://doi.org/10.1108/jabs-03-2019-0095,0,3,A_DOI,,,,,,,,
210,1603,2021,"Manogna, R. L.; Mishra, Aswini Kumar",Does investment in innovation impact firm performance in emerging economies? An ,INTERNATIONAL JOURNAL OF INNOVATION SCIE,https://doi.org/10.1108/ijis-07-2020-0104,3,3,A_DOI,,,,,,,,0
211,1604,2021,"Espinosa-Mendez, Christian; Araya-Castil","International diversification, ownership structure and performance in an emergin",ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,https://doi.org/10.1080/1331677x.2020.1820359,2,3,A_DOI,,,,,,,,0
212,1607,2021,"Davcik, Nebojsa S.; Cardinali, Silvio; S",Exploring the role of international R&D activities in the impact of technologica,JOURNAL OF BUSINESS RESEARCH,https://doi.org/10.1016/j.jbusres.2020.04.042,,3,A_DOI,,,,,,,,0
213,1610,2021,"Chen, Lili; Guo, Shaoyu; Lu, Jian; Gersc",Outward FDI and efficiency in within-firm resource allocation-Evidence from firm,JOURNAL OF ASIAN ECONOMICS,https://doi.org/10.1016/j.asieco.2021.101298,2,3,A_DOI,,,,,,,,0
214,1625,2021,"Chan, Christine M.; Du, Jialin",The dynamic process of pro-market reforms and foreign affiliate performance: Whe,JOURNAL OF INTERNATIONAL BUSINESS STUDIE,https://doi.org/10.1057/s41267-021-00429-y,,3,A_DOI,,,,,,,,0
215,1626,2021,"Danish, Mohd Shadab; Haider, Salman; Dha",Modelling two-way relationship between innovation and internationalisation: does,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1080/19186444.2021.1908791,,3,A_DOI,,,,,,,,0
216,1635,2021,"Wei, Shih-Yung; Lin, Li-Wei",The Relationship between Extent of Internationalization and Firm Performance (Ta,MATHEMATICAL PROBLEMS IN ENGINEERING,https://doi.org/10.1155/2021/5528972,1,3,A_DOI,,,,,,,,0
217,1638,2021,"Han, Xia","Risk management, legitimacy, and the overseas subsidiary performance of emerging",INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2020.101732,0,3,A_DOI,,,,,,,,0
218,1640,2021,"Saha, Kaustav; Kumar, Rohit; Dutta, Swar",Validating multidimensional entrepreneurial orientation in emerging economies,EUROPEAN BUSINESS REVIEW,https://doi.org/10.1108/ebr-07-2020-0184,0,3,A_DOI,,,,,,,,
219,1644,2021,"Iandolo, Stefano; Ferragina, Anna",International activities and innovation: Evidence from Italy with a special regr,WORLD ECONOMY,https://doi.org/10.1111/twec.13153,1,3,A_DOI,,,,,,,,0
220,1647,2021,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","International competitive strategies, organizational learning and export perform",EUROPEAN JOURNAL OF MARKETING,https://doi.org/10.1108/ejm-04-2019-0309,,3,A_DOI,,,,,,,,0
221,1654,2021,"Freixanet, Joan; Churakova, Iya; Rialp, ",Riding the storm out: the short- and long-term effects of export promotion on fi,EUROPEAN JOURNAL OF INTERNATIONAL MANAGE,https://doi.org/10.1504/ejim.2021.116703,,3,A_DOI,,,,,,,,0
222,1675,2021,"Prada, Pablo Garrido; Delgado Rodriguez,",Testing critical levels in product and geographic diversification: a structural ,EUROPEAN JOURNAL OF INTERNATIONAL MANAGE,https://doi.org/10.1504/ejim.2021.117522,1,3,A_DOI,,,,,,,,0
223,1679,2021,"Haddoud, Mohamed Yacine; Onjewu, Adah-Ko",Environmental commitment and innovation as catalysts for export performance in f,TECHNOLOGICAL FORECASTING AND SOCIAL CHA,https://doi.org/10.1016/j.techfore.2021.121085,,3,A_DOI,,,,,,,,0
224,1709,2021,"Shin, Joon-Ho; Kim, Chang-Bong",Degree of Internationalization and Performance of High-tech Small and Medium-siz,JOURNAL OF KOREA TRADE,https://doi.org/10.35611/jkt.2021.25.7.1,1,3,A_DOI,,,,,,,,0
225,1724,2021,"Fonfara, Krzysztof; Hauke-Lopes, Aleksan",Does Psychic Distance Still Matter? Empirical Evidence from Poland,CENTRAL EUROPEAN MANAGEMENT JOURNAL,https://doi.org/10.7206/cemj.2658-0845.59,2,3,A_DOI,,,,,,,,0
226,2344,2021,Gonçalves T.,Commitment to exporting as an antecedent of organizational skills and firm perfo,Journal of Business Economics,https://doi.org/10.1007/s11573-021-01028-x,,3,A_DOI,,,,,,,,0
227,2347,2021,Williams D.W.,Unpacking the age at initial internationalization-performance relationship: A me,Journal of Business Venturing Insights,https://doi.org/10.1016/j.jbvi.2020.e00210,,3,A_DOI,,,,,,,,0
228,2349,2021,Dikova D.,Performance Effects of Internationalization: Contingency Theory Analysis of Russ,Management and Organization Review,https://doi.org/10.1017/mor.2020.39,2,3,A_DOI,,,,,,,,0
229,2350,2021,Rienda L.,The role of family firms' heterogeneity on the internationalisation and performa,European Journal of Family Business,https://doi.org/10.24310/ejfbejfb.v11i2.10591,,3,A_DOI,,,,,,,,0
230,2353,2021,Spuldaro J.D.,The effect of innovation on the financial performance and export intensity of fi,International Journal of Business Innova,https://doi.org/10.1504/ijbir.2021.116382,,3,A_DOI,,,,,,,,0
