seq,doi,title,year,s2_pdf_url,s2_found,error
2541,10.1016/s0969-5931(98)00013-4,The effects of the degree of internationalization on firm performance,1998,,False,
2543,10.1108/03074359810765499,Multinationality and profitability: The contingency of the investment opportunit,1998,,False,
2544,10.1023/a:1008288309652,Degree of Multinationality and Financial Performance: A Study of U.S.-Based Mult,1998,,False,
538,10.2307/256635,Effects of international diversity and product diversity on the performance of m,1996,,False,not_found
2553,10.1177/026624269000800404,Export Behaviour and Attitudes of Small- and Medium-sized Korean Manufacturing F,1990,,False,
2554,10.1016/0148-2963(90)90015-6,Influence of firm size on export planning and performance,1990,,False,
2559,10.1057/palgrave.jibs.8490413,Multinationality and Performance among British Manufacturing Companies,1987,,False,
2562,10.1111/j.1936-4490.1986.tb00416.x,The Export Performance of Small and Medium‐Sized Canadian Manufacturers,1986,,False,
2563,10.1111/j.1468-2257.1986.tb00055.x,Sub-national foreign export development and its impact on productivity.,1986,,False,
2567,10.1007/bf02696473,"The influence of firm size, industry, nationality, and degree of multinationalit",1978,,False,
