priority_rank,seq,doi_status,icrv,year,authors,title,journal,doi,prescreen_reason,dpl,fp_type
195,136,DOI,MX,2008,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-008-0027-7,INCL:internationalization|MNE,2,TBD
196,161,DOI,MX,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,INCL:internationalization|firm-performance,3,firm_performance
197,163,DOI,MX,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,INCL:internationalization|financial-perf,3,financial_perf
198,164,DOI,MX,2026,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,INCL:internationalization,3,TBD
199,165,DOI,MX,2026,"Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling","ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.70460,INCL:internationalization,3,Efficiency
200,166,DOI,MX,2026,"Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin","Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry",ECONOMIC MODELLING,10.1016/j.econmod.2026.107559,INCL:FDI,3,Productivity
201,167,DOI,MX,2026,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",Navigating global waters: performance outcomes of internationalization in family businesses,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,INCL:internationalization,3,TBD
202,168,DOI,MX,2026,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",Product innovation strategy and firm performance: Novelty and internationalization as mediators,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,INCL:internationalization|firm-performance,3,firm_performance
203,170,DOI,MX,2026,"Kaur, Navjot; Singh, Balwinder",Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,GLOBAL BUSINESS REVIEW,10.1177/09721509261437526,INCL:internationalization|firm-performance,3,firm_performance
204,173,DOI,MX,2025,"Xu, Xin; Sun, Meiya","Digital Transformation, Internationalisation and ESG Performance of Multinational Companies",MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.4496,INCL:internationalization|MNE,3,TBD
205,180,DOI,MX,2025,"Zhong, Xi; Ren, Ge; Wu, Xiaojie","Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?",INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0045,INCL:internationalization|financial-perf,3,financial_perf
206,183,DOI,MX,2025,"Tran, Ai-Cam; Dao, Thu-Hien Thi","Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisation performance: the moderating role of entrepreneurial leadership",JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2025.10071182,INCL:internationalization,3,TBD
207,184,DOI,MX,2025,"Shih, Yu-Yuan; Lin, Chih-An",Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sustainability amidst supply chain restructuring,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-01-2025-0047,INCL:MNE|FDI,3,TBD
208,185,DOI,MX,2025,"Chang, Yali; Wu, Yijie; Lv, Yue",RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,10.1080/16081625.2025.2596994,INCL:internationalization|productivity|export-productivity,3,TFP
209,190,DOI,MX,2024,"Zhang, Wei; Zhong, Xiuli; Li, Xue",The impact of degree of internationalization of MNEs on green innovation performance: The moderating role of absorptive capacity and global dynamic management capability,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2592,INCL:internationalization|DOI,3,TBD
210,191,DOI,MX,2024,"Khatua, Apalak; Mondal, Arindam; Dhanda, Supria",The internationalization and performance of INVs: Liability or learning advantages of newness?,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-023-00345-2,INCL:internationalization,3,TBD
211,193,DOI,MX,2024,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",Effects of female CEO and female CFO on internationalization and firm performance,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF BUSINESS IN SOCIETY,10.1108/cg-12-2022-0512,INCL:internationalization|firm-performance,3,firm_performance
212,195,DOI,MX,2024,"Arbelo, Antonio; Arbelo-Perez, Marta; Perez-Gomez, Pilar",Internationalization and individual firm performance: a resource-based view,EURASIAN BUSINESS REVIEW,10.1007/s40821-024-00276-5,INCL:internationalization|firm-performance,3,firm_performance
213,196,DOI,MX,2024,"Carchano, Marcos; Carrasco, Inmaculada; Gonzalez, Angela; Saez-Martinez, Francisco J.",Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive environmental strategy and eco-innovation,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2894,INCL:internationalization|financial-perf,3,financial_perf
214,198,DOI,MX,2024,"Purkayastha, Anish; Karna, Amit; Sharma, Sunil; Bhadra, Dhiman",Role of resource investment management and strategic resource deployment capabilities in internationalization-performance relationship,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101122,INCL:internationalization,3,TBD
215,203,DOI,MX,2024,"Du, Helen S.; Colovic, Ana",The impact of global city location intensity on MNE performance: Leveraging learning and connectivity,LONG RANGE PLANNING,10.1016/j.lrp.2023.102409,INCL:MNE-location→MNE-performance,3,
216,204,DOI,MX,2024,"Melgarejo, Mauricio",Earnings quality of multinational corporations: Evidence from Latin America before and after IFRS implementation,JOURNAL OF CORPORATE ACCOUNTING AND FINANCE,10.1002/jcaf.22729,INCL:MNE,3,
217,207,DOI,MX,2024,"Amornkitvikai, Yot; Charoenrat, Teerawat","The impact of female chief executive officers, ownership, and globalization on ASEAN manufacturers' technical efficiency performance",RESEARCH IN GLOBALIZATION,10.1016/j.resglo.2024.100206,INCL:globalization→ASEAN-manufacturer-performance,3,
218,208,DOI,MX,2024,"Zhou, Chenxi; Zhang, Yameng; Bu, Maoliang",Home country adverse political shocks and cross-border mergers and acquisitions financial performance of politically connected emerging market firms,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2023.102175,INCL:cross-border-M&A→financial-performance,3,
219,215,DOI,MX,2023,"Rienda, Laura; Ruiz-Fernandez, Lorena; Poveda-Pareja, Esther; Andreu-Guerrero, Rosario",CSR drivers of fashion SMEs and performance: the role of internationalization,JOURNAL OF FASHION MARKETING AND MANAGEMENT,10.1108/jfmm-06-2021-0151,INCL:internationalization,3,TBD
220,216,DOI,MX,2023,"Luu, Tien Dung; Trinh, Lan Anh; Nguyen, Thanh Phuong Binh; Ngo, Ngoc Linh Chi; Le, Nguyen Phuong Nhi; Vu, Nhat Vi",Degree of internationalisation and firm performance: the flattening role of organisational slack resources,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-03-2022-0030,INCL:internationalization|firm-performance,3,firm_performance
221,218,DOI,MX,2023,"Mendes, Telma; Silva, Carina; Braga, Alexandra","Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Internationalisation, and Performance",SUSTAINABILITY,10.3390/su15032003,INCL:internationalization,3,TBD
222,219,DOI,MX,2023,"Park, Sang-Bum",Internationalization and firm performance: moderating role of multi-stakeholder initiatives,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2022-0168,INCL:internationalization|MNE|firm-performance,3,firm_performance
223,220,DOI,MX,2023,"Batsakis, Georgios; Theoharakis, Vasilis; Li, Chengguang; Konara, Palitha",Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,JOURNAL OF RETAILING,10.1016/j.jretai.2023.07.005,INCL:internationalization,3,TBD
224,225,DOI,MX,2022,"Ding, Zhenkuo; Ye, Guangyu; Huang, Sheng; Hu, Man",How learning orientation drives the international performance of INVs: the roles of entrepreneurial bricolage and degree of internationalization,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-07-2020-0155,INCL:internationalization|MNE|DOI,3,TBD
225,227,DOI,MX,2022,"Xiao, Peng; Sun, Xiaoxia",Does internationalization strategy promote enterprise innovation performance?-The moderating effect of environmental complexity,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.3482,INCL:internationalization|firm-performance,3,TBD
226,229,DOI,MX,2022,"Varas-Fuente, Oscar Javier; Arguedas-Sanz, Raquel; Rodrigo-Moya, Beatriz",Internationalisation and performance in family businesses: influence of the internationalisation path followed,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,10.1504/ijesb.2022.124453,INCL:internationalization,3,TBD
227,230,DOI,MX,2022,"Sang, Meiyue; Zhang, Yuqing; Ye, Kunhui; Jiang, Weiyan",Moderating Effects of Internationalization between Corporate Social Responsibility and Financial Performance: The Case of Construction Firms,BUILDINGS,10.3390/buildings12020185,INCL:internationalization|financial-perf,3,financial_perf
228,231,DOI,MX,2022,"Zhong, Xi; Chen, Weihong; Ren, Ge",The effects of performance shortfalls on firms' exploitation and exploration R&D internationalization decisions: Does industry environmental matter?,TECHNOVATION,10.1016/j.technovation.2021.102408,INCL:internationalization,3,TBD
229,232,DOI,MX,2022,"Smallbone, David; Saridakis, George; Abubakar, Yazid Abdullahi",Internationalisation as a stimulus for SME innovation in developing economies: Comparing SMEs in factor-driven and efficiency-driven economies,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.01.045,INCL:internationalization,3,Efficiency
230,235,DOI,MX,2022,"Zhao, Xiaoyang; Yi, Changjun; Zhan, Yun; Guo, Minmin",Business environment distance and innovation performance of EMNEs: The mediating effect of R&D internationalization,JOURNAL OF INNOVATION & KNOWLEDGE,10.1016/j.jik.2022.100241,INCL:internationalization,3,TBD
231,236,DOI,MX,2022,"Mishra, Abhishek; Anning-Dorson, Thomas",Dynamic customer-oriented relational capabilities: how do they impact internationalizing firm performance?,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/jstp-10-2021-0202,INCL:internationalization|firm-performance,3,firm_performance
232,237,DOI,MX,2022,"Chang, Asma; Mubarik, Shujaat",Taking the international route: Investigating the impact of socioemotional wealth dimensions on family firm performance via internationalisation,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2022.100305,INCL:internationalization|firm-performance,3,firm_performance
233,243,DOI,MX,2021,"Dadzie, Zaynab; Agyapong, Ahmed; Suglo, Abdulai",The role of internationalization in entrepreneurial orientation-performance link: empirical study of SMEs in a developing nation perspective,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-09-2019-0126,INCL:internationalization,3,TBD
234,244,DOI,MX,2021,"Rahko, Jaana",R&D internationalization and firm productivity. Does the host country matter?,APPLIED ECONOMICS,10.1080/00036846.2020.1853668,INCL:internationalization|export-productivity,3,Productivity
235,245,DOI,MX,2021,"Meschi, Pierre-Xavier; Ricard, Antonin; Moore, Ernesto Tapia",Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,MANAGEMENT,10.37725/mgmt.v24i1.4507,INCL:internationalization|exporter,3,TBD
236,248,DOI,MX,2021,"Merlevede, Bruno; Theodorakopoulos, Angelos",Productivity effects of internationalisation through the domestic supply chain,JOURNAL OF APPLIED ECONOMETRICS,10.1002/jae.2837,INCL:internationalization|export-productivity,3,Productivity
237,249,DOI,MX,2021,"Biener, Christian; Eling, Martin; Jia, Ruo",Globalisation: blessing or curse? Evidence from the insurance industry,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2021.113232,INCL:globalisation-blessing-curse→firm-performance,3,
238,251,DOI,MX,2021,"Wu, Sihong; Fan, Di",Taking social responsibilities overseas? The learning paths and performance consequences of Chinese multinationals,JOURNAL OF GENERAL MANAGEMENT,10.1177/0306307020984566,INCL:MNE,3,
239,254,DOI,MX,2020,"Vuorio, Anna; Torkkeli, Lasse; Sainio, Liisa-Maija",Service innovation and internationalization in SMEs: antecedents and profitability outcomes,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-019-00266-z,INCL:internationalization|financial-perf,3,financial_perf
240,255,DOI,MX,2020,"Hoxholli, Emi; Kercini, Donika",THE ACTUAL LEVEL OF INTERNATIONALIZATION OF ALBANIAN SMES AND THE MEASURE OF THEIR OVERALL PERFORMANCE,INTERNATIONAL JOURNAL OF ECOSYSTEMS AND ECOLOGY SCIENCE-IJEES,10.31407/ijees10.121,INCL:internationalization,3,TBD
241,257,DOI,MX,2020,"Yang, Yi; Yao, Congxu; Li, Ying",The impact of the amount of environmental information disclosure on financial performance: The moderating effect of corporate internationalization,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2010,INCL:internationalization|financial-perf,3,financial_perf
242,258,DOI,MX,2020,"Jiang, Guohua; Kotabe, Masaaki; Zhang, Feng","Founder ethnic composition, early internationalization, and new venture performance",JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-020-00281-5,INCL:internationalization,3,TBD
243,259,DOI,MX,2020,"Crespo, Nuno Fernandes; Simoes, Vitor Corado; Fontes, Margarida",Competitive strategies and international new ventures' performance: Exploring the moderating effects of internationalization duration and preparation,BRQ-BUSINESS RESEARCH QUARTERLY,10.1177/2340944420916334,INCL:internationalization,3,TBD
244,260,DOI,MX,2020,"Opoku, Eric E. O.; Yan, Isabel K. M.; Hynes, Kate",Reaching up and reaching out: The impact of competition on firms' productivity and export decisions,PACIFIC ECONOMIC REVIEW,10.1111/1468-0106.12287,INCL:export-productivity,3,LAB
245,261,DOI,MX,2020,"Zhao, Yue; Parente, Ronaldo; Song, Mohan; Wenger, Lucas",Host country institutional diversity and MNE performance persistence,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.03.018,INCL:institutional-diversity→MNE-performance,3,
246,262,DOI,MX,2020,"Teresa Bolivar-Ramos, Maria; Capelleras, Joan-Lluis; Rialp-Criado, Alex; Rialp-Criado, Josep",The interplay between exports and technological collaborations: effects on SME growth,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/ijtm.2020.112156,INCL:exports+collaborations→SME-growth,3,GROW
247,264,DOI,MX,2019,"Rossmannek, Oliver; Rank, Olaf",Internationalization of exploitation alliance portfolios and firm performance,MANAGEMENT DECISION,10.1108/md-11-2017-1105,INCL:internationalization|firm-performance,3,firm_performance
248,271,DOI,MX,2019,"Catanzaro, Alexis; Messeghem, Karim; Sammut, Sylvie",Effectiveness of Export Support Programs: Impact on the Relational Capital and International Performance of Early Internationalizing Small Businesses,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1111/jsbm.12489,INCL:internationalization,3,TBD
249,272,DOI,MX,2019,"Woo, Linda; Assaf, A. George; Josiassen, Alexander; Kock, Florian",Internationalization and hotel performance: Agglomeration-related moderators,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2019.03.007,INCL:internationalization,3,TBD
250,273,DOI,MX,2019,"Iandolo, Stefano; Ferragina, Anna Maria",Does persistence in internationalization and innovation influence firms' performance?,JOURNAL OF ECONOMIC STUDIES,10.1108/jes-04-2019-0152,INCL:internationalization,3,TBD
251,278,DOI,MX,2018,"Joensuu-Salo, Sanna; Sorama, Kirsti; Viljamaa, Anmari; Varamaeki, Elina","Firm Performance among Internationalized SMEs: The Interplay of Market Orientation, Marketing Capability and Digitalization",ADMINISTRATIVE SCIENCES,10.3390/admsci8030031,INCL:internationalization|firm-performance,3,firm_performance
252,284,DOI,MX,2018,"Hojnik, Jana; Ruzzier, Mitja; Manolova, Tatiana S.",Internationalization and economic performance: The mediating role of eco-innovation,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2017.10.111,INCL:internationalization,3,TBD
253,287,DOI,MX,2018,"Nikolchenko, Natalia; Zenkevich, Nikolay; Lebedeva, Anastasia",Improvement of Operational performance of Internationalized Companies through Collaboration in Distribution Networks,JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2018.1467842,INCL:internationalization,3,TBD
254,288,DOI,MX,2018,"Dobbelaere, Sabien; Kiyota, Kozo","Labor market imperfections, markups and productivity in multinationals and exporters",LABOUR ECONOMICS,10.1016/j.labeco.2018.05.004,INCL:MNE|export-productivity,3,LAB
255,290,DOI,MX,2018,"Powell, K. Skylar; Lim, Eunah",'Misfits' DO try to fit: Deviations from firm-specific optimal multinationality and subsequent market entry or exit in US law firms,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2017.09.023,INCL:MNE,3,
256,291,DOI,MX,2017,"Yang, Jing Yu; Lu, Jane; Jiang, Ruihua","Too Slow or Too Fast? Speed of FDI Expansions, Industry Globalization, and Firm Performance",LONG RANGE PLANNING,10.1016/j.lrp.2016.06.001,INCL:FDI|firm-performance,3,firm_performance
257,292,DOI,MX,2017,"Upadhyayula, Rajesh S.; Dhandapani, Karthik; Karna, Amit",The Role of Cluster Presence and Quality Certification in Internationalization and Performance of Offshore Service Providers,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.11.004,INCL:internationalization,3,TBD
258,294,DOI,MX,2017,"Popli, Manish; Akbar, Mohammad; Kumar, Vikas; Gaur, Ajai",Performance Impact of Temporal Strategic Fit: Entrainment of Internationalization with Pro-Market Reforms,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1160,INCL:internationalization,3,TBD
259,296,DOI,MX,2017,"Cui, Lin; Fan, Di; Liu, Xiaohui; Li, Yi",Where to Seek Strategic Assets for Competitive Catch-up? A configurational study of emerging multinational enterprises expanding into foreign strategic factor markets,ORGANIZATION STUDIES,10.1177/0170840616670441,INCL:MNE,3,
260,297,DOI,MX,2016,"de Jorge Moreno, Justo; Rojas Carrasco, Oscar","Efficiency, internationalization and market positioning in textiles fast fashion The Inditex case",INTERNATIONAL JOURNAL OF RETAIL & DISTRIBUTION MANAGEMENT,10.1108/ijrdm-04-2015-0064,INCL:internationalization,3,Efficiency
261,304,DOI,MX,2016,"Onkelinx, Jonas; Manolova, Tatiana S.; Edelman, Linda F.","The human factor: Investments in employee human capital, productivity, and SME internationalization",JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.05.002,INCL:internationalization|export-productivity,3,Productivity
262,306,DOI,MX,2016,"Marcone, Maria Rosaria",Multilocalisation and the Growth of Knowledge Assets in Medium-Sized Multinationals (MSMs),JOURNAL OF THE KNOWLEDGE ECONOMY,10.1007/s13132-015-0256-5,INCL:MNE,3,GROW
263,307,DOI,MX,2015,"Kunttu, Anna; Torkkeli, Lasse",Service innovation and internationalization in SMEs: Implications for growth and performance,MANAGEMENT REVUE,10.5771/0935-9915-2015-2-83,INCL:internationalization,3,TBD
264,309,DOI,MX,2015,"Childs, Michelle L.; Jin, Byoungho",Firm factors that influence internationalisation and subsequent financial performance of fashion retailers,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/jstp-09-2013-0204,INCL:internationalization|financial-perf,3,financial_perf
265,310,DOI,MX,2015,"Majocchi, Antonio; Dalla Valle, Luciana; D'Angelo, Alfredo","Internationalisation, cultural distance and country characteristics: a Bayesian analysis of SMEs financial performance",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.720600,INCL:internationalization|financial-perf,3,financial_perf
266,311,DOI,MX,2015,"De Noni, Ivan; Apa, Roberta",The moderating effect of exploitative and exploratory learning on internationalisation-performance relationship in SMEs,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-015-0148-6,INCL:internationalization,3,TBD
267,317,DOI,MX,2014,"Chen, Yan; Jiang, Yiwei; Wang, Chengqi; Hsu, Wen Chung",How do resources and diversification strategy explain the performance consequences of internationalization?,MANAGEMENT DECISION,10.1108/md-10-2013-0527,INCL:internationalization,3,TBD
268,318,DOI,MX,2014,"Buch, Claudia M.; Koch, Catherine T.; Koetter, Michael",Should I stay or should I go? Bank productivity and internationalization decisions,JOURNAL OF BANKING & FINANCE,10.1016/j.jbankfin.2014.02.003,INCL:internationalization|export-productivity,3,Productivity
269,321,DOI,MX,2014,"Cincera, Michele; Ravet, Julien","Globalisation, industrial diversification and productivity growth in large European R&D companies",JOURNAL OF PRODUCTIVITY ANALYSIS,10.1007/s11123-012-0315-x,INCL:globalisation→productivity-growth,3,LAB
270,323,DOI,MX,2014,"Ataullah, Ali; Le, Hang; Sahota, Amandeep S.","EMPLOYEE PRODUCTIVITY, EMPLOYMENT GROWTH, AND THE CROSS-BORDER ACQUISITIONS BY EMERGING MARKET FIRMS",HUMAN RESOURCE MANAGEMENT,10.1002/hrm.21619,INCL:cross-border-acquisition→employee-productivity,3,LAB
271,326,DOI,MX,2013,"Iona, Alfonsina; Leonida, Leone; Navarra, Pietro","BUSINESS GROUP AFFILIATION, INNOVATION, INTERNATIONALIZATION, AND PERFORMANCE: A SEMIPARAMETRIC ANALYSIS",GLOBAL STRATEGY JOURNAL,10.1111/j.2042-5805.2013.01060.x,INCL:internationalization,3,TBD
272,330,DOI,MX,2012,"LiPuma, Joseph A.",Internationalization and the IPO performance of new ventures,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2011.05.007,INCL:internationalization,3,TBD
273,331,DOI,MX,2012,"Ferrante, Maria Rosaria; Freo, Marzia",The Total Factor Productivity Gap between Internationalised and Domestic Firms: Net Premium or Heterogeneity Effect?,WORLD ECONOMY,10.1111/j.1467-9701.2011.01415.x,INCL:internationalization|productivity|export-productivity,3,TFP
274,332,DOI,MX,2012,"Li, Lee; Qian, Gongming; Qian, Zhengming","Early internationalization and performance of small high-tech ""born-globals""",INTERNATIONAL MARKETING REVIEW,10.1108/02651331211260377,INCL:internationalization,3,TBD
275,334,DOI,MX,2012,"Dau, Luis Alfonso",PRO-MARKET REFORMS AND DEVELOPING COUNTRY MULTINATIONAL CORPORATIONS,GLOBAL STRATEGY JOURNAL,10.1111/j.2042-5805.2012.01033.x,INCL:MNE,3,
276,338,DOI,MX,2011,"Schueffel, Patrick; Amann, Wolfgang; Herbolzheimer, Emilio",Internationalization of new ventures: tests of growth and survival,MULTINATIONAL BUSINESS REVIEW,10.1108/15253831111190199,INCL:internationalization|MNE,3,SURV
277,341,DOI,MX,2010,"Outreville, J. Francois","Internationalization, Performance and Volatility: The World Largest Financial Groups",JOURNAL OF FINANCIAL SERVICES RESEARCH,10.1007/s10693-010-0090-7,INCL:internationalization,3,TBD
278,346,DOI,MX,2008,"Fryges, Helmut; Wagner, Joachim",Exports and Productivity Growth: First Evidence from a Continuous Treatment Approach,REVIEW OF WORLD ECONOMICS,10.2139/ssrn.989931,INCL:export-productivity,2,LAB
279,347,DOI,MX,2007,"Fortanier, Fabienne; Muller, Alan; van Tulder, Rob",INTERNATIONALIZATION AND PERFORMANCE: THE MODERATING ROLE OF STRATEGIC FIT,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,10.1016/s1064-4857(07)13008-4,INCL:internationalization|MNE,2,TBD
280,349,DOI,MX,2006,"Chiao, Yu-Ching; Yang, Kuo-Pin; Yu, Chwo-Ming Joseph","Performance, internationalization, and firm-specific advantages of SMEs in a newly-industrialized economy",SMALL BUSINESS ECONOMICS,10.1007/s11187-005-5604-6,INCL:internationalization,2,TBD
281,353,DOI,MX,2004,"Yeoh, PL",International learning: antecedents and performance implications among newly internationalizing companies in an exporting context,INTERNATIONAL MARKETING REVIEW,10.1108/02651330410547171,INCL:internationalization|exporter,2,TBD
282,354,DOI,MX,2004,"Merino, F",Firms' productivity and internationalization: a statistical dominance test,APPLIED ECONOMICS LETTERS,10.1080/1350485042000254890,INCL:internationalization|export-productivity,2,Productivity
283,355,DOI,MX,2002,"Vermeulen, F; Barkema, H","Pace, rhythm, and scope: Process dependence in building a profitable multinational corporation",STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.243,INCL:MNE,2,ACC
284,461,DOI,MX,2026,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain","The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,INCL:MNE,3,TBD
285,462,DOI,MX,2025,"Shershunovich, Yauheniya; Mirzabaev, Alisher","Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,INCL:exporter|export-productivity,3,Productivity
286,464,DOI,MX,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien","Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,INCL:MNE,3,TBD
287,465,DOI,MX,2025,"Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro E.; Marinova, Svetla; Ortiz-Cea, Vesnia; Reveco, Roberto","Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry",SUSTAINABILITY,10.3390/su17125381,INCL:exporter|firm-performance|export-productivity,3,firm_performance
288,466,DOI,MX,2024,"Idris, Bochra; Saridakis, George; Georgellis, Yannis; Lai, Yanqing; Johnstone, Stewart",Exporting is a team sport: the link between management training and performance in SMEs,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/ijm-03-2023-0150,INCL:exporting→performance-in-SMEs,3,TBD
289,467,DOI,MX,2024,"Chaudhuri, Ranjan; Vrontis, Demetris; Chatterjee, Sheshadri","External environment and internal dynamics of ""born global"": strategic and operational firm performance",MANAGEMENT DECISION,10.1108/md-02-2023-0168,INCL:firm-performance,3,firm_performance
290,472,DOI,MX,2021,"Gkypali, Areti; Love, James H.; Roper, Stephen",Export status and SME productivity: Learning-to-export versus learning-by-exporting,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2021.02.026,INCL:exporter|export-productivity,3,Productivity
291,474,DOI,MX,2020,"Campos-Garcia, Irene; Munoz-Bullon, Fernando; Sanchez-Bueno, Maria J.; Angel Zuniga-Vicente, Jose",Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2019.10.074,INCL:exporting→firm-efficiency,3,Efficiency
292,478,DOI,MX,2019,"Rezende, Ligia de Azevedo; Bansi, Ana Claudia; Rodrigues Alves, Marlon Fernandes; Ribeiro Galina, Simone Vasconcelos",Take your time: Examining when green innovation affects financial performance in multinationals,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.06.135,INCL:MNE|financial-perf,3,financial_perf
293,479,DOI,MX,2019,"Ferrante, Maria R.; Freo, Marzia",Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors and panel attrition,WORLD ECONOMY,10.1111/twec.12807,INCL:exporter|export-productivity,3,Productivity
