seq,title,old_decision,new_decision,reason,has_abstract
1914,INSIDE ENTREPRENEURIAL ORIENTATION: DO RISK-TAKING AND INNOVATIVENESS INFLUENCE ,UNSURE,UNSURE,refine_abs:insufficient,Y
1915,"Captive Offshoring, Innovation and Market Diffusion: Evidence from the Swedish C",UNSURE,UNSURE,refine_abs:insufficient,Y
1916,Early internationalisation of entrepreneurial firms: the role of artificial inte,UNSURE,UNSURE,refine_abs:insufficient,Y
1919,How outward FDIs affect income: experiences from Chinese city-regions,UNSURE,UNSURE,refine_abs:insufficient,Y
1920,Post-Brexit: Do board interlocks make banks take similar relocation decisions?,UNSURE,UNSURE,refine_abs:insufficient,Y
1923,The Lights and Shadows of Family Involvement in Small and Medium-Sized Firms,UNSURE,UNSURE,refine_abs:insufficient,Y
1926,Foreign Versus Local Ownership and Performance in Eastern Versus Western EU: A R,UNSURE,UNSURE,refine_abs:insufficient,Y
1933,Entrepreneurial passion and family SMEs internationalization success: examining ,UNSURE,UNSURE,refine_abs:insufficient,Y
1934,The Interplay of Formal Institutional and Cultural Distances and the Financial P,UNSURE,UNSURE,refine_abs:insufficient,Y
1943,Why Do Chinese Private Enterprises Seek Outward Foreign Direct Investment?,UNSURE,UNSURE,refine_abs:insufficient,Y
1947,Exploring the effects of service ecosystem on IT SMEs performance in emerging ec,UNSURE,UNSURE,refine_abs:insufficient,Y
1949,Investigating performance implications of intra-family ownership successions: Eq,UNSURE,UNSURE,refine_abs:insufficient,Y
1951,The role of political connections in rapid internationalisation: A study among C,UNSURE,UNSURE,refine_abs:insufficient,Y
1952,Innovation as a resilience strategy to economic crises for international food an,UNSURE,UNSURE,refine_abs:insufficient,Y
1955,The Mediating Effects of Entrepreneurial Orientation Between Procedural Rational,UNSURE,UNSURE,refine_abs:insufficient,Y
1958,CEO successions in times of decline and prosperity: restoring aspiration and per,UNSURE,UNSURE,refine_abs:insufficient,Y
1959,"Environmental management, environmental innovation, and productivity growth: a g",UNSURE,UNSURE,refine_abs:insufficient,Y
1961,From organizational capabilities to corporate performances: at the roots of prod,UNSURE,UNSURE,refine_abs:insufficient,Y
1963,The impact of foreign demand shocks on organisational hierarchies,UNSURE,UNSURE,refine_abs:insufficient,Y
1968,The influence of state ownership on environmental proactivity: An institutional ,UNSURE,UNSURE,refine_abs:insufficient,Y
1974,"Resource Linkages, Organizational Slack and Restructuring Behaviour Decisions",UNSURE,UNSURE,refine_abs:insufficient,Y
1977,DYNAMIC MODEL OF THE EFFICIENCY OF SMALL ENTERPRISES,UNSURE,N,refine_abs:conceptual,Y
1987,Value Chain digitalization and technological development as innovation catalysts,UNSURE,UNSURE,refine_abs:insufficient,Y
1988,Dynamic capabilities in times of economic crisis. A vision of success in interna,UNSURE,UNSURE,refine_abs:insufficient,Y
1995,Impact of manufacturing servitization on total factor productivity under global ,UNSURE,UNSURE,refine_abs:insufficient,Y
1998,Do R&D intensity and capacity utilisation matter for SMEs' innovations within th,UNSURE,UNSURE,refine_abs:insufficient,Y
2001,Financial distance and FDI flows: Evidence from OECD economies,UNSURE,UNSURE,refine_abs:insufficient,Y
2002,International dynamic marketing capabilities: developments and a research agenda,UNSURE,N,refine_abs:review_type,Y
2003,"Marketing Capabilities, Strategy, and Performance in International Small- and Me",UNSURE,N,refine_abs:qualitative,Y
2011,HGX: the anatomy of high growth exporters,UNSURE,UNSURE,refine_abs:insufficient,Y
2012,"External pressure, internal managerial interpretation and green entrepreneurial ",UNSURE,N,refine_abs:conceptual,Y
2014,Emerging Market Firms' Internationalization Pricing Strategies: The Role of Coun,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2022,The effectiveness of government incentives for outward investment: The case of C,UNSURE,UNSURE,refine_abs:insufficient,Y
2023,Do international new ventures have attraction advantages? Insights from a recrui,UNSURE,UNSURE,refine_abs:insufficient,Y
2026,Emerging market multinationals and the politics of internationalization,UNSURE,UNSURE,refine_abs:insufficient,Y
2031,Directors' exposure and social enterprise performance: does entrepreneurial mind,UNSURE,UNSURE,refine_abs:insufficient,Y
2039,International Diversification and Stock-Price Crash Risk,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2051,Dealing with adversity: innovation among small and medium-sized enterprises in d,UNSURE,UNSURE,refine_abs:insufficient,Y
2068,Rethinking board structures in the age of multinational corporations: A global i,UNSURE,UNSURE,refine_abs:insufficient,Y
2075,Determinants of SMEs' strategic entrepreneurial innovative digitalization: exami,UNSURE,UNSURE,refine_abs:insufficient,Y
2076,Analyzing factors influencing competitiveness of Indian tech start-ups: modified,UNSURE,UNSURE,refine_abs:insufficient,Y
2080,Strategic human capital analytics and new venture performance: role of dual nati,UNSURE,UNSURE,refine_abs:insufficient,Y
2083,What shapes innovative firms' performance? A multi-level analysis,UNSURE,UNSURE,refine_abs:insufficient,Y
2085,THE INFLUENCE OF EXTERNAL ECONOMIC POLICY FLUCTUATION ON ENTERPRISE PRODUCTIVITY,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2086,Sustainability orientation and post-entry performance: The role of brand and mar,UNSURE,UNSURE,refine_abs:insufficient,Y
2087,ENHANCING SME PERFORMANCE THROUGH INNOVATION: EVIDENCE FROM A TRANSITION ECONOMY,UNSURE,UNSURE,refine_abs:insufficient,Y
2094,Beyond Labels: Unveiling the Interplay Between Identity and Name Changes in Firm,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2095,When Should Sustainability Have A C-Suite Seat? An Empirical Study on the Enviro,UNSURE,UNSURE,refine_abs:insufficient,Y
2096,Founder's international market knowledge and SMEs resource orchestration ability,UNSURE,UNSURE,refine_abs:insufficient,Y
2101,Internationalisation as a boost for many firms: evidence from Germany,UNSURE,UNSURE,refine_abs:insufficient,Y
2104,Unpacking the relationship between entrepreneurial marketing activities and smal,UNSURE,UNSURE,refine_abs:insufficient,Y
2107,Does digital transformation matter for international diversification? The role o,UNSURE,UNSURE,refine_abs:insufficient,Y
2123,Investigation of Critical Success Factors for Sustainable Marketing of Malaysian,UNSURE,UNSURE,refine_abs:insufficient,Y
2131,Cluster Internationalization to Tax Havens by Multinational Enterprises: An Expl,UNSURE,UNSURE,refine_abs:insufficient,Y
2132,FDI and trade for foreign market entry: theory and evidence from Estonia,UNSURE,UNSURE,refine_abs:insufficient,Y
2139,"A configurational analysis of digital technology, environmental, and social conc",UNSURE,UNSURE,refine_abs:insufficient,Y
2151,The management accounting system design in family firms: the role of leadership ,UNSURE,UNSURE,refine_abs:insufficient,Y
2163,Understanding the link between philanthropy and performance: the role of interna,UNSURE,UNSURE,refine_abs:insufficient,Y
2164,Emerging market professional service firms' market success: does cultural intell,UNSURE,UNSURE,refine_abs:insufficient,Y
2167,Sustainable Development Goal-Related Innovations and Financial Performance: Evid,UNSURE,UNSURE,refine_abs:insufficient,Y
2174,Breaking trust? International partnership exit and learning about opportunities,UNSURE,UNSURE,refine_abs:insufficient,Y
2187,Peer Effects of Interlocking Boards on Outward Foreign Direct Investment Decisio,UNSURE,UNSURE,refine_abs:insufficient,Y
2192,Do workers or firms drive the foreign acquisition wage gap?,UNSURE,UNSURE,refine_abs:insufficient,Y
2198,Earthquakes and market capitalisation: a historical perspective using panel data,UNSURE,Y,"refine_abs:perf=1,intl=1,quant=1,firm=1",Y
2200,From internationalization to innovation in the hotel industry: the role of intel,UNSURE,UNSURE,refine_abs:insufficient,Y
2201,Gender and cultural diversity on boards: their impact on internationalisation,UNSURE,UNSURE,refine_abs:insufficient,Y
2202,Business ties and effectuation for radical innovation in small firms: the modera,UNSURE,UNSURE,refine_abs:insufficient,Y
2206,A culturally contingent view of the RBV in SMES internationalization,UNSURE,UNSURE,refine_abs:insufficient,Y
2208,Entrepreneurial mindset and family firm performance: the contingent role of firm,UNSURE,UNSURE,refine_abs:insufficient,Y
2216,Entrepreneurial Orientation in the Age of Artificial Intelligence: A Study of SM,UNSURE,UNSURE,refine_abs:insufficient,Y
2229,Cross-listing and foreign direct investment: an institutional arbitrage perspect,UNSURE,UNSURE,refine_abs:insufficient,Y
2230,Managerial psychological gender and its impact on selected corporate behaviours,UNSURE,UNSURE,refine_abs:insufficient,Y
2240,Knowledge spillovers and public investment in innovation: empirical evidence fro,UNSURE,UNSURE,refine_abs:insufficient,Y
2242,Choice versus necessity: understanding service diversification and firm performa,UNSURE,UNSURE,refine_abs:insufficient,Y
2244,Innovating for Sustained Growth: The Impact of R&D and Intangible Assets on the ,UNSURE,UNSURE,refine_abs:insufficient,Y
2250,Artificial intelligence technology and firms' OFDI: Evidence from China,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2262,Classifying Thai agro-food SMEs by internationalisation potential: a Self-Organi,UNSURE,UNSURE,refine_abs:insufficient,Y
2265,"Overseas Business and Ethnic Ties, Slack Resources, and Exploitative and Explora",UNSURE,UNSURE,refine_abs:insufficient,Y
2269,CEOs' international experience: Welcome or unsolicited?,UNSURE,UNSURE,refine_abs:insufficient,Y
2273,Examining Firm Characteristics and Resilience Under Regional Trade Agreements: E,UNSURE,UNSURE,refine_abs:insufficient,Y
2279,Export Promotion With Matchmaking and Grants: Evidence From Portuguese Firms,UNSURE,UNSURE,refine_abs:insufficient,Y
2294,The relationship between internationalisation strategies and human capital in Br,UNSURE,UNSURE,refine_abs:insufficient,Y
2299,"Digital and International Growth Hacking Business Models: Born Globals, Born Dig",UNSURE,UNSURE,refine_abs:insufficient,Y
2301,Entrepreneurial Teams’ Firms’ Performance: The Contingent Role of EconomicFreedo,UNSURE,UNSURE,refine_abs:insufficient,Y
2309,The performance of Italian and French listed companies during the financial cris,UNSURE,UNSURE,refine_abs:insufficient,Y
2319,Determinants of sustainable financial and innovation performance: a panel data a,UNSURE,UNSURE,refine_abs:insufficient,Y
2320,Digitalisation and firm performance: evidence from Tunisian SMEs,UNSURE,UNSURE,refine_abs:insufficient,Y
2323,Financial sustainability of oil and gas companies—basis for building resilience ,UNSURE,UNSURE,refine_abs:insufficient,Y
2331,Effects of Diversification on Profitability and Operating Risk for Brazilian Pub,UNSURE,UNSURE,refine_abs:insufficient,Y
2334,On the spillover effect of China's outward FDI in Germany,UNSURE,UNSURE,refine_abs:insufficient,Y
2341,ICT and the Trading Negotiation for International Sale Contracts in the Pacific ,UNSURE,UNSURE,refine_abs:insufficient,Y
2345,Does GRI Sustainability Reporting Pay Off? An Empirical Investigation of Publicl,UNSURE,UNSURE,refine_abs:insufficient,Y
2367,Effects of strategic orientations on early internationalising SMEs from an emerg,UNSURE,UNSURE,refine_abs:insufficient,Y
2381,Internationalisation and innovation on balanced scorecard (BSC) among Malaysian ,UNSURE,N,refine_abs:antecedent,Y
2383,The influence of relational capital and networking on the internationalization o,UNSURE,N,refine_abs:education_field,Y
2392,Internationalization and innovation in emerging markets,UNSURE,UNSURE,refine_abs:insufficient,Y
2398,“Monica and Friends”: the challenge to internationalize,UNSURE,UNSURE,refine_abs:insufficient,Y
2417,Italian FDI and exports at sectoral level: Substitutes or complements?,UNSURE,UNSURE,refine_abs:insufficient,Y
2425,From global aspirations to regional dominance: The case of Deutsche telekom,UNSURE,UNSURE,refine_abs:insufficient,Y
2426,Expatriate failure in the indian information technology industry,UNSURE,UNSURE,refine_abs:insufficient,Y
2431,Clusters and outsourcing innovation activity,UNSURE,UNSURE,refine_abs:insufficient,Y
2447,The impact of foreign R&D activities on the Mnc'S performance at home: Evidence ,UNSURE,UNSURE,refine_abs:insufficient,Y
2468,"Political capabilities, policy risk, and international investment strategy: Evid",UNSURE,UNSURE,refine_abs:insufficient,Y
2478,Who cares about corporate taxation? Asymmetric tax effects on outbound FDI,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2486,Internalisation and firm performance: Evidence from estimates of efficiency in b,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
2489,Demographic changes in IS research productivity and impact,UNSURE,UNSURE,refine_abs:insufficient,Y
2492,Transnational state entrepreneurship? Assessing Singapore's Suzhou industrial pa,UNSURE,UNSURE,refine_abs:insufficient,Y
2497,Routes towards supplier and production network internationalisation,UNSURE,N,refine_abs:qualitative,Y
2504,Innovation in the food sector: Regional networks and internationalisation,UNSURE,UNSURE,refine_abs:insufficient,Y
2507,The application of business process reengineering in the UK,UNSURE,UNSURE,refine_abs:insufficient,Y
2520,Determinants of internet financial reporting by New Zealand Companies,UNSURE,UNSURE,refine_abs:insufficient,Y
2521,Internationalisation process of Spanish banks: Strategic orientation after the m,UNSURE,UNSURE,refine_abs:insufficient,Y
2556,"Transnational Corporations, Competition and Monopoly",UNSURE,UNSURE,refine_abs:insufficient,Y
2566,The Steel Industry,UNSURE,UNSURE,refine_abs:insufficient,Y
