seq,title,year,journal,doi,extraction_priority,decision,reason,abstract,abstract_source
579,Internationalization of private firms: environmental turbulence and organizational strategies and resources,2004,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,10.1080/0898562042000231929,1_DOI_FIRST,UNSURE,title_insufficient,"Profiles of exporting and superior-performing private small and medium-sized enterprises (SMEs) are presented. Multivariate regression evidence suggests that SMEs focusing upon an offensive and market differentiation strategy of product/service protection is associated with the propensity and the intensity of exporting. Exporting SMEs are also associated with younger and manufacturing firms as well as firms with product or service quality and/or technology resources. The perceptions by SMEs of external environmental turbulence were not significantly associated with the exporting-dependent variables. Most notably, variables associated with exporting SMEs are not the same as those associated with superior firm performance. Moreover, exporting firms did not report superior levels of performance. Implications for policy-makers, practitioners and researchers are discussed.",openalex
580,Firm-Specific Determinants of Corporate Lobbying Participation and Intensity,2005,INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,10.1081/pad-200044552,1_DOI_FIRST,UNSURE,title_insufficient,"Abstract Lobbying constitutes a major element in the political strategy of firms seeking favorable regulatory outcomes and is perceived as a source of a firm’s competitive advantage. Recognizing firms’ ability to influence their external environments through reactive and proactive political behavior, this paper analyzes the firm-specific determinants of corporate political activity and intensity. Results from US and Japanese firms indicate that firm size, diversification, and internationalization positively influence the likelihood of a firm being an active lobbyist. While firm profitability influences the ""intensity"" of lobbying activity, foreign nationality has a negative impact.",openalex
581,Factors associated with the performance of UK SMEs: are they country specific?,2005,ENTREPRENEURSHIP RESEARCH IN EUROPE: OUTCOME AND PERSPECTIVES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Many studies have investigated the factors thatinfluence small- to medium-sized enterprise (SME) performance; however, fewstudies have considered the impact of nation specific cultural factors. TheSTRATOS project, which was conducted in Euorope, indicated thatcountry-specific factors influenced firm performance, but no causal orcontributing factors were explored by the researchers. This study focuses onthe performance of both start-up and established SMEs in the United Kingdom andon the impact of national culture upon SME performance.The study'sparticipants consisted of both English and Scottish SMEs in the industries ofmanufacturing, distribution/services, and retailing. Several factors are correlated with growth among start-ups, including focus,product differentiation, profitability, export orientation, human capital, andinvestment purpose. Those factors associated with profitability amongestablished firms include product differentiation, number of employees, age,and human capital. The survival of start-up firms is related to bothcommitment and export orientation; however, the survival of established firmsis correlated with creditor days, product differentiation, industrialproduction, overdraft facilities, and investment purpose. (AKP)",openalex
583,ASPEM as the New Topographic Analysis Tool for Small and Medium-Sized Enterprises (SMEs) Performance Models Utilization,2005,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-005-0305-4,1_DOI_FIRST,UNSURE,title_insufficient,,
584,Eastern Germany in the process of catching up - The role of foreign and West German investors in technological renewal,2005,EASTERN EUROPEAN ECONOMICS,10.1080/00128775.2005.11041104,1_DOI_FIRST,UNSURE,title_insufficient,"Foreign direct investment (FDI) as a means to support economic transformation and the ongoing process of catch-up development caught researchers' attention for a number of Central and East European countries. Little research, however, has been carried out for eastern Germany in this respect, although FDI plays an important role there too. Descriptive analysis via the use of unique survey data shows that foreign and west German affiliates perform much better with respect to technological capability and labor productivity than do east German firms. The results of the regression analysis, however, show that it is not the status of ownership as such that forms a significant determinant of innovativeness in eastern Germany but, rather, firm characteristics, such as firm size, export intensity, technical state of the equipment, and research and development (R&D) activities. Given that foreign and west German affiliates perform better with respect to all of these characteristics, they can be considered as a means to support the process of technological renewal and economic development.",openalex
585,Determinants of efficiency in least developed countries: Further evidence from Nepalese manufacturing firms,2005,JOURNAL OF DEVELOPMENT STUDIES,10.1080/00220380500092721,1_DOI_FIRST,UNSURE,title_insufficient,"Using a translog stochastic production frontier and maximum likelihood econometric methods, we estimate and model the determinants of firm level efficiency in the Nepalese context. Our results are broadly in line with theoretical expectations. We find that large firms are more efficient and that a higher capital intensity leads to inefficiency. There is no statistical evidence to suggest that foreign participation leads to efficiency improvements. Also, we do not observe any link between export intensity and efficiency improvement. We find that higher protection leads to inefficiency. Overall, our results suggest that an outward looking industrial strategy, which relies on less intervention and permits the development of large-scale industries, is conducive to efficiency improvement in least developed countries (LDCs) like Nepal.",openalex
586,What matters about internationalization: a market-based assessment,2005,JOURNAL OF BUSINESS RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
588,"Convergence in the UK service sector: Firm level evidence, 1988-1998",2005,SCOTTISH JOURNAL OF POLITICAL ECONOMY,10.1111/j.1467-9485.2005.00364.x,1_DOI_FIRST,UNSURE,title_insufficient,"Abstract Bernard and Jones (1996) have previously argued that similarity in the technologies used by firms in the service sector helps to explain evidence of absolute convergence at the cross‐country level. This paper searches for convergence at the firm level using data for the UK service sector over the period 1988–1998. Initial mixed support for this view is partly explained by strong business cycle effects in the data. Upon closer examination we find evidence that convergence was more likely in industries that had high levels of technology investment, greater exposure to new technologies and high levels of absorptive capacity.",crossref
589,"Ownership, technological intensities, and economic performance in South Africa",2006,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/ijtm.2006.009967,1_DOI_FIRST,UNSURE,title_insufficient,,
590,Can high performance work systems really lead to better performance?,2006,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/01437720610713530,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose This study presents a conceptual scheme concerning the core constituents of high‐performance work system (HPWS) and examines their effects on firm performance. Design/methodology/approach This study proposes a conceptual scheme incorporating the universalistic and the configurational perspectives of strategic human resource management. The effect of HPWS on firm performance is empirically tested using data collected from publicly listed companies in Taiwan, as well as multinational companies' branch offices in Taiwan. Findings Initial factor analysis on HPWS practices supports this conceptual scheme. Using the structural equation modeling technique (AMOS 4.0) better‐performing firms were found to invest in more sophisticated HRM practices, which further enhanced organizational performance. Research limitations/implications Surveys conducted in other countries can expand the external validity of this study's findings. Originality/value While most previous research on HPWS involves regression‐like analyses, this study tries a different approach, with the structural modeling technique, to verify HPWS' relationship with firm performance.",crossref
593,Export intensity and plant characteristics: What can we learn from quantile regression?,2006,REVIEW OF WORLD ECONOMICS,10.1142/9781786349699_0008,1_DOI_FIRST,UNSURE,title_insufficient,,
594,Small-firm performance: Modeling the role of product and process improvements,2006,JOURNAL OF SMALL BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Entrepreneurial and small and medium-sized enterprises (SMEs) firm performance is a complex, multifaceted construct that should be examined with an eye toward its complexity. Our research study seeks to accomplish this examination by proposing a conceptual model of SME performance with two distinct but related outcome dimensions—growth as one dimension and profitability as another. We propose hypotheses for relationships between four antecedent factor conditions— environmental hostility, firm size, innovation capability, and internationalization—and an SME's likelihood to pursue either product improvement or process improvement as their primary strategic orientation. Furthermore, we propose that an SME product improvement orientation likely has greater influence on growth and profit performance than will a process improvement orientation. The findings of the study suggest that internationalization and innovator position have a positive impact on new product and process improvements, while environmental hostility, internationalization, and product improvement have positive influences on growth as a performance dimension. In addition and as hypothesized, the product improvement orientation is positively associated with growth and in turn profitability, whereas the process improvement orientation showed no statistical relationship to growth and ultimately profitability.",openalex
596,Partnering strategies and performance of SMEs' international joint ventures,2006,JOURNAL OF BUSINESS VENTURING,10.1016/j.jbusvent.2005.02.002,1_DOI_FIRST,UNSURE,title_insufficient,,
597,"Top team diversity, internationalization and the mediating effect of international alliances",2006,BRITISH JOURNAL OF MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
598,"Foreign ownership and productivity in Polish industry - The case of Polish manufacturing, 1993-2002",2006,EASTERN EUROPEAN ECONOMICS,10.2753/eee0012-8775440502,1_DOI_FIRST,UNSURE,title_insufficient,,
599,Economic liberalization and the antecedents of top management teams:: Evidence from Turkish 'big' business,2006,BRITISH JOURNAL OF MANAGEMENT,10.1111/j.1467-8551.2006.00491.x,1_DOI_FIRST,UNSURE,title_insufficient,"There has been an increased interest in the last two decades in top management teams (TMTs) of business firms. Much of the research, however, has been US‐based and concerned primarily with TMT effects on organizational outcomes. The present study aims to expand this literature by examining the antecedents of top team composition in the context of macro‐level economic change in a late‐industrializing country. The post‐1980 trade and market reforms in Turkey provided the empirical setting. Drawing upon the literatures on TMT and chief executive characteristics together with punctuated equilibrium models of change and institutional theory, the article develops the argument that which firm‐level factors affect which attributes of TMT formations varies across the early and late stages of economic liberalization. Results of the empirical investigation of 71 of the largest industrial firms in Turkey broadly supported the hypotheses derived from this premise. In the early stages of economic liberalization the average age and average organizational tenure of TMTs were related to the export orientation of firms, whereas in later stages, firm performance became a major predictor of these team attributes. Educational background characteristics of teams appeared to be under stronger institutional pressures, altering in different ways in the face of macro‐level change.",crossref
600,Innovation in China's furniture industry,2006,FOREST PRODUCTS JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Innovation is considered the ultimate drive for business success. In the face of a fast-growing Chinese furniture industry, low-cost advantages have been widely acknowledged by industry observers as the main advantage for Chinese manufacturers in global competition. The industry's innovation capabilities are, however, less studied. This study explores the industry's recent development and measures its innovativeness via a combination of qualitative and quantitative approaches. Management-level interviews were conducted with 18 Chinese companies known as innovation leaders. Based on this first, qualitative stage of the study, a quantitative, second stage gathered data from 120 respondents at a large, China-based trade show. Correlations among four key variables of interest - innovation, competitiveness, company size, and export intensity - are assessed. Results suggest that Chinese furniture firms are pursuing innovation with three equal focuses on product, process, and business systems. Incremental innovation is more pursued by the Chinese firms than radical innovation. Judging from innovation sources, a responsive-type market orientation has been adopted by the industry. Innovation is significantly correlated with competitiveness and company size, suggesting that large firms are likely to become innovation leaders which may, in turn, improve the overall competitiveness of the industry. The industry is known for its high export intensity; however, export intensity is only found to be correlated with process innovation, suggesting that gaps between the domestic and overseas markets are narrowing in terms of product and business strategies. An innovation-profitability relationship, which has been widely acknowledged in the literature, was not found in this study. Implications are discussed.",openalex
601,"The importance of resources in the internationalization of professional service firms: The good, the bad, and the ugly",2006,ACADEMY OF MANAGEMENT JOURNAL,10.5465/amj.2006.23478217,1_DOI_FIRST,UNSURE,title_insufficient,,
602,The long-run performance of UK IPOs: can it be predicted?,2007,MANAGERIAL FINANCE,10.1108/03074350710748759,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose The aim of the paper is to study the long‐run under‐performance of UK initial public offerings (IPOs) by relating it to the pre‐IPO financial performance of the firm as well as the managerial decisions taken before the IPO. Design/methodology/approach The three‐year share returns of UK IPOs is studied using various methodologies such as buy and hold returns, cumulative abnormal returns and Fama and French three‐factor returns. Findings It was found that the percentage of equity issued and the degree of multinationality of a firm are the key predictors of its performance after the IPO. It is also found that small firms behave differently from large firms and suffer from worse long‐run performance than large firms. Research limitations/implications There is a great need for future research to focus on ownership structure and long‐run returns. Further, a focus on the level of debt and venture capital financing in the pre‐IPO period may also uncover important relationships with the long‐run performance of a firm. Practical implications The results obtained from this study provide important information for the prospective long term investors in new issues. While pre‐IPO performance of a firm cannot predict the post‐IPO performance with certainty, nevertheless the results of this study suggest that long‐term investors should show caution while deciding on long term investment in IPO firms. Originality/value The paper explains the post‐IPO underperformance of firms by relating it to the pre‐IPO managerial decisions made in the firm. It also documents the role of multinationality in explaining long run underperformance.",crossref
604,Human capital and organizational performance: a study of Egyptian software companies,2007,MANAGEMENT DECISION,10.1108/00251740710746033,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose The paper seeks to test empirically a variety of hypotheses related to human capital and organizational performance within software companies in Egypt. Design/methodology/approach A valid research instrument was utilized to conduct a survey of 38 software companies who are representative of the 107 members of the Software Industry Chamber of Egypt. A correlation analysis and stepwise regression were conducted to ascertain the validity of the hypotheses. Findings Statistical support was found for six of the nine hypotheses tested. Research limitations/implications One of the limitations of this study is that human capital metrics were based on CEO self‐reported scores. Thus, the ability to generalize is limited to this context. Practical implications Of all the human capital metrics collected, the number of superstar developers seems to be the most critical variable in predicting export intensity. Superstar developers are those individuals whose productivity equals four times that of the other developers and twice that of the star developers. Originality/value This paper tests empirically the relationship between human capital and organization performance in the Egyptian software industry context and provides support for the recruitment and development of superstar developers.",crossref
607,Benchmarking the Slovenian competitiveness by system of indicators,2007,BENCHMARKING-AN INTERNATIONAL JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Purpose – This paper aims to evaluate Slovenian competitiveness by quantitative and by qualitative methods, and tries to explain why some countries develop faster than others.",openalex
608,"Gazelle in elephant's clothing, an integrated model of outsourcing",2007,INTERNATIONAL JOURNAL OF INDIAN CULTURE AND BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
611,Real options in multinational corporations: organizational challenges and risk implications,2007,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8400260,1_DOI_FIRST,UNSURE,title_insufficient,,
613,Performance impact of business group affiliation: An analysis of the diversification-performance link in a developing ec,2007,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2006.10.024,1_DOI_FIRST,UNSURE,title_insufficient,,
620,A MULTIVARIATE FRAMEWORK TO EXPLORE FIRMS' INTERNATIONALIZATION PATTERNS: THE ROLE OF INDIVIDUAL HETEROGENEITY,2008,STATISTICA,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
621,Does training facilitate SME's performance?,2008,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"This study explores relationships between small- and medium-sized enterprises (SMEs) foreign direct investment (FDI), FDI-related training programs and organizational performance. To determine if the implementation of training programs mediate the relationship between FDI and SME performance, and if the alignment between training needs and training implementation leads to higher SME performance, we collected large-scale company-level data (N = 816) from within Taiwan. Research results suggest that FDI leads to higher SME performance. This relationship was partially mediated by the implementation of FDI-related training programs. Unexpectedly, the results also suggest that higher levels of training need attenuate the positive relationship between FDI-related training implementations and SME performance. This implies that the alignment between SME training needs and training implementation may be of a more complicated nature than was previously thought. Practical implications and suggestions for future research are also identified.",openalex
622,Resource accumulation and overseas expansion by Japanese multinationals,2008,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,10.1016/j.jebo.2005.07.007,1_DOI_FIRST,UNSURE,title_insufficient,,
623,"Corporate diversification: The impact of foreign competition, industry globalization, and product diversification",2008,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.653,1_DOI_FIRST,UNSURE,title_insufficient,"Abstract The globalization of markets and industries has fundamentally changed the competitive conditions facing firms. Yet, how globalization has influenced the international diversification strategies of firms is an issue largely overlooked in both the strategic management and international business literatures. This paper develops a theoretical framework to understand how industry globalization, foreign competition, and firm product diversification may influence a firm's choice of its degree and scope of international diversification. Utilizing a panel dataset of U.S. manufacturing firms for the period 1987–99, we provide the first empirical evidence that industry globalization and foreign‐based competition are statistically significant factors explaining the degree and scope of international diversification by U.S. firms. Copyright © 2007 John Wiley &amp; Sons, Ltd.",crossref
625,Strategic orientations of born globals - Do they really matter?,2008,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2007.11.015,1_DOI_FIRST,UNSURE,title_insufficient,,
626,Regional diversification and firm performance,2008,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
627,The preparedness of companies to adopt International Financial Reporting Standards: Portuguese evidence,2008,ACCOUNTING FORUM,10.1016/j.accfor.2007.11.001,1_DOI_FIRST,UNSURE,title_insufficient,,
628,Analysis of productivity differences among foreign and domestic firms:: Evidence from Germany,2008,REVIEW OF WORLD ECONOMICS,10.1007/s10290-008-0136-1,1_DOI_FIRST,UNSURE,title_insufficient,,
630,The export intensity of venture capital backed companies,2008,SMALL BUSINESS ECONOMICS,10.1007/s11187-008-9109-y,1_DOI_FIRST,UNSURE,title_insufficient,,
631,Managerial empire building and firm disclosure,2008,JOURNAL OF ACCOUNTING RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"ABSTRACT This study tests the agency cost hypothesis in the context of geographic earnings disclosures. The agency cost hypothesis predicts that managers, when not monitored by shareholders, make self‐maximizing decisions that may not necessarily be in the best interest of shareholders. These decisions include aggressively growing the firm, which reduces profitability and destroys firm value. Geographic earnings disclosures provide an interesting context to examine this issue. Beginning with Statement of Financial Accounting Standards No. 131 (SFAS 131), most U.S. multinational firms are no longer required to disclose earnings by geographic area (e.g., net income in Mexico or net income in East Asia). Such nondisclosure potentially reduces the ability of shareholders to monitor managers' decisions related to foreign operations. Using a sample of U.S. multinationals with substantial foreign operations, we find that nondisclosing firms, relative to firms that continue to disclose geographic earnings, experience greater expansion of foreign sales, produce lower foreign profit margins, and have lower firm value in the post–SFAS 131 period. Our conclusions are strengthened by the fact that these differences do not exist in the pre–SFAS 131 period and do not relate to domestic operations. We find differences in the predicted direction only for foreign operations and only after adoption of SFAS 131. Our results are robust to the inclusion of an extensive set of control variables related to alternative corporate governance mechanisms, operating performance, and the firm's information environment. Overall, the results are consistent with the agency cost hypothesis and the important role of financial disclosures in monitoring managers.",openalex
632,Human capital and wages in exporting firms,2008,JOURNAL OF INTERNATIONAL ECONOMICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
633,The innovative performance of foreign-owned enterprises in small open economies,2008,JOURNAL OF TECHNOLOGY TRANSFER,10.1007/s10961-007-9058-7,1_DOI_FIRST,UNSURE,title_insufficient,,
634,The impact of R&D on value added for domestic and foreign firms in a newly industrialized economy,2008,INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
639,Optimal geographic diversification and firm performance: evidence from the UK,2008,JOURNAL OF PRODUCTIVITY ANALYSIS,10.1007/s11123-008-0102-x,1_DOI_FIRST,UNSURE,title_insufficient,,
641,EXPORT BEHAVIOUR IN THE CHILEAN AGRIBUSINESS AND FOOD PROCESSING INDUSTRY,2008,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"This paper analyzes the export-behavior of Chilean agribusiness and food processing firms and the relative importance of firm-specific and geographic characteristics in this behavior. Using firm level data and regional geographic indicators, a dynamic model was used to study the export decisions and the export intensity of three industries: processing fish, processing fruits and vegetables, and wine production. Results showed that determinants of exporting behavior vary among the three industries, except the effect of sunk costs, which strongly impacts the export decisions of all analyzed industries. This implies that firms with prior export experience will have higher probability of exporting in the future. Foreign ownership positively impacts the export decision of the two processing industries. Thus, firms belonging to these industries that wish to increase the probability of being an exporter should be encouraged to have a partnership with a foreign company or investor. The export intensity is positively influenced by foreign ownership in the fruit and vegetables processing and wine industries. As in the case of the export decision of firms, foreign participation helps increase the scale of exports. In general, firm-specific characteristics significantly impact the export behavior in Chilean agribusiness and processed food industries, while the contribution of geography attributes appears mixed.",openalex
643,Internationalization of US multinational hotel companies: Expansion to Asia versus Europe,2008,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2007.09.002,1_DOI_FIRST,UNSURE,title_insufficient,,
644,Partnership or self-reliance entry modes: Large and small technology-based enterprises' strategies in overseas markets,2008,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-008-0029-3,1_DOI_FIRST,UNSURE,title_insufficient,,
645,The agricultural machinery industry in Argentina: from restructuring to internationalization?,2008,CEPAL REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"This paper sets out to show that, having undergone restructuring at a microeconomic and sectoral level, the agricultural machinery industry in Argentina depends for growth on higher exports and further progress towards internationalization, which are strategic goals for the largest firms. Given the dynamism of global demand for this type of machinery, the conclusion is that the sector can increase its sales in export markets, where some of its products are competing well. The behaviour of domestic demand will be critical, and this largely depends on the profitability of Argentine agriculture. To internationalize further, the sector will have to overcome certain limitations, largely technological in nature, while receiving support from government programmes and assistance from employers’ associations and science and technology institutions.",openalex
646,OVERSEAS R&D ACTIVITIES AND HOME PRODUCTIVITY GROWTH: EVIDENCE FROM JAPANESE FIRM-LEVEL DATA,2008,JOURNAL OF INDUSTRIAL ECONOMICS,10.1111/j.1467-6451.2008.00363.x,1_DOI_FIRST,UNSURE,title_insufficient,"This paper investigates the impact of overseas subsidiaries' R&amp;D activities on the productivity growth of parent firms using firm‐level data for Japanese multinational enterprises. Based on survey responses, we classify each overseas subsidiary's R&amp;D as either ‘innovative R&amp;D,’ which we hypothesize is likely to lead to the acquisition of foreign knowledge, or ‘adaptive R&amp;D,’ which is more likely to lead to adaptation to local conditions. We find that overseas innovative R&amp;D raises the parent firm's productivity growth, while adaptive R&amp;D has no such effect. In addition, overseas innovative R&amp;D does not improve the rate of return on home R&amp;D.",crossref
647,Positive management of marketing-operations relationships: the case of an internet retail SME,2009,JOURNAL OF MARKETING MANAGEMENT,10.1362/026725709x461858,1_DOI_FIRST,UNSURE,title_insufficient,"The Internet has become one of the most competitive retail marketplaces. Companies operating in this area face demanding customers intolerant of any service failure and a large number of competitors. A key issue in how companies can serve this market is the way in which they internally manage the relationship between the marketing and operations departments of the business. These two areas represent the ""value adding"" core of all organisations. Co-operation and collaboration between these functions is vital for success in a highly competitive marketplace such as internet retail. However, the reality for many organisations is a legacy of functional division, hostility and even hatred. This paper presents case evidence from an internet retailer that has achieved positive working relationships between marketing and operations functions, leveraging this to deliver award winning customer service, growing the business and maintaining profitability.",openalex
648,Location in Internationalization Strategy: Determinants and Consequences,2009,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"In this study, we examine the location strategies (e.g., developing versus developed countries) of Chinese multinational firms (Pantzalis 2001). We argue that domestic firm‐specific ownership advantages of a firm, in the form of larger size and higher degree of diversification, will induce internationalization into developed countries rather than into developing countries. We also predict that internationalization into developed countries will help performance, but internationalization into developing countries will hurt performance. Based on an analysis of data on 154 Chinese‐listed MNCs from 1992 to 2002, we find support for our predictions.",openalex
649,GEOGRAPHIC MARKET DIVERSIFICATION: A PREMIUM OR DISCOUNT IN FIRM'S VALUE,2009,NEW CHALLENGES TO INTERNATIONAL MARKETING,10.1108/s1474-7979(2009)0000020013,1_DOI_FIRST,UNSURE,title_insufficient,"To explain why international market diversification is a viable strategy, a substantial portion of the past literature hinges its conclusions on mainstay perspectives. Some authors utilize internalization theory and transaction cost analysis (e.g., Teece). Others draw from the resource-based explanation of the firm (e.g., Chang, 1995), institutional theory (e.g., Davis, Desai, &amp; Francis, 2000), organizational learning (Ruigrok &amp; Wagner, 2003); a combination approach (e.g., Madhok, 1997) or eclectic paradigm (Dunning, 1988). These perspectives are widely discussed in the literature. For that reason we present the earlier work only in a brief summary.",openalex
650,Technological intensities and economic performance: a study of foreign and local electronics firms in Malaysia,2009,ASIA PACIFIC BUSINESS REVIEW,10.1080/13602380701668700,1_DOI_FIRST,UNSURE,title_insufficient,"This article compares technological intensities (TI) and economic performance of foreign and local electronics firms in Malaysia. The results show that foreign firms enjoyed higher labour productivity, wages and export intensity than local firms, though technological intensities between both sets of firms were similar. The econometric results show a strong and positive relationship between labour productivity and technological intensity in all the samples. The higher coefficient of TI in the local sample compared to the foreign sample shows that productivity in local firms is driven much more from in-house technological effort at host-sites than in foreign firms who can access technology from their parent plants. However, the relationship between TI (contributed by differences in R&D intensity) and export-intensity in the local sample is negative demonstrating that much of such effort is devoted to inward-oriented production. Reversing the relationship also produced the same negative relationship in the local sample. Skills intensity enjoyed a positive relationship with TI with similar coefficients. The positive and significant relationship between wages, and R&D and TI shows that the more technology-intensive local firms pay higher wages to attract human capital.",openalex
651,''Rushing in where angels fear to tread''? The early internationalization of indigenous Chinese firms,2009,JOURNAL OF CHINESE ECONOMIC AND FOREIGN TRADE STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"In this paper I empirically investigate the early international entrepreneurship of indigenous Chinese firms using data on 3,948 firms surveyed by the World Bank in 2002-03. I find important differences in the extent and motivation of early internationalization between indigenous and foreign-invested Chinese firms. Despite having started with internationalization relatively more recently than most foreigninvested firms, and despite having much less least foreign experience (only 1.3 years, on average, versus nine years) than foreign-invested firms, indigenous firms who internationalize early were found to perform better than foreign-invested firms. They may be rushing in to international markets, but so far this seems to be paying off quite well.",openalex
652,Export-oriented small and medium industry clusters in Indonesia,2009,JOURNAL OF ENTERPRISING COMMUNITIES-PEOPLE AND PLACES IN THE GLOBAL ECONOMY,10.1108/17506200910943661,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose The Indonesian government has been trying to support the development of small and medium enterprises (SMEs) in the country, as these enterprises are expected to play a crucial role not only for employment creation but also for GDP formation and export development. The paper aims to address the following three questions. First, are networks important for the development of SME clusters, especially for those involved in export activities? Second, in what type of clusters are networks well developed? Third, what is the role of government; does it also play as an important network for SME cluster development? Design/methodology/approach This paper is based on an ongoing research on the importance of networks in the development of export‐oriented SME clusters in Indonesia. Although the paper also discusses other important issues related to the development of SMEs in the country, i.e. constraints facing the enterprises and women entrepreneurs, the paper focuses on the importance of networks. Findings First, SMEs are of overwhelming importance to Indonesia because they account for more than 90 percent of all firms outside of the agricultural sector. Second, the main constraints faced by small entrepreneurs are, lack of finance and difficulties in marketing. Third, the representation of women entrepreneurs in Indonesia is still relatively low which can be attributed to various factors, e.g. low level of education and lack of training opportunities that make Indonesian women severely disadvantaged in both the economy and society. Finally, although in general Indonesia is not well represented with small and medium industrial clusters that feed into global commodity chains, some clusters have gradually become export‐oriented. Among many factors, well developed networks especially with traders, trading houses, and foreign tourists are indeed an important factor for their increasingly export activities. Even these agents have played more important role than supports from",crossref
653,SME opportunity for growth or profit: what is the role of product and process improvement?,2009,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,10.1504/ijev.2009.023817,1_DOI_FIRST,UNSURE,title_insufficient,"The process by which small firms avail themselves of the opportunity for growth or profitability is an important issue for firm managers and researchers alike. This study develops a conceptual research model that examines SME opportunities for growth or profitability – two dimensions of performance – derive from innovation that is product improvement oriented or process improvement oriented. The innovation/performance relationship is examined within the context of environmental uncertainty and SME internationalisation actions. The findings of the study suggest that internationalisation and innovation have a positive relationship to product improvements and process improvements, while environmental uncertainty, internationalisation and product improvement have positive relationships with growth as a performance dimension. Indeed opportunity for growth seems to be a more important dimension for SMEs in the sample.",openalex
656,NARRATIVES AND THE FINANCIALISED FIRM,2009,KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"This article explores the significance of narratives about large corporations in financialised capitalism, focusing on how firms have recognised the importance of narrative in their relations with providers of capital and financial intermediaries. The article develops the analysis of Financialization and Strategy: Narrative and Numbers (Froud et al. 2006) in several ways. First, we aim to reinforce and develop the original argument that narrative is non-mechanical: the deployment of narrative does not mean that it will have particular results, because outcomes are dependent upon reception. Narratives are not performative in any straightforward sense, though successful narratives require performance. Second, we emphasise that narratives should not be seen as something that is exclusively part of Anglo-American capitalism. The internationalisation of share registers, as well as of debt markets, means that large, publicly-held firms in many countries have explained their financial performance using narrative. Third, we aim to add a new emphasis on conjuncture as the context that shapes not only the narratives themselves but also their reception and durability. These ideas are explored by means of a cultural-political approach that attempts to understand narrative and its limits in different locations, levels or contexts (firms, industries or activities).",openalex
