seq,priority,doi_available,source,year,authors,title,journal,doi,access_link,icrv,cdai,dpl,doi_type,fp_type,country,n,r,coding_warning,notes,extracted
875,High,Y,original,2016,"Acar, F. Pinar",The effects of top management team composition on SME export performance: an upper echelons perspective,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,10.1007/s10100-015-0408-5,https://doi.org/10.1007/s10100-015-0408-5,1,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,
876,High,Y,original,2016,"Nas, Tulay Ilhan; Kalaycioglu, Ozan","The effects of the board composition, board size and CEO duality on export performance Evidence from Turkey",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-01-2015-0014,https://doi.org/10.1108/mrr-01-2015-0014,2,M,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Turkey; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,
877,High,Y,original,2015,"Fuchs, Manfred; Koestner, Mariella",Standardisation and adaptation of firms' export marketing strategies in familiar European and non-familiar non-European markets,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.069163,https://doi.org/10.1504/ejim.2015.069163,1,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe,
878,High,Y,original,2015,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,10.1142/s1363919615500309,https://doi.org/10.1142/s1363919615500309,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
879,High,Y,original,2015,"Kim, Young Gui; Suh, Jeongmeen",What Determines Small Champions' Export Performance? Evidence from Korea Firm-Level Data,ASIAN ECONOMIC PAPERS,10.1162/asep_a_00356,https://doi.org/10.1162/asep_a_00356,1,H,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Korea; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:H,
882,High,Y,original,2015,"Marques, Helena",DOES THE GENDER OF TOP MANAGERS AND OWNERS MATTER FOR FIRM EXPORTS?,FEMINIST ECONOMICS,10.1080/13545701.2015.1029958,https://doi.org/10.1080/13545701.2015.1029958,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
883,High,Y,original,2015,"Masso, Jaan; Roigas, Kaert; Vahter, Priit","Foreign market experience, learning by hiring and firm export performance",REVIEW OF WORLD ECONOMICS,10.1007/s10290-015-0224-y,https://doi.org/10.1007/s10290-015-0224-y,,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
884,High,Y,original,2015,"Gkypali, Areti; Rafailidis, Apostolos; Tsekouras, Kostas",Innovation and export performance: do young and mature innovative firms differ?,EURASIAN BUSINESS REVIEW,10.1007/s40821-015-0030-4,https://doi.org/10.1007/s40821-015-0030-4,,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
609,High,Y,original,2014,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,10.1016/j.dss.2013.11.001,https://doi.org/10.1016/j.dss.2013.11.001,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
888,High,Y,original,2014,"Kahiya, Eldrede Tinashe; Dean, David L.",Export performance: multiple predictors and multiple measures approach,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-11-2012-0119,https://doi.org/10.1108/apjml-11-2012-0119,2,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:journal:AsiaPacific; doi_type_auto:EXP; fp_type_auto:EXP,
890,High,Y,original,2014,"Diez-Vial, Isabel; Fernandez-Olmos, Marta",How Do Local Knowledge Spillovers and Experience Affect Export Performance?,EUROPEAN PLANNING STUDIES,10.1080/09654313.2012.741570,https://doi.org/10.1080/09654313.2012.741570,1,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,
891,High,Y,original,2014,"Lodefalk, Magnus",The role of services for manufacturing firm exports,REVIEW OF WORLD ECONOMICS,10.1007/s10290-013-0171-4,https://doi.org/10.1007/s10290-013-0171-4,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
892,High,Y,original,2014,"Conti, Giuliano; Lo Turco, Alessia; Maggioni, Daniela",Spillovers through backward linkages and the export performance of business services. Evidence from a sample of Italian firms,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2013.09.003,https://doi.org/10.1016/j.ibusrev.2013.09.003,1,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Italy; doi_type_auto:EXP; fp_type_auto:EXP,
893,High,Y,original,2014,"Boly, Amadou; Coniglio, Nicola Daniele; Prota, Francesco",Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African Countries,WORLD DEVELOPMENT,10.1016/j.worlddev.2014.02.006,https://doi.org/10.1016/j.worlddev.2014.02.006,2,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:EXP; fp_type_auto:EXP,
894,High,Y,original,2014,"Dutot, Vincent; Bergeron, Francois; Raymond, Louis",Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspective,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,10.1016/j.ijinfomgt.2014.06.006,https://doi.org/10.1016/j.ijinfomgt.2014.06.006,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
627,High,Y,original,2013,"Yildiz, Harun Emre",Performance implications of multinationality: moderating role of foreign market entry mode,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2013-0021,https://doi.org/10.1108/mbr-04-2013-0021,,,3,entry_mode,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
645,High,Y,original,2013,"Amadieu, Paul; Maurel, Carole; Viviani, Jean-Laurent","Intangibles, Export Intensity, and Company Performance in the French Wine Industry",JOURNAL OF WINE ECONOMICS,10.1017/jwe.2013.27,https://doi.org/10.1017/jwe.2013.27,1,,3,export_ratio,TBD,France,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:france,
895,High,Y,original,2013,"Raymond, Louis; St-Pierre, Josee",Strategic capability configurations for the internationalization of SMEs: A study in equifinality,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242610391325,https://doi.org/10.1177/0266242610391325,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
897,High,Y,original,2013,"Schminke, Annette; Van Biesebroeck, Johannes",Using export market performance to evaluate regional preferential policies in China,REVIEW OF WORLD ECONOMICS,10.1007/s10290-012-0145-y,https://doi.org/10.1007/s10290-012-0145-y,2,M,3,,MKT,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; fp_type_auto:MKT; cdai_auto:M,
898,High,Y,original,2013,"LiPuma, Joseph A.; Newbert, Scott L.; Doh, Jonathan P.",The effect of institutional quality on firm export performance in emerging economies: a contingency model of firm age and size,SMALL BUSINESS ECONOMICS,10.1007/s11187-011-9395-7,https://doi.org/10.1007/s11187-011-9395-7,2,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:emerging_economies; doi_type_auto:EXP; fp_type_auto:EXP,
900,High,Y,original,2013,"Chandran, V. G. R.; Rasiah, Rajah","FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.668860,https://doi.org/10.3846/16111699.2012.668860,2,M,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Malaysia; cdai_auto:M,
655,High,Y,original,2012,"Alegre, Joaquin; Pla-Barber, Jose; Chiva, Ricardo; Villar, Cristina","Organisational learning capability, product innovation performance and export intensity",TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2012.674672,https://doi.org/10.1080/09537325.2012.674672,,,3,export_ratio,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
674,High,Y,original,2012,"Ganotakis, Panagiotis; Love, James H.","Export propensity, export intensity and firm performance: The role of the entrepreneurial founding team",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2012.16,https://doi.org/10.1057/jibs.2012.16,,,3,export_ratio,firm_performance,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
901,High,Y,original,2012,"Nagy, Gabor; Beracs, Jozsef","Antecedents to the export market orientation of Hungarian higher education institutions, and their export performance consequences",JOURNAL OF MARKETING FOR HIGHER EDUCATION,10.1080/08841241.2012.738716,https://doi.org/10.1080/08841241.2012.738716,3,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Hungary; doi_type_auto:EXP; fp_type_auto:EXP,
904,High,Y,original,2012,"De Beule, Filip; Duanmu, Jing-Lin",Locational determinants of internationalization: A firm-level analysis of Chinese and Indian acquisitions,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2012.03.006,https://doi.org/10.1016/j.emj.2012.03.006,2,L,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; cdai_auto:L,
905,High,Y,original,2012,"Yi, Jingtao; Wang, Chengqi","The decision to export: Firm heterogeneity, sunk costs, and spatial concentration",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.001,https://doi.org/10.1016/j.ibusrev.2011.09.001,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
695,High,Y,original,2011,"Abor, Joshua",Do Export Status and Export Intensity Increase Firm Performance?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.20386,https://doi.org/10.1002/tie.20386,,,3,export_ratio,firm_performance,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
907,High,Y,original,2011,"Minetti, Raoul; Zhu, Susan Chun",Credit constraints and firm export: Microeconomic evidence from Italy,JOURNAL OF INTERNATIONAL ECONOMICS,10.1016/j.jinteco.2010.12.004,https://doi.org/10.1016/j.jinteco.2010.12.004,1,M,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Italy; cdai_auto:M,
717,High,Y,original,2010,"Rugman, Alan M.; Oh, Chang Hoon",Does the regional nature of multinationals affect the multinationality and performance relationship?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.02.012,https://doi.org/10.1016/j.ibusrev.2009.02.012,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
727,High,Y,original,2009,"Verbeke, Alain; Brugman, Paul",Triple-testing the quality of multinationality-performance research: An internalization theory perspective,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.01.005,https://doi.org/10.1016/j.ibusrev.2009.01.005,,,2,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
734,High,Y,original,2008,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-008-0027-7,https://doi.org/10.1007/s11575-008-0027-7,,,2,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
170,High,N,original,2023,"Pedersen, Torben; Tallman, Stephen",Global strategy collections: Multinationality and performance,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=Global+strategy+collections:+Multinationality+and+performance,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing; possible non-primary study,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
276,High,N,original,2021,"Andre, Nuno Miguel Queimado",Sector productivity and geographical diversification as export enhancing factors: the case of Portugal,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,,https://scholar.google.com/scholar?q=Sector+productivity+and+geographical+diversification+as+export+enhancing+factors:+the+case+of+Portugal,,,3,EXP,Productivity,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Exporting / export activity,
328,High,N,original,2020,"Nguyen, Quyen T. K.; Kim, Sylvia",The multinationality and performance relationship: Revisiting the literature and exploring the implications,INTERNATIONAL BUSINESS REVIEW,,https://scholar.google.com/scholar?q=The+multinationality+and+performance+relationship:+Revisiting+the+literature+and+exploring+the+implications,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
466,High,N,original,2017,"Castellani, Davide; Montresor, Sandro; Schubert, Torben; Vezzani, Antonio","Multinationality, R&D and productivity: Evidence from the top R&D investors worldwide",INTERNATIONAL BUSINESS REVIEW,,"https://scholar.google.com/scholar?q=Multinationality,+R&D+and+productivity:+Evidence+from+the+top+R&D+investors+worldwide",,,3,COMP,Productivity,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
467,High,N,original,2017,"Richter, Nicole Franziska; Schmidt, Robert; Ladwig, Tina Jessica; Wulhorst, Fabian",A critical perspective on the measurement of performance in the empirical multinationality and performance literature,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,,https://scholar.google.com/scholar?q=A+critical+perspective+on+the+measurement+of+performance+in+the+empirical+multinationality+and+performance+literature,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
469,High,N,original,2017,"Chang, Sea-Jin; Chung, Jaiho",A Quasi-experimental Approach to the Multinationality-performance Relationship: An Application to Learning-by-exporting,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=A+Quasi-experimental+Approach+to+the+Multinationality-performance+Relationship:+An+Application+to+Learning-by-exporting,,,3,EXP,ACC,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; fp_auto:pm:Accounting; doi_type_auto:Exporting / export activity,
491,High,N,original,2017,"Grant, Kevin; Matousek, Roman; Meyer, Martin; Tzeremes, Nickolaos G.",A research note on multinationality and firm performance Nonparametric frontier analysis,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,,https://scholar.google.com/scholar?q=A+research+note+on+multinationality+and+firm+performance+Nonparametric+frontier+analysis,,,3,COMP,firm_performance,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
547,High,N,original,2016,"Kelley, Keith J.",Spatial relativism in multinationality and performance research,AMERICAN JOURNAL OF BUSINESS,,https://scholar.google.com/scholar?q=Spatial+relativism+in+multinationality+and+performance+research,1,L,3,COMP,TBD,Usa,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:usa; doi_type_auto:Multinationality / DOI,
606,High,N,original,2014,"Powell, K. Skylar",From M-P to MA-P: Multinationality alignment and performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,https://scholar.google.com/scholar?q=From+M-P+to+MA-P:+Multinationality+alignment+and+performance,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
633,High,N,original,2013,"Manjon Antolin, Miguel; Manez, Juan A.; Rochina Barrachina, Maria E.; Sanchis Llopis, Juan A.",Export intensity and the productivity gains of exporting,APPLIED ECONOMICS LETTERS,,https://scholar.google.com/scholar?q=Export+intensity+and+the+productivity+gains+of+exporting,,,3,export_ratio,Productivity,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
657,High,N,original,2012,"Cieslik, Jerzy; Kaciak, Eugene; Welsh, Dianne H. B.",The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,https://scholar.google.com/scholar?q=The+impact+of+geographic+diversification+on+export+performance+of+small+and+medium-sized+enterprises+(SMEs),,,3,geographic_diversification,Export/operational,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
659,High,N,original,2012,"Rodriguez-Rodriguez, Manuel; Galdeano-Gomez, Emilio; Carmona-Moreno, Eva; Godoy-Duran, Angeles","Environmental Impact, Export Intensity, and Productivity Interactions: An Empirical Index Analysis of the Agri-Food Industry in Spain",CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,,"https://scholar.google.com/scholar?q=Environmental+Impact,+Export+Intensity,+and+Productivity+Interactions:+An+Empirical+Index+Analysis+of+the+Agri-Food+Industry+in+Spain",1,,3,export_ratio,Productivity,Spain; Canada,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:canada,
663,High,N,original,2012,"Anon Higon, Dolores; Manjon Antolin, Miguel","Multinationality, foreignness and institutional distance in the relation between R&D and productivity",RESEARCH POLICY,,"https://scholar.google.com/scholar?q=Multinationality,+foreignness+and+institutional+distance+in+the+relation+between+R&D+and+productivity",,,3,COMP,Productivity,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
675,High,N,original,2012,"Verbeke, Alain; Forootan, M. Zaman",HOW GOOD ARE MULTINATIONALITY-PERFORMANCE (M-P) EMPIRICAL STUDIES?,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=HOW+GOOD+ARE+MULTINATIONALITY-PERFORMANCE+(M-P)+EMPIRICAL+STUDIES?,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
686,High,N,original,2012,"Verbeke, Alain; Brugman, Paul",Triple testing the quality of multinationality-performance research,HANDBOOK OF RESEARCH ON INTERNATIONAL STRATEGIC MANAGEMENT,,https://scholar.google.com/scholar?q=Triple+testing+the+quality+of+multinationality-performance+research,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
701,High,N,original,2011,"Hennart, Jean-Francois",A THEORETICAL ASSESSMENT OF THE EMPIRICAL LITERATURE ON THE IMPACT OF MULTINATIONALITY ON PERFORMANCE,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=A+THEORETICAL+ASSESSMENT+OF+THE+EMPIRICAL+LITERATURE+ON+THE+IMPACT+OF+MULTINATIONALITY+ON+PERFORMANCE,,,3,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
713,High,N,original,2010,"Kim, Seog-Soo",A Study on the Relationship between Multinationality and Performance among Korean Firms,JOURNAL OF KOREA TRADE,,https://scholar.google.com/scholar?q=A+Study+on+the+Relationship+between+Multinationality+and+Performance+among+Korean+Firms,1,L,3,COMP,TBD,Korea,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
735,High,N,original,2008,"Li, Lei",Multinationality and technical efficiency: A neglected perspective,MANAGEMENT INTERNATIONAL REVIEW,,https://scholar.google.com/scholar?q=Multinationality+and+technical+efficiency:+A+neglected+perspective,,,2,COMP,Efficiency,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
737,High,N,original,2008,"Bae, Sung C.; Park, Bell J. C.; Wang, Xiaohong","Multinationality, R&D Intensity, and Firm Performance: Evidence from U.S. Manufacturing Firms",MULTINATIONAL BUSINESS REVIEW,,"https://scholar.google.com/scholar?q=Multinationality,+R&D+Intensity,+and+Firm+Performance:+Evidence+from+U.S.+Manufacturing+Firms",1,L,2,COMP,firm_performance,Usa,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
742,High,N,original,2008,"Bouquet, Cyril; Deutsch, Yuval",The impact of corporate social performance on a firm's multinationality,JOURNAL OF BUSINESS ETHICS,,https://scholar.google.com/scholar?q=The+impact+of+corporate+social+performance+on+a+firm's+multinationality,,,2,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
752,High,N,original,2007,"Bowen, Harry P.",THE EMPIRICS OF MULTINATIONALITY AND PERFORMANCE,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,https://scholar.google.com/scholar?q=THE+EMPIRICS+OF+MULTINATIONALITY+AND+PERFORMANCE,,,2,COMP,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
782,High,N,original,1991,"JUNG, YJ",MULTINATIONALITY AND PROFITABILITY,JOURNAL OF BUSINESS RESEARCH,,https://scholar.google.com/scholar?q=MULTINATIONALITY+AND+PROFITABILITY,,,1,COMP,financial_perf,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
8,Medium,Y,original,2026,"Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina","Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,https://doi.org/10.1108/mrr-12-2024-0924,1,M,3,other,TBD,Europe,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:europe,
9,Medium,Y,original,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,https://doi.org/10.1177/19389655251405170,,,3,other,firm_performance,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
13,Medium,Y,original,2026,"Ma, Peng; Tan, Ya; Xu, Feng",Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,https://doi.org/10.1016/j.eap.2026.01.002,2,L,3,FDI,Productivity,China,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,
16,Medium,Y,original,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,https://doi.org/10.1007/s10668-026-07324-2,,,3,other,financial_perf,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
17,Medium,Y,original,2026,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,https://doi.org/10.1108/imr-06-2023-0108,,,3,other,TBD,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,
