STT,seq,year,authors,title,journal,link,ICRV,DPL,r_bao_cao,loai_r,n_mau,r_doi_chieu,phi_tuyen,turning_point,ghi_chu
110,1650,2023,"Singal, Ajay Kumar; Ahsan, Faisal Mohammad",The relationship between cross-border acquisitions and R&D investments by Indian firms - substituting or complementing,INTERNATIONAL JOURNAL OF EMERGING MARKETS,https://doi.org/10.1108/ijoem-08-2020-0913,3,3,,,,,,,
111,1680,2023,"Fang, Xiuyuan; Jiang, Marshall S.; Li, Yugang",Intangible resources and firms' innovation performance: empirical evidence from Chinese firms,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,https://doi.org/10.1108/ejim-04-2021-0197,2,3,,,,,,,
112,1686,2023,"Machado, Marcelo Andre; Bischoff, Viviane",The use and knowledge of export promotion programs in the early internationalization of Brazilian SMEs,INTERNATIONAL JOURNAL OF EMERGING MARKETS,https://doi.org/10.1108/ijoem-09-2020-1114,2,3,,,,,,,
113,1688,2023,"Shakil, Mohammad Hassan; Wahab, Nor Shaipah Abdul","Top management team heterogeneity, corporate social responsibility and firm risk: an emerging country perspective",JOURNAL OF FINANCIAL REPORTING AND ACCOUNTING,https://doi.org/10.1108/jfra-02-2021-0036,2,3,,,,,,,
114,1722,2023,"Jafari, Yaghoob; Koppenberg, Maximilian; Hirsch, S",Markups and export behavior: Firm-level evidence from the French food processing industry,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,https://doi.org/10.1111/ajae.12292,1,3,,,,,,,
115,1747,2023,"Pastelakos, Evangelos; Theodoraki, Christina; Cata",The role of innovation and internationalization support in small- and medium-sized enterprises' export performance,EUROPEAN MANAGEMENT REVIEW,https://doi.org/10.1111/emre.12513,?,3,,,,,,,
116,1776,2023,"Miocevic, Dario; Gnizy, Itzhak; Cadogan, John W.",When does export customer responsiveness strategy contribute to export market competitive advantage?,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-02-2022-0043,?,3,,,,,,,
117,1777,2023,"Mishra, Divya; Mital, Amita; Srivastava, Samir K.",Role of international strategic alliances in internationalization of business group affiliated firms-A system dynamics approach,SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,https://doi.org/10.1002/sres.2856,?,3,,,,,,,
118,1794,2023,"Li, Bing; Li, Linyue; Li, Rou; Yue, Yunsong",Internet and firms' exports and imports: Firm level evidence from China,WORLD ECONOMY,https://doi.org/10.1111/twec.13310,2,3,,,,,,,
119,1821,2023,"Wang, Ge; Du, Qi'ang; Li, Xiaodong; Deng, Xiaopeng",From ambiguity to transparency: influence of environmental information disclosure on financial performance in the context of internationalization,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,https://doi.org/10.1007/s11356-022-22664-y,?,3,,,,,,,
120,1823,2023,"Lin, Xi; He, Ling-Yun",The More the Merrier? Evidence from Firm-Level Exports and Environmental Performance in China,ENVIRONMENTAL & RESOURCE ECONOMICS,https://doi.org/10.1007/s10640-022-00717-7,2,3,,,,,,,
121,1826,2023,"Goldar, Bishwanath; Goldar, Amrita",Impact of export intensity on energy intensity in manufacturing plants: Evidence from India,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPM,https://doi.org/10.1080/09638199.2022.2125552,3,3,,,,,,,
122,1830,2023,"Baum, Matthias; Sui, Sui; Malhotra, Shavin",A vicarious learning perspective on the relationship between home-peer performance and export intensity among SMEs,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-01-2022-0026,?,3,,,,,,,
123,1834,2023,"Amara, Mohamed",Agglomeration and firm performance in times of economic turmoil: Evidence from Tunisian firm-level data,GROWTH AND CHANGE,https://doi.org/10.1111/grow.12657,2,3,,,,,,,
124,1863,2023,"Abdelzaher, Dina; de la Torre, Jose; Rolf, Skylar",MNCs' orchestration capability of the 3Ds and financial performance,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,https://doi.org/10.1108/ribs-12-2021-0172,?,3,,,,,,,
125,1876,2023,"Guedes, Maria Joao; Fernandes Crespo, Nuno; Patel,","When in Rome, do as the Romans do: can international marketing adaptation improve the association between servitization and profitability?",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,https://doi.org/10.1108/jbim-03-2022-0145,4,3,,,,,,,
126,1882,2023,"Sadeghi, Arash; Aliasghar, Omid; Bouguerra, Abdera",Unpacking the relationship between post-entry speed of internationalization and export performance of SMEs: A capability-building perspective,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2022.100982,?,3,,,,,,,
127,1887,2023,"Ashourizadeh, Shayegheh; Saeedikiya, Mehrzad",Immigrant and native's export benefiting from business collaborations: a global study,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1504/ejim.2023.128812,0,3,,,,,,,
128,1888,2023,"Abdul-Talib, Asmat-Nizam; Zamani, Siti Norhasmaeda",The Relationship Between Export Market Orientation and Firm Performance: A Meta-Analysis of Main and Moderator Effects,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,https://doi.org/10.22146/gamaijb.65565,?,3,,,,,,,
129,1892,2023,"Dinh, Thi Thanh Binh; Tu, Thuy Anh; Chu, Thi Mai P",Slack Resources and Export Intensity: New Empirical Evidence from Vietnam,ECONOMIES,https://doi.org/10.3390/economies11020068,3,3,,,,,,,
130,1894,2023,"Crescimanno, Maria; Mirabella, Claudio; Borsellino",How Organizational Resources and Managerial Features Affect Business Performance: An Analysis in the Greek Wine Industry,SUSTAINABILITY,https://doi.org/10.3390/su15043522,1,3,,,,,,,
131,1895,2023,"Iqbal, Mohammad; Mawardi, Mukhammad Kholid; Sanawi",Strategic orientation and its role in linking human capital with the performance of small and medium enterprises in Indonesia,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURS,https://doi.org/10.1108/jrme-11-2021-0150,3,3,,,,,,,
132,1905,2023,"Yasin, Mohammad Zeqi; Esquivias, Miguel Angel",Spillover effects of foreign direct investment on manufacturing exports and imports in Indonesia,STUDIES IN ECONOMICS AND FINANCE,https://doi.org/10.1108/sef-12-2022-0551,3,3,,,,,,,
133,1911,2023,"Xin, Yongrong; Khan, Rizwan Ullah; Dagar, Vishal; ",Do international resources configure SMEs' sustainable performance in the digital era? Evidence from Pakistan,RESOURCES POLICY,https://doi.org/10.1016/j.resourpol.2022.103169,3,3,,,,,,,
134,1918,2023,"Kathuria, Abhishek; Karhade, Prasanna P.; Ning, Xu",Blood and Water: Information Technology Investment and Control in Family-owned Businesses,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,https://doi.org/10.1080/07421222.2023.2172770,3,3,,,,,,,
135,1922,2023,"Goldar, Bishwanath","ICT Investment, Adoption of ISO 14000 Certification, and Export Performance in Indian Manufacturing Plants",JOURNAL OF QUANTITATIVE ECONOMICS,https://doi.org/10.1007/s40953-023-00350-1,3,3,,,,,,,
136,1925,2023,"Haini, Hazwan; Baha, Roslee; Wei Loon, Pang",Are formal institutions ineffective for firm performance? Evidence from the economic community of West African States,INTERNATIONAL JOURNAL OF SOCIOLOGY AND SOCIAL POLI,https://doi.org/10.1108/ijssp-04-2023-0089,?,3,,,,,,,
137,1926,2023,"Horobet, Alexandra; Popovici, Oana Cristina; Bulai",Foreign Versus Local Ownership and Performance in Eastern Versus Western EU: A Random Forest Application,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,https://doi.org/10.5755/j01.ee.34.2.29499,0,3,,,,,,,
138,1930,2023,"Aggarwal, Anshul; Sharma, Chandan","Internationalisation, employment generation and wage premia: evidence from Indian manufacturing firms",MANAGERIAL AND DECISION ECONOMICS,https://doi.org/10.1002/mde.3936,3,3,,,,,,,
139,1935,2023,"Bhandari, Krishna Raj; Zamborsky, Peter; Ranta, Mi","Digitalization, internationalization, and firm performance: A resource-orchestration perspective on new OLI advantages",INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2023.102135,?,3,,,,,,,
140,1936,2023,"Heriqbaldi, Unggul; Esquivias, Miguel Angel; Samud",Do National Export Promotion Programs in Indonesia support export competitiveness?,HELIYON,https://doi.org/10.1016/j.heliyon.2023.e16918,3,3,,,,,,,
141,1942,2023,"Buigues, Pierre-Andre; Lacoste, Denis",Technological knowledge intensity and entry modes in the European automotive industry,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1504/ejim.2023.131703,?,3,,,,,,,
142,1957,2023,"Arvanitis, Spyros; Seliger, Florian; Woerter, Mart",In search of markets and technology: the role of cross-border knowledge for domestic productivity,INDUSTRIAL AND CORPORATE CHANGE,https://doi.org/10.1093/icc/dtad045,1,3,,,,,,,
143,1966,2023,"Pacheco, Luis","Firm certification and export performance: the case of the ""SME Leader"" label",ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,https://doi.org/10.1108/arla-05-2023-0073,?,3,,,,,,,
144,1981,2023,"Rodrigo, Basco; Thomas, Bassetti; Fernando, Munoz-",Euro adoption and intra-European Union exporters' productivity: Differences between family and non-family firms,EUROPEAN RESEARCH ON MANAGEMENT AND BUSINESS ECONO,https://doi.org/10.1016/j.iedeen.2023.100226,0,3,,,,,,,
145,1982,2023,"Du, Weijian; Fan, Yuhuan; Li, Mengjie",A clean road to international trade: Environmental regulations and the cleanliness of export enterprises,HELIYON,https://doi.org/10.2139/ssrn.4484472,?,3,,,,,,,
146,1996,2023,"Lehenchuk, Serhii; Raboshuk, Alina; Zhyhlei, Iryna",FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES IN THE PRE-WAR PERIOD,AGRICULTURAL AND RESOURCE ECONOMICS-INTERNATIONAL ,https://doi.org/10.51599/are.2023.09.04.05,1,3,,,,,,,
147,2025,2023,"Crick, James M.; Crick, Dave; Peixinho, Jessica M.",Does industry experience positively moderate the quadratic relationship between coopetition and financial performance? Evidence from the New Zealand wine sector,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL ,https://doi.org/10.1504/ijesb.2020.10032033,1,3,,,,,,,
148,2316,2023,Laurens P.,How does Internationalisation affect the productivity of R&D activities in large innovative firms? A conditional nonparametric investigation,Quality and Quantity,https://doi.org/10.1007/s11135-022-01391-z,?,3,,,,,,,
149,470,2022,"Nkambule, Ncamsile Ashley; Wang, Wei-Kang; Ting, I",Intellectual capital and firm efficiency of US multinational software firms,JOURNAL OF INTELLECTUAL CAPITAL,https://doi.org/10.1108/jic-02-2021-0041,1,3,,,,,,,
150,226,2022,"Bicakcioglu-Peynirci, Nilay; Morgan, Robert E.",Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,JOURNAL OF INTERNATIONAL MARKETING,https://doi.org/10.1177/1069031x211030686,2,3,,,,,,,
151,234,2022,"Cao, Xin; Li, Peng; Huang, Xiaozhi; Fan, Limin",The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,PLOS ONE,https://doi.org/10.1371/journal.pone.0263674,2,3,,,,,,,
152,237,2022,"Chang, Asma; Mubarik, Shujaat",Taking the international route: Investigating the impact of socioemotional wealth dimensions on family firm performance via internationalisation,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,https://doi.org/10.15678/eber.2022.100305,0,3,,,,,,,
153,526,2022,"Berry, Heather; Kaul, Aseem","Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. Multinational Corporations",STRATEGY SCIENCE,https://doi.org/10.1287/stsc.2022.0158,1,3,,,,,,,
154,1595,2022,"Li, Ning; Murphy, William Hoggan",Making better foreign friendships: the effects of increased cultural diversity in alliance portfolios and portfolio configuration decisions on firm performance,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,https://doi.org/10.1108/jbim-08-2020-0396,0,3,,,,,,,
155,1637,2022,"Freixanet, Joan; Rialp, Josep","Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance",GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1412,?,3,,,,,,,
156,1646,2022,"da Silva Campos, Susana Sales; Machado Filho, Clau",The contribution of the external director for Brazilian private family business: a generational approach,JOURNAL OF FAMILY BUSINESS MANAGEMENT,https://doi.org/10.1108/jfbm-05-2021-0042,2,3,,,,,,,
157,1653,2022,"Criaco, Giuseppe; Naldi, Lucia; Zahra, Shaker A.","Founders' Prior Shared International Experience, Time to First Foreign Market Entry, and New Venture Performance",JOURNAL OF MANAGEMENT,https://doi.org/10.1177/01492063211029701,?,3,,,,,,,
158,1655,2022,"Fuentelsaz, Lucio; Garrido, Elisabet; Gonzalez, Mi",Speed of institutional change and subsidiary performance: The moderating impact of home and host country learning,GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1416,?,3,,,,,,,
159,1700,2022,"Tsionas, Mike G.; Tzeremes, Nickolaos G.",The Degree of Internationalization and Firm Productivity: Empirical Evidence from Large Multinationals,BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.12560,1,3,,,,,,,
160,1705,2022,"DasGupta, Ranjan; Pathak, Rajesh","Role of educational, regional and religious attributes of CEOs in performance of Indian family firms",INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE,https://doi.org/10.1108/ijmf-06-2021-0268,3,3,,,,,,,
161,1706,2022,"Wilson, Nick; Uddin, Moshfique; Wright, Mike",Exporting by Private Equity-Backed Portfolio Companies,BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.12566,1,3,,,,,,,
162,1710,2022,"Kim, YooJung; Seo, Yejung",The synergistic impact between internationalization and supply-and-demand interaction on firm performance: a study of environmental responsibility in social networking service,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY ,https://doi.org/10.1108/ijchm-05-2021-0679,?,3,,,,,,,
163,1714,2022,"Chawla, Isha",Benefitting from Investment Abroad? Evidence from Indian Manufacturing,ASIA AND THE GLOBAL ECONOMY,https://doi.org/10.1016/j.aglobe.2021.100022,3,3,,,,,,,
164,1719,2022,"Vendrell-Herrero, Ferran; Darko, Christian K.; Gom",Home-market economic development as a moderator of the self-selection and learning-by-exporting effects,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,https://doi.org/10.1057/s41267-021-00481-8,?,3,,,,,,,
165,1720,2022,"Latukha, Marina; Michailova, Snejina; Ott, Dana L.","Gender, talent management and firm performance: MNCs' female-focused talent management practices in Russia",EMPLOYEE RELATIONS,https://doi.org/10.1108/er-04-2021-0132,2,3,,,,,,,
166,1721,2022,"Hoque, Mohammad Tayeenul; Ahammad, Mohammad Faisal",Eyes open and hands on: market knowledge and marketing capabilities in export markets,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-01-2021-0003,3,3,,,,,,,
167,1725,2022,"Xie, Yu; Boadu, Francis; Tang, Hongjuan",Does internationalization encourage state-owned enterprises to utilize subsidies to innovate? Evidence from high-tech and automobile manufacturing industries of Chinese listed companies,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-06-2021-0250,2,3,,,,,,,
168,1727,2022,"Das, Arindam",Promoting organizational diversity and preserving socioemotional wealth: can family businesses balance the two?,JOURNAL OF FAMILY BUSINESS MANAGEMENT,https://doi.org/10.1108/jfbm-06-2021-0060,3,3,,,,,,,
169,1733,2022,"Benfratello, L.; Bottasso, A.; Piccardo, C.",'R&D and export performance: exploring heterogeneity along the export intensity distribution',JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,https://doi.org/10.1007/s40812-022-00209-1,?,3,,,,,,,
170,1738,2022,"Ahsan, Faisal Mohammad; Sinha, Ashutosh Kumar","Internationalization motives, location advantages and performance: the case of Indian firms from knowledge-intensive industries",CROSS CULTURAL & STRATEGIC MANAGEMENT,https://doi.org/10.1108/ccsm-07-2021-0119,3,3,,,,,,,
171,1740,2022,"DasGupta, Ranjan; Kumar, Satish; Pathak, Rajesh",Multinational enterprises' internationalization and adoption of sustainable development goals,INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE,https://doi.org/10.1108/ijmf-09-2021-0416,0,3,,,,,,,
172,1744,2022,"Freixanet, Joan; Federo, Ryan","The complex interplay of firm innovation, internationalization and learning capability in driving firm performance: a configurational analysis",JOURNAL OF STRATEGY AND MANAGEMENT,https://doi.org/10.1108/jsma-11-2021-0220,?,3,,,,,,,
173,1748,2022,"Tandrayen-Ragoobur, Verena",The innovation and exports interplay across Africa: Does business environment matter?,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPM,https://doi.org/10.1080/09638199.2022.2051588,?,3,,,,,,,
174,1751,2022,"da Cunha, Henrique Correa; Farrell, Carlyle; Ander",Toward a more in-depth measurement of cultural distance: A re-evaluation of the underlying assumptions,INTERNATIONAL JOURNAL OF CROSS CULTURAL MANAGEMENT,https://doi.org/10.1177/14705958221089192,0,3,,,,,,,
175,1760,2022,"Escobar, Octavio; Lamotte, Olivier; Colovic, Ana; ",Impact of sourcing from the informal economy on the export likelihood and performance of emerging economy firms,INDUSTRIAL AND CORPORATE CHANGE,https://doi.org/10.1093/icc/dtab068,0,3,,,,,,,
176,1765,2022,"Zhao, Wenli; Ye, Guangyu; Xu, Guangyi; Liu, Chong;",CSR and Long-Term Corporate Performance: The Moderating Effects of Government Subsidies and Peer Firm's CSR,SUSTAINABILITY,https://doi.org/10.3390/su14095543,2,3,,,,,,,
177,1771,2022,"Hashmi, Hammad Bin Azam; Voinea, Cosmina L.; Ooms,",The Impact of Breakthrough Innovations on the Export Performance of SMEs in Developing Countries: The Moderating Role of Institutional Factors,FRONTIERS IN PSYCHOLOGY,https://doi.org/10.3389/fpsyg.2022.888697,0,3,,,,,,,
178,1790,2022,"Hilmersson, Mikael; Schweizer, Roger; Chetty, Sylv","The Relationship Between Timing, Speed, and Performance in Foreign Market Network Entry",MANAGEMENT INTERNATIONAL REVIEW,https://doi.org/10.1007/s11575-022-00470-5,?,3,,,,,,,
179,1791,2022,"da Cunha, Henrique Correa; Ruzgar, Nursel Selver; ",The Moderating Effects of Host Country Governance and Trade Openness on the Relationship between Cultural Distance and Financial Performance of Foreign Subsidiaries in Latin America,INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,https://doi.org/10.32920/22647229.v1,?,3,,,,,,,
180,1808,2022,"Kim, Hyunjung",Performance from building smart factories of small- and medium-sized enterprises: the moderating effects of product complexity and company size,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION M,https://doi.org/10.1108/ijopm-10-2021-0654,1,3,,,,,,,
181,1816,2022,"Grellmann, Glaucia; Amal, Mohamed; de Vasconcellos",The effects of home country political risk and uncertainty on the financial performance of firms,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1504/ejim.2022.124908,0,3,,,,,,,
182,1817,2022,"Dai, Yixin; Zhang, Ruijia; Hu, Hanqing; Hou, Keqia",Is there ?productivity paradox? in Chinese producer-service enterprises' OFDI?,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,https://doi.org/10.1016/j.irfa.2022.102318,2,3,,,,,,,
183,1842,2022,"Wu, Qinglan; Chen, Guifu; Han, Jing; Wu, Liyan",Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese Listed Firms,SUSTAINABILITY,https://doi.org/10.3390/su142012981,2,3,,,,,,,
184,1845,2022,"Qi, Xinzhou; Ning, Zhong; Qin, Meng",Incubator role of foreign venture capital: evidence from overseas listing of enterprises,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,https://doi.org/10.1080/1331677x.2022.2142637,2,3,,,,,,,
185,1909,2022,"Zambrano Farias, Fernando Jose; Valls Martinez, Ma",Profitability determinants of the natural stone industry: Evidence from Spain and Italy,PLOS ONE,https://doi.org/10.1371/journal.pone.0276885,1,3,,,,,,,
186,2330,2022,Gunawan J.,Comparing Developed and Emerging Countries Exporting Performance: Does Strategic Choice or Environmental Pressure Matter?,Global Journal of Flexible Systems Management,https://doi.org/10.1007/s40171-022-00308-x,?,3,,,,,,,
187,2331,2022,Adam C.,Effects of Diversification on Profitability and Operating Risk for Brazilian Publicly Traded Companies,Brazilian Business Review,https://doi.org/10.15728/bbr.2022.19.4.1,2,3,,,,,,,
188,2332,2022,Dong M.,Performance feedback and export intensity of Chinese private firms: Moderating roles of institution-related factors,International Business Review,https://doi.org/10.1016/j.ibusrev.2021.101948,2,3,,,,,,,
189,2335,2022,Tyagi S.,What Determines Profitability in the Indian Automobile Industry?,Indian Economic Journal,https://doi.org/10.1177/00194662211063574,3,3,,,,,,,
190,2336,2022,Capar N.,Internationalisation and the performance of German firms,Journal for Global Business Advancement,https://doi.org/10.1504/jgba.2022.127205,1,3,,,,,,,
191,2340,2022,Noerlina ,The Importance of Interfirm Networks in Enhancing Innovation Capability and Exporting in High-Tech Industry,Hightech and Innovation Journal,https://doi.org/10.28991/hij-sp2022-03-05,3,3,,,,,,,
192,2342,2022,Neamat S.,A Strategy for the Growth and Internationalization of Companies: International Mergers and Acquisitions,Journal of Applied Science and Technology Trends,https://doi.org/10.38094/jastt302133,?,3,,,,,,,
193,473,2021,"Alnori, Faisal",Exploring nonlinear linkage between profitability and leverage: US multinational versus domestic corporations,JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & AC,https://doi.org/10.1111/jifm.12134,1,3,,,,,,,
194,46,2021,"Mullen, Cormac",'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1080/19186444.2020.1857122,2,3,,,,,,,
195,247,2021,"Zhang, Banruo; Li, Zijie; Li, Xiaomeng; Liu, Ziqi",Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-06-2020-0249,2,3,,,,,,,
196,471,2021,"Morgan, Horatio M.; Sui, Sui; Malhotra, Shavin",No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SMEs,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,https://doi.org/10.1057/s41267-020-00360-8,?,3,,,,,,,
197,472,2021,"Gkypali, Areti; Love, James H.; Roper, Stephen",Export status and SME productivity: Learning-to-export versus learning-by-exporting,JOURNAL OF BUSINESS RESEARCH,https://doi.org/10.1016/j.jbusres.2021.02.026,?,3,,,,,,,
198,1527,2021,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia, Bo; Lee,",Product diversification and large construction firm productivity: the effect of institutional environments in Malaysia,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEM,https://doi.org/10.1108/ecam-05-2020-0288,2,3,,,,,,,
199,1530,2021,"Arzubiaga, Unai; Castillo-Apraiz, Julen; Manuel Pa",Organisational learning as a mediator in the host-home country similarity-international firm performance link: the role of exploration and exploitation,EUROPEAN BUSINESS REVIEW,https://doi.org/10.1108/ebr-09-2019-0238,0,3,,,,,,,
200,1539,2021,"Song, Sujin; Lee, Seoki",The Effect of Internationalization on Firm Performance: A Moderating Role of Heterogeneity in TMTs' Nationality,CORNELL HOSPITALITY QUARTERLY,https://doi.org/10.1177/1938965520958703,?,3,,,,,,,
201,1544,2021,"Forte, Rosa; Botelho, Andreia",Debt-performance relationship and firms' international trade activities,MANAGERIAL FINANCE,https://doi.org/10.1108/mf-04-2020-0162,?,3,,,,,,,
202,1548,2021,"Markus, Gabor; Rideg, Andras",Understanding the connection between SMEs' competitiveness and cash flow generation: an empirical analysis from Hungary,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-01-2020-0019,1,3,,,,,,,
203,1550,2021,"Rigo, Davide",Global value chains and technology transfer: new evidence from developing countries,REVIEW OF WORLD ECONOMICS,https://doi.org/10.1007/s10290-020-00398-8,0,3,,,,,,,
204,1558,2021,"Manogna, R. L.",Innovation and firm growth in agricultural inputs industry: empirical evidence from India,JOURNAL OF AGRIBUSINESS IN DEVELOPING AND EMERGING,https://doi.org/10.1108/jadee-07-2020-0156,3,3,,,,,,,
205,1563,2021,"Chen, Yuan; Singhal, Vinod; Zhu, Qinghua",Environmental policies and financial performance: stock market reaction to firms for their proactive environmental practices recognized by governmental programs,BUSINESS STRATEGY AND THE ENVIRONMENT,https://doi.org/10.1002/bse.2693,2,3,,,,,,,
206,1585,2021,"De Montreuil Carmona, Linda Jessica; Gomes, Gianca",Measuring competitiveness through the global competitiveness project framework: the Brazilian experience,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-12-2019-0164,2,3,,,,,,,
207,1586,2021,"Chow, Yee Peng",Business founders and performance of family firms: evidence from developing countries in Asia,JOURNAL OF ASIA BUSINESS STUDIES,https://doi.org/10.1108/jabs-03-2019-0095,0,3,,,,,,,
208,1603,2021,"Manogna, R. L.; Mishra, Aswini Kumar",Does investment in innovation impact firm performance in emerging economies? An empirical investigation of the Indian food and agricultural manufacturing industry,INTERNATIONAL JOURNAL OF INNOVATION SCIENCE,https://doi.org/10.1108/ijis-07-2020-0104,3,3,,,,,,,
209,1604,2021,"Espinosa-Mendez, Christian; Araya-Castillo, Luis; ","International diversification, ownership structure and performance in an emerging market: evidence from Chile",ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,https://doi.org/10.1080/1331677x.2020.1820359,2,3,,,,,,,
210,1607,2021,"Davcik, Nebojsa S.; Cardinali, Silvio; Sharma, Piy",Exploring the role of international R&D activities in the impact of technological and marketing capabilities on SMEs' performance,JOURNAL OF BUSINESS RESEARCH,https://doi.org/10.1016/j.jbusres.2020.04.042,?,3,,,,,,,
211,1610,2021,"Chen, Lili; Guo, Shaoyu; Lu, Jian; Gerschewski, St",Outward FDI and efficiency in within-firm resource allocation-Evidence from firm-level data of China,JOURNAL OF ASIAN ECONOMICS,https://doi.org/10.1016/j.asieco.2021.101298,2,3,,,,,,,
212,1625,2021,"Chan, Christine M.; Du, Jialin","The dynamic process of pro-market reforms and foreign affiliate performance: When to seek local, subnational, or global help?",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,https://doi.org/10.1057/s41267-021-00429-y,?,3,,,,,,,
213,1626,2021,"Danish, Mohd Shadab; Haider, Salman; Dhanora, Mada",Modelling two-way relationship between innovation and internationalisation: does learning by export matter?,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1080/19186444.2021.1908791,?,3,,,,,,,
214,1635,2021,"Wei, Shih-Yung; Lin, Li-Wei",The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992-2017),MATHEMATICAL PROBLEMS IN ENGINEERING,https://doi.org/10.1155/2021/5528972,1,3,,,,,,,
215,1638,2021,"Han, Xia","Risk management, legitimacy, and the overseas subsidiary performance of emerging market MNEs",INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2020.101732,0,3,,,,,,,
216,1640,2021,"Saha, Kaustav; Kumar, Rohit; Dutta, Swarup Kumar; ",Validating multidimensional entrepreneurial orientation in emerging economies,EUROPEAN BUSINESS REVIEW,https://doi.org/10.1108/ebr-07-2020-0184,0,3,,,,,,,
217,1644,2021,"Iandolo, Stefano; Ferragina, Anna",International activities and innovation: Evidence from Italy with a special regressor approach,WORLD ECONOMY,https://doi.org/10.1111/twec.13153,1,3,,,,,,,
218,1647,2021,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","International competitive strategies, organizational learning and export performance: a match and mis-match conceptualization",EUROPEAN JOURNAL OF MARKETING,https://doi.org/10.1108/ejm-04-2019-0309,?,3,,,,,,,
219,1654,2021,"Freixanet, Joan; Churakova, Iya; Rialp, Josep; Lin",Riding the storm out: the short- and long-term effects of export promotion on firm performance during an economic downturn,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1504/ejim.2021.116703,?,3,,,,,,,
