priority_rank,seq,title,authors,year,journal,doi,doi_link,google_scholar,openalex_search,unpaywall_api,pdf_found,pdf_filename,pdf_source,fulltext_screening_decision,exclusion_reason,sample_size_n,model_type,effect_size_type,reported_coefficient,standard_error,t_value,df_for_t,p_value,converted_r,fisher_z,variance_z,performance_measure_guess,internationalization_measure_guess,table_or_page,statistic_location,notes_for_extractor,ready_for_r,doi_status,icrv,prescreen_reason,dpl,fp_type,country_guess,region_guess,internationalization_dimension_guess,performance_category_guess,research_design_guess,fulltext_status,extraction_status,screening_decision_prelim,study_period_start,study_period_end,industry,firm_type,curve_type,moderators,source_url_or_pdf_path,extraction_priority,extracted_by,checked_by,effect_direction,conversion_formula
98,299,Internationalization and innovation performance of emerging market enterprises: The role of host-country institutional development,"Wu, Jie; Wang, Chengqi; Hong, Junjie; Piperopoulos, Panagiotis; Zhuo, Shuaihe",2016,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.09.002,https://doi.org/10.1016/j.jwb.2015.09.002,https://scholar.google.com/scholar?q=Internationalization%20and%20innovation%20performance%20of%20emerging%20market%20enterprises%3A%20The%20role%20of%20host-country%20institutional%20development,https://openalex.org/works?search=Internationalization%20and%20innovation%20performance%20of%20emerging%20market%20enterprises%3A%20The%20role%20of%20host-country%20institutional%20development,https://api.unpaywall.org/v2/10.1016%2Fj.jwb.2015.09.002,,,,,,,,,,,,,,,,,Innovation/strategic outcome,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization,3,TBD,Emerging markets,Multiple/Emerging,General DOI,Innovation/other,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
99,301,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,"Chin, Tachia; Tsai, Sang-Bing; Fang, Kai; Zhu, Wenzhong; Yang, Dongjin; Liu, Ren-huai; Tsuei, Richard Ting Chang",2016,PLOS ONE,10.1371/journal.pone.0162175,https://doi.org/10.1371/journal.pone.0162175,https://scholar.google.com/scholar?q=EO-Performance%20relationships%20in%20Reverse%20Internationalization%20by%20Chinese%20Global%20Startup%20OEMs%3A%20Social%20Networks%20and%20Strategic%20Flexibility,https://openalex.org/works?search=EO-Performance%20relationships%20in%20Reverse%20Internationalization%20by%20Chinese%20Global%20Startup%20OEMs%3A%20Social%20Networks%20and%20Strategic%20Flexibility,https://api.unpaywall.org/v2/10.1371%2Fjournal.pone.0162175,,,,,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization,3,TBD,China,Asia,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
100,303,"Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterprises","Zhao, Hongxin (John); Ma, Jieqiong (Jeccy)",2016,JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2016.1215667,https://doi.org/10.1080/10669868.2016.1215667,https://scholar.google.com/scholar?q=Founding%20Environment%2C%20Inward%20Internationalization%2C%20and%20Firm%20Performance%3A%20Evidence%20from%20Chinese%20Private%20Enterprises,https://openalex.org/works?search=Founding%20Environment%2C%20Inward%20Internationalization%2C%20and%20Firm%20Performance%3A%20Evidence%20from%20Chinese%20Private%20Enterprises,https://api.unpaywall.org/v2/10.1080%2F10669868.2016.1215667,,,,,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization|firm-performance,3,firm_performance,China,Asia,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
101,308,Export marketing assistance and early internationalizing firm performance Does export commitment matter?,"Faroque, Anisur R.; Takahashi, Yoshi",2015,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-03-2014-0045,https://doi.org/10.1108/apjml-03-2014-0045,https://scholar.google.com/scholar?q=Export%20marketing%20assistance%20and%20early%20internationalizing%20firm%20performance%20Does%20export%20commitment%20matter%3F,https://openalex.org/works?search=Export%20marketing%20assistance%20and%20early%20internationalizing%20firm%20performance%20Does%20export%20commitment%20matter%3F,https://api.unpaywall.org/v2/10.1108%2Fapjml-03-2014-0045,,,,,,,,,,,,,,,,,Market performance,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization|firm-performance,3,firm_performance,TO_EXTRACT,TO_EXTRACT,Export,Market-based,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
102,313,Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Governance,"Lu, Jane Wenzhen; Liang, Xueji; Shan, Mengmeng; Liang, Xiaoya",2015,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2015.32,https://doi.org/10.1017/mor.2015.32,https://scholar.google.com/scholar?q=Internationalization%20and%20Performance%20of%20Chinese%20Family%20Firms%3A%20The%20Moderating%20Role%20of%20Corporate%20Governance,https://openalex.org/works?search=Internationalization%20and%20Performance%20of%20Chinese%20Family%20Firms%3A%20The%20Moderating%20Role%20of%20Corporate%20Governance,https://api.unpaywall.org/v2/10.1017%2Fmor.2015.32,,,,,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization,3,TBD,China,Asia,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
103,320,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,"Lyles, Marjorie; Li, Dan; Yan, Haifeng",2014,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/s1740877600004381,https://doi.org/10.1017/s1740877600004381,https://scholar.google.com/scholar?q=Chinese%20Outward%20Foreign%20Direct%20Investment%20Performance%3A%20The%20Role%20of%20Learning,https://openalex.org/works?search=Chinese%20Outward%20Foreign%20Direct%20Investment%20Performance%3A%20The%20Role%20of%20Learning,https://api.unpaywall.org/v2/10.1017%2Fs1740877600004381,,,,,,,,,,,,,,,,,Firm performance,OFDI,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:FDI,3,TBD,China,Asia,FDI/investment,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
104,325,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,"Xiao, Simon Shufeng; Jeong, Insik; Moon, Jon Jungbien; Chung, Chris Changwha; Chung, Jaiho",2013,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2012.12.003,https://doi.org/10.1016/j.intman.2012.12.003,https://scholar.google.com/scholar?q=Internationalization%20and%20Performance%20of%20Firms%20in%20China%3A%20Moderating%20Effects%20of%20Governance%20Structure%20and%20the%20Degree%20of%20Centralized%20Control,https://openalex.org/works?search=Internationalization%20and%20Performance%20of%20Firms%20in%20China%3A%20Moderating%20Effects%20of%20Governance%20Structure%20and%20the%20Degree%20of%20Centralized%20Control,https://api.unpaywall.org/v2/10.1016%2Fj.intman.2012.12.003,,,,,,,,,,,,,,,,,Firm performance,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization,3,TBD,China,Asia,General DOI,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
105,342,Internationalization and Company Performance: A Study of Emerging Russian Multinationals,"Vaatanen, Juha; Podmetina, Daria; Pillania, Rajesh K.",2009,MULTINATIONAL BUSINESS REVIEW,10.1108/1525383x200900014,https://doi.org/10.1108/1525383x200900014,https://scholar.google.com/scholar?q=Internationalization%20and%20Company%20Performance%3A%20A%20Study%20of%20Emerging%20Russian%20Multinationals,https://openalex.org/works?search=Internationalization%20and%20Company%20Performance%3A%20A%20Study%20of%20Emerging%20Russian%20Multinationals,https://api.unpaywall.org/v2/10.1108%2F1525383x200900014,,,,,,,,,,,,,,,,,Firm performance,Degree of internationalization/multinationality,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization|MNE,2,TBD,Emerging markets,Multiple/Emerging,Scale/scope,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
106,344,"Subsidiary size, internationalization, product diversification, and performance in an emerging market","Chiao, Yu-Ching; Yu, Chow-Ming Joseph; Li, Peng-Yu; Chen, Yi-Chuan",2008,INTERNATIONAL MARKETING REVIEW,10.1108/02651330810915556,https://doi.org/10.1108/02651330810915556,https://scholar.google.com/scholar?q=Subsidiary%20size%2C%20internationalization%2C%20product%20diversification%2C%20and%20performance%20in%20an%20emerging%20market,https://openalex.org/works?search=Subsidiary%20size%2C%20internationalization%2C%20product%20diversification%2C%20and%20performance%20in%20an%20emerging%20market,https://api.unpaywall.org/v2/10.1108%2F02651330810915556,,,,,,,,,,,,,,,,,Market performance,Geographic diversification,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:internationalization,2,TBD,Emerging markets,Multiple/Emerging,Scope,Market-based,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
107,460,"Exporting Like China: Productivity, Market Demand, and Labor Frictions","Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping",2026,INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,https://doi.org/10.1111/iere.70042,https://scholar.google.com/scholar?q=Exporting%20Like%20China%3A%20Productivity%2C%20Market%20Demand%2C%20and%20Labor%20Frictions,https://openalex.org/works?search=Exporting%20Like%20China%3A%20Productivity%2C%20Market%20Demand%2C%20and%20Labor%20Frictions,https://api.unpaywall.org/v2/10.1111%2Fiere.70042,,,,,,,,,,,,,,,,,Productivity,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:exporter|export-productivity,3,Productivity,China,Asia,Export,Operational,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
108,468,"Survey data on organizational resources and capabilities, export marketing strategy, export competitiveness, and firm performance in exporting firms in Indonesia","Heriqbaldi, Unggul; Jayadi, Achmad; Erlando, Angga; Samudro, Bhimo Rizky; Widodo, Wahyu; Esquivias, Miguel Angel",2023,DATA IN BRIEF,10.1016/j.dib.2023.109112,https://doi.org/10.1016/j.dib.2023.109112,https://scholar.google.com/scholar?q=Survey%20data%20on%20organizational%20resources%20and%20capabilities%2C%20export%20marketing%20strategy%2C%20export%20competitiveness%2C%20and%20firm%20performance%20in%20exporting%20firms%20in%20Indonesia,https://openalex.org/works?search=Survey%20data%20on%20organizational%20resources%20and%20capabilities%2C%20export%20marketing%20strategy%2C%20export%20competitiveness%2C%20and%20firm%20performance%20in%20exporting%20firms%20in%20Indonesia,https://api.unpaywall.org/v2/10.1016%2Fj.dib.2023.109112,,,,,,,,,,,,,,,,,Market performance,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:exporter|firm-performance,3,firm_performance,TO_EXTRACT,TO_EXTRACT,Export,Market-based,Survey/cross-sectional likely,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
109,469,Liabilities of origin and its influence on firm's corporate social performance? A study of emerging market multinational corporations,"Venugopal, Ajith; Al-Shammari, Marwan; Thotapalli, Prasad M. V.; Fuad, Mohammad",2023,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22354,https://doi.org/10.1002/tie.22354,https://scholar.google.com/scholar?q=Liabilities%20of%20origin%20and%20its%20influence%20on%20firm%27s%20corporate%20social%20performance%3F%20A%20study%20of%20emerging%20market%20multinational%20corporations,https://openalex.org/works?search=Liabilities%20of%20origin%20and%20its%20influence%20on%20firm%27s%20corporate%20social%20performance%3F%20A%20study%20of%20emerging%20market%20multinational%20corporations,https://api.unpaywall.org/v2/10.1002%2Ftie.22354,,,,,,,,,,,,,,,,,Market performance,Degree of internationalization/multinationality,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:MNE,3,TBD,Emerging markets,Multiple/Emerging,Scale/scope,Market-based,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
110,475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,"Yu, Ying; Hu, Xiaoling; Wang, Yong; Ward, Philippa",2020,SUSTAINABILITY,10.3390/su12145508,https://doi.org/10.3390/su12145508,https://scholar.google.com/scholar?q=A%20Patulous%20Progress%3A%20International%20Entrepreneurship%20Effects%20on%20Chinese%20Born-Global%20Firm%20Performance,https://openalex.org/works?search=A%20Patulous%20Progress%3A%20International%20Entrepreneurship%20Effects%20on%20Chinese%20Born-Global%20Firm%20Performance,https://api.unpaywall.org/v2/10.3390%2Fsu12145508,,,,,,,,,,,,,,,,,Firm performance,TO_EXTRACT,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:firm-performance,3,firm_performance,China,Asia,TO_EXTRACT,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
111,476,Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,"Revindo, Mohamad Dian; Gan, Christopher; Alta, Aditya",2020,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v14i2.11771,https://doi.org/10.21002/seam.v14i2.11771,https://scholar.google.com/scholar?q=Do%20Export%20Activities%20Improve%20Small%20Firm%20Performance%3F%20Evidence%20from%20Indonesia,https://openalex.org/works?search=Do%20Export%20Activities%20Improve%20Small%20Firm%20Performance%3F%20Evidence%20from%20Indonesia,https://api.unpaywall.org/v2/10.21002%2Fseam.v14i2.11771,,,,,,,,,,,,,,,,,Firm performance,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:firm-performance,3,firm_performance,TO_EXTRACT,TO_EXTRACT,Export,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
112,480,"Exporting, access of foreign technology, and firms' performance: Searching the link in Indian manufacturing","Sharma, Chandan",2018,QUARTERLY REVIEW OF ECONOMICS AND FINANCE,10.1016/j.qref.2017.11.015,https://doi.org/10.1016/j.qref.2017.11.015,https://scholar.google.com/scholar?q=Exporting%2C%20access%20of%20foreign%20technology%2C%20and%20firms%27%20performance%3A%20Searching%20the%20link%20in%20Indian%20manufacturing,https://openalex.org/works?search=Exporting%2C%20access%20of%20foreign%20technology%2C%20and%20firms%27%20performance%3A%20Searching%20the%20link%20in%20Indian%20manufacturing,https://api.unpaywall.org/v2/10.1016%2Fj.qref.2017.11.015,,,,,,,,,,,,,,,,,Firm performance,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:exporting→firms-performance-india,3,TBD,India,Asia,Export,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
113,484,Does Exporting Spur Firm Productivity? Evidence from Vietnam,Thi Thu Tra Pham,2015,JOURNAL OF SOUTHEAST ASIAN ECONOMIES,10.1355/ae32-1e,https://doi.org/10.1355/ae32-1e,https://scholar.google.com/scholar?q=Does%20Exporting%20Spur%20Firm%20Productivity%3F%20Evidence%20from%20Vietnam,https://openalex.org/works?search=Does%20Exporting%20Spur%20Firm%20Productivity%3F%20Evidence%20from%20Vietnam,https://api.unpaywall.org/v2/10.1355%2Fae32-1e,,,,,,,,,,,,,,,,,Productivity,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:exporter|export-productivity,3,Productivity,Vietnam,Asia,Export,Operational,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
114,496,"Corporate governance, managers' independence, exporting, and performance of firms in transition economies","Filatotchev, Igor; Isachenkova, Natalia; Mickiewicz, Tomasz",2007,EMERGING MARKETS FINANCE AND TRADE,10.2753/ree1540-496x430504,https://doi.org/10.2753/ree1540-496x430504,https://scholar.google.com/scholar?q=Corporate%20governance%2C%20managers%27%20independence%2C%20exporting%2C%20and%20performance%20of%20firms%20in%20transition%20economies,https://openalex.org/works?search=Corporate%20governance%2C%20managers%27%20independence%2C%20exporting%2C%20and%20performance%20of%20firms%20in%20transition%20economies,https://api.unpaywall.org/v2/10.2753%2Free1540-496x430504,,,,,,,,,,,,,,,,,Firm performance,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,2,INCL:exporting→performance-transition-economy,2,TBD,Emerging markets,Multiple/Emerging,Export,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
115,24,Intellectual capital and new ventures early internationalization: Firm-level analysis of Austrian SMEs,"Bigos, Krystian; Michalik, Adam",2024,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2024.120410,https://doi.org/10.15678/eber.2024.120410,https://scholar.google.com/scholar?q=Intellectual%20capital%20and%20new%20ventures%20early%20internationalization%3A%20Firm-level%20analysis%20of%20Austrian%20SMEs,https://openalex.org/works?search=Intellectual%20capital%20and%20new%20ventures%20early%20internationalization%3A%20Firm-level%20analysis%20of%20Austrian%20SMEs,https://api.unpaywall.org/v2/10.15678%2Feber.2024.120410,,,,,,,,,,,,,,,,,TO_EXTRACT,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,I,INCL:internationalization,3,,TO_EXTRACT,TO_EXTRACT,General DOI,TO_EXTRACT,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
116,48,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,"Crick, James M.; Crick, Dave",2021,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,https://doi.org/10.1177/1069031x20988260,https://scholar.google.com/scholar?q=Internationalizing%20the%20Coopetition%20Construct%3A%20Quadratic%20Effects%20on%20Financial%20Performance%20Under%20Different%20Degrees%20of%20Export%20Intensity%20and%20an%20Export%20Geographical%20Scope,https://openalex.org/works?search=Internationalizing%20the%20Coopetition%20Construct%3A%20Quadratic%20Effects%20on%20Financial%20Performance%20Under%20Different%20Degrees%20of%20Export%20Intensity%20and%20an%20Export%20Geographical%20Scope,https://api.unpaywall.org/v2/10.1177%2F1069031x20988260,,,,,,,,,,,,,,,,,Firm performance,Export intensity,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,I,INCL:internationalization|financial-perf,3,financial_perf,TO_EXTRACT,TO_EXTRACT,Export,Accounting/financial,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
117,60,When strategic consensus matters: dynamic managerial capabilities and firm internationalization as seen by TMT,"Haapanen, Lauri; Hurmelinna-Laukkanen, Pia; Puumalainen, Kaisu",2020,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-09-2018-0134,https://doi.org/10.1108/ccsm-09-2018-0134,https://scholar.google.com/scholar?q=When%20strategic%20consensus%20matters%3A%20dynamic%20managerial%20capabilities%20and%20firm%20internationalization%20as%20seen%20by%20TMT,https://openalex.org/works?search=When%20strategic%20consensus%20matters%3A%20dynamic%20managerial%20capabilities%20and%20firm%20internationalization%20as%20seen%20by%20TMT,https://api.unpaywall.org/v2/10.1108%2Fccsm-09-2018-0134,,,,,,,,,,,,,,,,,TO_EXTRACT,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,I,INCL:internationalization,3,,TO_EXTRACT,TO_EXTRACT,General DOI,TO_EXTRACT,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
118,61,"Strategic decision-making processes, international environmental munificence and the accelerated internationalization of SMEs","Petrou, Andreas P.; Hadjielias, Elias; Thanos, Ioannis C.; Dimitratos, Pavlos",2020,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2020.101735,https://doi.org/10.1016/j.ibusrev.2020.101735,https://scholar.google.com/scholar?q=Strategic%20decision-making%20processes%2C%20international%20environmental%20munificence%20and%20the%20accelerated%20internationalization%20of%20SMEs,https://openalex.org/works?search=Strategic%20decision-making%20processes%2C%20international%20environmental%20munificence%20and%20the%20accelerated%20internationalization%20of%20SMEs,https://api.unpaywall.org/v2/10.1016%2Fj.ibusrev.2020.101735,,,,,,,,,,,,,,,,,TO_EXTRACT,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,I,INCL:internationalization,3,,TO_EXTRACT,TO_EXTRACT,General DOI,TO_EXTRACT,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
119,67,The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,"Genc, Ebru; Dayan, Mumin; Genc, Omer Faruk",2019,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.01.008,https://doi.org/10.1016/j.indmarman.2019.01.008,https://scholar.google.com/scholar?q=The%20impact%20of%20SME%20internationalization%20on%20innovation%3A%20The%20mediating%20role%20of%20market%20and%20entrepreneurial%20orientation,https://openalex.org/works?search=The%20impact%20of%20SME%20internationalization%20on%20innovation%3A%20The%20mediating%20role%20of%20market%20and%20entrepreneurial%20orientation,https://api.unpaywall.org/v2/10.1016%2Fj.indmarman.2019.01.008,,,,,,,,,,,,,,,,,Innovation/strategic outcome,Internationalization,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO,DOI,I,INCL:internationalization,3,,United Kingdom,Europe,General DOI,Innovation/other,TO_EXTRACT,DOI_AVAILABLE_NEED_OA_CHECK,READY_FOR_PDF_EXTRACTION,Include for full-text assessment,,,,,,,,1_DOI_FIRST,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3)
