id,title,authors,year,journal,doi,screen_decision,screen_reason
S0605,How Do Local Knowledge Spillovers and Experience Affect Export Performance?,"Diez-Vial, Isabel; Fernandez-Olmos, Marta",2014,EUROPEAN PLANNING STUDIES,10.1080/09654313.2012.741570,Y,title_inclusion_pattern
S0607,The role of services for manufacturing firm exports,"Lodefalk, Magnus",2014,REVIEW OF WORLD ECONOMICS,10.1007/s10290-013-0171-4,Y,title_inclusion_pattern
S0615,Spillovers through backward linkages and the export performance of business services. Evidence from a sample of Italian firms,"Conti, Giuliano; Lo Turco, Alessia; Maggioni, Daniela",2014,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2013.09.003,Y,title_inclusion_pattern
S0616,Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African Countries,"Boly, Amadou; Coniglio, Nicola Daniele; Prota, Francesco",2014,WORLD DEVELOPMENT,10.1016/j.worlddev.2014.02.006,Y,title_inclusion_pattern
S0619,Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspective,"Dutot, Vincent; Bergeron, Francois; Raymond, Louis",2014,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,10.1016/j.ijinfomgt.2014.06.006,Y,title_inclusion_pattern
S0626,DEGREE OF INTERNATIONALIZATION IN LOGISTICS SECTOR AND STRATEGIC ORIENTATIONS,"Polat, Inci; Mutlu, Hanifi Murat",2013,LOGFORUM,,Y,title_inclusion_pattern
S0630,Strategic capability configurations for the internationalization of SMEs: A study in equifinality,"Raymond, Louis; St-Pierre, Josee",2013,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242610391325,Y,title_inclusion_pattern
S0635,Geography and the Determinants of Firm Exports in Indonesia,"Rodriguez-Pose, Andres; Tselios, Vassilis; Winkler, Deborah; Farole, Thomas",2013,WORLD DEVELOPMENT,,Y,title_inclusion_pattern
S0637,Using export market performance to evaluate regional preferential policies in China,"Schminke, Annette; Van Biesebroeck, Johannes",2013,REVIEW OF WORLD ECONOMICS,10.1007/s10290-012-0145-y,Y,title_inclusion_pattern
S0640,The effect of institutional quality on firm export performance in emerging economies: a contingency model of firm age and size,"LiPuma, Joseph A.; Newbert, Scott L.; Doh, Jonathan P.",2013,SMALL BUSINESS ECONOMICS,10.1007/s11187-011-9395-7,Y,title_inclusion_pattern
S0642,In at the Deep End of Firm Internationalization,"Kaczmarek, Szymon; Ruigrok, Winfried",2013,MANAGEMENT INTERNATIONAL REVIEW,,Y,title_inclusion_pattern
S0647,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA","Chandran, V. G. R.; Rasiah, Rajah",2013,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.668860,Y,title_inclusion_pattern
S0651,"Antecedents to the export market orientation of Hungarian higher education institutions, and their export performance consequences","Nagy, Gabor; Beracs, Jozsef",2012,JOURNAL OF MARKETING FOR HIGHER EDUCATION,10.1080/08841241.2012.738716,Y,title_inclusion_pattern
S0656,"Export, FDI and firm productivity","Engel, D.; Procher, V.",2012,APPLIED ECONOMICS,,Y,title_inclusion_pattern
S0664,The effect of government-designed export promotion service use on small and medium-sized enterprise goal achievement: A multidimensional view of export performance,"Durmusoglu, Serdar S.; Apfelthaler, Gerhard; Nayir, Dilek Zamantili; Alvarez, Roberto; Mughan, Terry",2012,INDUSTRIAL MARKETING MANAGEMENT,,Y,title_inclusion_pattern
S0667,Locational determinants of internationalization: A firm-level analysis of Chinese and Indian acquisitions,"De Beule, Filip; Duanmu, Jing-Lin",2012,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2012.03.006,Y,title_inclusion_pattern
S0672,"The decision to export: Firm heterogeneity, sunk costs, and spatial concentration","Yi, Jingtao; Wang, Chengqi",2012,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.001,Y,title_inclusion_pattern
S0694,The risk implications of multinational enterprise,"Andersen, Torben Juul",2011,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,,Y,title_inclusion_pattern
S0696,Credit constraints and firm export: Microeconomic evidence from Italy,"Minetti, Raoul; Zhu, Susan Chun",2011,JOURNAL OF INTERNATIONAL ECONOMICS,10.1016/j.jinteco.2010.12.004,Y,title_inclusion_pattern
S0725,Are more exports better for a firm's performance? The moderating effect of FDI,"Chiao, Yu-Ching; Li, Peng-Yu",2009,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,Y,title_inclusion_pattern
S0740,Overseas business costs and firm export performance,"Kneller, Richard; Pisu, Mauro; Yu, Zhihong",2008,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,10.1111/j.1540-5982.2008.00480.x,Y,title_inclusion_pattern
S0761,Are Foreign Firms More Productive and Export- and Technology-intensive than Local Firms in Kenyan Manufacturing?,"Rasiah, Rajah; Gachino, Geoffrey",2005,OXFORD DEVELOPMENT STUDIES,10.1080/13600810500137855,Y,title_inclusion_pattern
S0771,A resource-based approach to the study of export performance,"Dhanaraj, C; Beamish, PW",2003,JOURNAL OF SMALL BUSINESS MANAGEMENT,,Y,title_inclusion_pattern
